year,en_ADP ondes_NOUN,en_ADP ronde_NOUN
1800,2.7354229814591235e-07,7.231578535993322e-08
1801,2.500241578218265e-07,2.6193008650921e-08
1802,1.7007585029205075e-07,6.265952379180817e-08
1803,2.86699872731333e-07,6.436119548425268e-08
1804,1.7302956223375077e-07,7.909923027682453e-08
1805,8.24434565060983e-08,1.7341554325867037e-07
1806,6.916006078938608e-08,7.492339904047185e-08
1807,3.9857372513552036e-08,5.124519120158766e-08
1808,7.704651494577774e-08,4.078933102391602e-08
1809,7.228897658251299e-08,4.743964154840796e-08
1810,1.0296557917399696e-07,2.8081521108447305e-08
1811,5.264861258069686e-08,1.6546707115594472e-07
1812,2.6672082320544632e-09,1.1735716043403954e-07
1813,5.463909147351842e-08,5.7514832008109806e-08
1814,9.440030979135372e-09,3.4613449884091096e-08
1815,8.90083740046066e-08,2.6972236000233352e-08
1816,1.5064425440414198e-07,7.184571870766376e-08
1817,4.981994905506326e-08,4.514932783195036e-08
1818,1.3351719019283337e-07,7.391130196765516e-08
1819,6.83169290027763e-08,8.384350280721264e-08
1820,6.882559233645225e-08,5.6959109429044474e-08
1821,1.1439326641493608e-07,5.325203744632745e-08
1822,6.917674966189225e-08,2.7069162911175226e-08
1823,7.41201550136239e-08,1.5713472123479733e-07
1824,3.9579230559638745e-08,6.568468080558887e-08
1825,1.1182912373897125e-07,1.1887347994843367e-07
1826,3.963592831723872e-08,8.631824499616414e-08
1827,4.147772969531616e-08,4.3321183085254233e-08
1828,6.695779575238703e-08,3.485474309172787e-08
1829,5.3153691226270894e-08,3.772197487705853e-08
1830,4.905312778191728e-08,7.097048637660919e-08
1831,5.456922025359745e-08,8.107426907599802e-08
1832,2.2189149717632972e-07,1.7994858581005246e-07
1833,4.40177885252524e-08,1.3784517705062171e-07
1834,9.427876079826092e-08,1.4375177670444828e-07
1835,8.24376584773745e-08,9.378229037793062e-08
1836,7.05678786516728e-08,9.946710122221702e-08
1837,6.262101948095733e-08,6.192522761239161e-08
1838,9.341999884782126e-08,8.710783561127755e-08
1839,3.915226187700682e-08,7.690622538802927e-08
1840,5.923810419972142e-08,1.229349919640299e-07
