year,rien_PRON apporter_VERB,rien_PRON rapporter_VERB
1800,2.5153315874604232e-08,4.7162465932615305e-08
1801,4.524246932646747e-08,3.809892135109294e-08
1802,4.4756802708434407e-08,2.9091921760482364e-08
1803,4.6808139586573816e-08,3.315576790896557e-08
1804,9.39303390623536e-08,1.4831105232815389e-08
1805,2.2743021688143017e-08,1.7057265822018053e-08
1806,4.8988376022407465e-08,4.3225035994964855e-08
1807,2.8469550272802735e-08,2.2775640928784924e-08
1808,3.3991110370834576e-08,1.0423940466353088e-07
1809,3.6144488291256494e-08,6.777091243748146e-08
1810,4.44624070894406e-08,9.360507036149102e-09
1811,4.262030373070047e-08,4.011322829455821e-08
1812,2.400487453257938e-08,4.000812481308458e-08
1813,2.8757416448144113e-09,7.189353823378042e-08
1814,3.776012391654149e-08,7.866692897096073e-08
1815,1.0788894222457657e-08,5.664169577812572e-08
1816,3.244645441213834e-08,4.8669683394564345e-08
1817,1.5568733857662664e-08,5.7604317760251433e-08
1818,5.48374146092101e-08,4.530047448270125e-08
1819,2.898294049202832e-08,3.2088255608186955e-08
1820,7.713212824000948e-08,5.577246042776096e-08
1821,3.4515210245444905e-08,4.043210211079895e-08
1822,4.712039469723095e-08,4.712039469723095e-08
1823,1.3835761869529506e-08,1.9765373338032077e-08
1824,2.3579115548955087e-08,6.905312233129735e-08
1825,8.101007864524945e-08,2.4655239627691117e-08
1826,2.2019960965735663e-08,2.9947145208097936e-08
1827,5.8068820862899884e-08,4.516463647519231e-08
1828,4.494427585655103e-08,5.044765671868845e-08
1829,2.1432940755516938e-08,4.8009784592295546e-08
1830,2.922314124020886e-08,6.157733167810875e-08
1831,3.4300654760954785e-08,3.741889287312006e-08
1832,2.841293600397421e-08,4.8707889277466165e-08
1833,8.80355770505048e-08,4.749287541017111e-08
1834,1.8669062740173104e-08,3.173740381612333e-08
1835,2.117664621437143e-08,5.142899794918776e-08
1836,3.696412420595152e-08,4.2340726480460944e-08
1837,3.6181031504156635e-08,4.313892532081809e-08
1838,3.66105403770689e-08,6.627769977285425e-08
1839,1.4682098203877558e-08,3.5656523067473245e-08
1840,1.592422194107712e-08,6.305991462340899e-08
1841,6.163726595787011e-08,4.943822418113086e-08
1842,5.1653639587811995e-08,8.318248490013502e-08
1843,3.603215859016018e-08,4.430183153658618e-08
1844,1.5367971784030487e-08,5.2141331252641976e-08
1845,2.287893430263921e-08,7.86812108799495e-08
1846,2.9272506196775794e-08,5.034871009002018e-08
1847,3.235934187273415e-08,4.6921044827286096e-08
1848,4.98803736093123e-08,3.861706332486392e-08
1849,3.267971848686102e-08,2.5976186535103807e-08
1850,2.5798184921654865e-08,4.8880771430503955e-08
1851,2.902247508984601e-08,6.191461210391935e-08
1852,3.906327350478023e-08,3.711010876372711e-08
1853,3.822036376277538e-08,5.3150191803297275e-08
1854,5.195664343204953e-08,4.624141425324524e-08
1855,3.661786607267459e-08,5.041590256382733e-08
1856,1.7602443946884705e-08,5.2807330064297275e-08
1857,8.884346414106403e-08,4.9791392342513063e-08
1858,2.9851424443450014e-08,4.3553715300959084e-08
1859,5.397703617404659e-08,4.786642904264227e-08
1860,2.8836257826014844e-08,5.492620758218436e-08
1861,4.2443673464731546e-08,3.301174444914068e-08
1862,4.472806480748659e-08,5.511943257374696e-08
1863,3.795911851511846e-08,8.640694204586907e-08
1864,4.17141343689309e-08,5.274200631788517e-08
1865,4.094954419997521e-08,4.6597758540656287e-08
1866,4.135770836910524e-08,9.293320601955202e-08
1867,3.202855580752839e-08,5.677789260971622e-08
1868,4.347089088696521e-08,4.9398739321304674e-08
1869,4.199826619810665e-08,7.862465878361036e-08
1870,5.045962936378601e-08,5.390005952676802e-08
1871,2.8677177965619194e-08,6.903765381593985e-08
1872,3.3260366905096816e-08,4.898344840853497e-08
1873,3.591602748542755e-08,5.088103804951061e-08
1874,2.1508592240593316e-08,4.540703102406951e-08
1875,3.2612703648737806e-08,4.9777284516494547e-08
1876,5.985554452081487e-08,4.292670396921494e-08
1877,3.401648740464225e-08,1.9172929910382663e-08
1878,2.536417298415472e-08,8.515115013096874e-08
1879,3.0546626561545054e-08,2.1382637882538802e-08
1880,4.1074216028391675e-08,3.786529134686134e-08
1881,6.83305714233029e-08,5.856906426515707e-08
1882,4.2594464844114555e-08,5.124646662579835e-08
1883,2.464542170343975e-08,2.401348808689363e-08
1884,3.4328824227713994e-08,2.178559910248623e-08
1885,5.349877696403382e-08,4.576401479994274e-08
1886,6.25986018576441e-08,5.0337018109303244e-08
1887,7.247106026397887e-08,4.570247114088488e-08
1888,4.12139939953704e-08,3.1703073943845084e-08
1889,4.009687515349469e-08,3.884384724983647e-08
1890,3.2771932723107966e-08,6.423298515301212e-08
1891,3.059625441892422e-08,4.716922674674606e-08
1892,4.638699024894777e-08,4.4506439422775657e-08
1893,4.9883173147691195e-08,5.1114856347567184e-08
1894,4.222031435574536e-08,5.293292915098391e-08
1895,8.245501703640912e-08,4.995450098022047e-08
1896,5.955999426987546e-08,3.833068973335685e-08
1897,2.9133568446582103e-08,3.204692333724779e-08
1898,4.7530182456512193e-08,2.8291774256672397e-08
1899,4.5878898902174114e-08,3.0954439012020885e-08
1900,2.699347589896206e-08,3.3741844873702576e-08
1901,5.085752263767063e-08,3.688567673520993e-08
1902,3.83002145554201e-08,5.254003809795904e-08
