year,on_PRON amenait_VERB,on_PRON ramenait_VERB
1800,6.917161954334006e-08,9.432493452976587e-09
1801,3.809892135109294e-08,1.1905912700171939e-08
1802,2.0140561218795483e-08,6.713520406265161e-09
1803,2.7304748684287006e-08,2.9255087241608635e-08
1804,6.921182560404304e-08,4.943701892301533e-09
1805,1.7057265822018053e-08,3.4114531644036106e-08
1806,3.7461699520235925e-08,5.76333825108577e-08
1807,3.131650672116848e-08,8.540865792383556e-09
1808,2.2660739951163578e-08,1.5862517521725295e-08
1809,5.1957702140725814e-08,1.355418288717658e-08
1810,6.084329662314758e-08,9.360507036149102e-09
1811,4.763445815569867e-08,4.512738271955641e-08
1812,5.867858199337661e-08,1.0668832928217853e-08
1813,7.189354001013726e-08,0.0
1814,5.034683425719777e-08,3.776012391654149e-08
1815,2.9669459555847766e-08,3.2366683333506785e-08
1816,7.416332614695875e-08,9.03865480239574e-08
1817,9.963989811012652e-08,6.383181094804513e-08
1818,6.91428301280439e-08,2.6226590676969863e-08
1819,8.901902859292932e-08,4.968504008218133e-08
1820,8.781195859342006e-08,4.6279275522920216e-08
1821,1.272131981977509e-07,5.1279740453935574e-08
1822,1.443688688596012e-07,3.60922172149003e-08
1823,1.749235538639482e-07,3.1624597385260245e-08
1824,8.589534772340812e-08,2.0210670470532932e-08
1825,9.597932937310816e-08,2.553578504205234e-08
1826,7.486786746113694e-08,5.19671061738336e-08
1827,9.493791175430033e-08,6.359918636178463e-08
1828,7.888178643611354e-08,5.044765549744312e-08
1829,1.1830983126515093e-07,2.91487980419447e-08
1830,1.0541203909752994e-07,4.279102761017839e-08
1831,1.559120670346914e-07,4.989185953263586e-08
1832,1.3259370135187964e-07,3.111892921126014e-08
1833,6.486831960472728e-08,7.41352224054026e-08
1834,1.2881652722285253e-07,6.44082607248464e-08
1835,1.285724948729694e-07,4.689114518896531e-08
1836,7.796069834142827e-08,2.4194700243285183e-08
1837,9.532310762949692e-08,5.0792604344707115e-08
1838,1.382363468138692e-07,4.6709998091643e-08
1839,1.1675763822438512e-07,3.5656523955651664e-08
1840,1.280307415640891e-07,3.184844299397582e-08
