year,en_ADP appel_NOUN,en_ADP rappel_NOUN
1800,1.3519907327008696e-07,2.0751485729775254e-07
1801,4.0480102825313224e-08,1.4287095284615248e-08
1802,2.1259481286506343e-07,4.2518962573012686e-08
1803,1.4237475687295387e-07,7.801356893821776e-09
1804,1.9033252907085796e-07,9.887403784603066e-09
1805,1.9615856849952706e-07,5.685755422035754e-09
1806,4.178420258682536e-07,5.76333825108577e-09
1807,1.5601314160562652e-06,5.693910232196231e-09
1808,5.937114053722325e-07,1.5862518409903714e-08
1809,8.064739225321915e-07,1.3554183553310395e-08
1810,5.68650804666504e-07,9.360507036149102e-09
1811,7.195310249841214e-07,3.8859690221215715e-07
1812,1.264256662913965e-06,0.0
1813,7.649472770765442e-07,1.1502966579257645e-08
1814,8.401628051046828e-07,0.0
1815,5.799030473596645e-07,1.8880564667256294e-08
1816,4.4266235121881436e-07,4.6352077731626196e-09
1817,4.7017576498831204e-07,1.0119676829845048e-07
1818,4.029357869583805e-07,3.588274353205634e-07
1819,7.401000973183969e-07,6.624672010957511e-08
1820,3.7616745984792033e-07,1.0679833017945839e-08
1821,4.1812709228317146e-07,1.8638212395671871e-07
1822,7.950313545279641e-07,5.012807946513931e-09
1823,7.372484169820837e-07,8.894418535021487e-09
1824,8.909537427825853e-07,1.0105335235266466e-08
1825,8.752610423101714e-07,2.034057302591208e-07
1826,1.0472693041663206e-06,4.403992281964975e-09
1827,1.3300524610571074e-06,1.566936447261469e-08
1828,1.812446780213861e-06,2.659967357487858e-08
1829,1.9563988509219143e-06,3.8579290873030914e-08
1830,1.4141912239029608e-06,2.817945699007396e-08
1831,2.0097064492574646e-06,4.677361609140007e-09
1832,1.932079682243071e-06,1.3529969367098715e-09
1833,2.029451787066705e-06,6.602667923516492e-08
1834,1.6624799776820964e-06,2.6136685704614138e-08
1835,1.331103504753628e-06,3.53196213609408e-07
1836,1.1626897205019304e-06,5.645430078971003e-08
1837,1.9878695241004607e-06,1.8786304845086477e-08
1838,1.7838169417139227e-06,6.9433778726590845e-09
1839,1.9674012268211527e-06,9.997809513606626e-08
1840,1.7319183505115632e-06,1.1592833715212691e-07
1841,2.2234359446926533e-06,8.988767952189392e-09
1842,2.5994526908768023e-06,2.884553929050071e-08
1843,1.3568174948574985e-06,7.265500556741245e-08
1844,2.0197906471786098e-06,2.305195678786731e-08
1845,2.201400006729415e-06,5.9150416120701266e-08
1846,2.35936405168502e-06,1.0538101946622191e-08
1847,2.2894234410486547e-06,5.3932236454556914e-09
1848,2.6187196207061447e-06,2.654923214606697e-08
1849,6.110269419989933e-06,1.3407063903514427e-08
1850,2.604937699324239e-06,8.82569484161877e-09
1851,2.9415891127371196e-06,6.38494468407913e-08
1852,3.177146195909586e-06,4.4401920717973553e-07
1853,1.9384890546092493e-06,8.719020172520686e-08
1854,2.8347545786289174e-06,5.507404310378661e-08
1855,1.9078439059683205e-06,1.8043586180738203e-08
1856,2.1361083302195993e-06,9.318940286107136e-09
1857,2.504214231535684e-06,6.345961978126979e-09
1858,2.178175183331632e-06,6.361778659424999e-09
1859,1.954376092072607e-06,3.6154432336843456e-08
1860,1.6683835042385908e-06,3.661747127736703e-09
1861,1.6647352438781127e-06,3.1125360067107977e-08
1862,1.6752692584276474e-06,1.7168348520613108e-08
