year,en_ADP ans_NOUN,en_ADP rangs_NOUN
1800,1.006132621661493e-07,4.307505321321514e-07
1801,9.28661236798689e-08,1.0239084957675004e-07
1802,9.175144555229053e-08,2.1483265300048515e-07
1803,9.946729906396001e-08,1.9308357934733067e-07
1804,9.887404028852131e-08,1.5819846055364906e-07
1805,6.25433098644379e-08,1.1655798459742073e-07
1806,1.6137346481315262e-07,1.123850950079941e-07
1807,1.5088862248546775e-07,6.263301344233696e-08
1808,1.427626639127766e-07,5.4385775882792586e-08
1809,7.906607124574805e-08,2.710836710662079e-08
1810,1.4508786394529238e-07,1.193464669313471e-07
1811,8.273353602206157e-08,5.766276700569506e-08
1812,9.068508077803017e-08,9.068507722531649e-08
1813,7.476928232108548e-08,7.476928232108548e-08
1814,3.1466771410748606e-08,1.6992056828257773e-07
1815,4.855002422310406e-08,7.012781111370714e-08
1816,5.7940095388175905e-08,6.721051448721482e-08
1817,6.383180817248757e-08,5.1376822796100896e-08
1818,6.318223921830679e-08,4.410835785506606e-08
1819,1.066158181739496e-07,1.0144029261027754e-07
1820,4.509263007435038e-08,3.797273961936298e-08
1821,1.0354562518521959e-07,3.155676253641104e-08
1822,1.3334069137727056e-07,6.115625694746996e-08
1823,4.348382143248841e-08,8.597937939391898e-08
1824,5.557934468214398e-08,5.72635645568198e-08
1825,4.138558074018306e-08,1.0742640754735078e-07
1826,3.435113959948666e-08,1.2066937926658028e-07
1827,6.544263980723386e-08,7.097300586123012e-08
1828,4.035812389835414e-08,6.328887991458032e-08
1829,5.658296359234427e-08,1.2945495148075636e-07
1830,2.7135772739939057e-08,1.1793624432598904e-07
1831,4.989185842241284e-08,1.3564348932959547e-07
1832,3.9236911608675484e-08,1.1906372776593344e-07
1833,3.938433690287013e-08,1.2162809837068522e-07
1834,4.760610661236342e-08,1.0361329572106115e-07
1835,9.756383434478266e-08,1.9512766868956533e-07
1836,3.09154504218867e-08,1.6533044905342464e-07
1837,3.478945287405111e-08,1.0158520502567825e-07
1838,3.282324301245865e-08,7.44835075838779e-08
1839,6.711815891957684e-08,1.5031671030119043e-07
1840,6.369688487772862e-08,1.324895279597449e-07
1841,9.052973348744331e-08,9.566617364953345e-08
1842,7.24492630332918e-08,1.0464893307471357e-07
1843,3.544146692791017e-08,1.1518476505933961e-07
1844,3.402907938765409e-08,1.0647808773578404e-07
1845,2.566904799827796e-08,1.328094237362798e-07
1846,3.2785206105501175e-08,1.1123552301484096e-07
1847,2.1572895470001185e-08,9.869599093548231e-08
1848,1.930853293918844e-08,1.2309189401094045e-07
1849,4.7762666932626985e-08,9.971503645012092e-08
1850,3.2587180065490884e-08,7.807345525634446e-08
1851,3.4826968864365426e-08,1.257640604990229e-07
1852,2.79953455972759e-08,6.380334838240742e-08
1853,6.270528518648177e-08,1.1645266795312637e-07
1854,3.273268556203135e-08,1.070306892003714e-07
1855,2.4411910715116392e-08,1.3851105507001193e-07
1856,1.501384794266869e-08,1.3305376000971592e-07
1857,4.58861838525948e-08,1.1129840704615646e-07
1858,5.285170184832211e-08,1.1549075717987023e-07
1859,2.9025388315062628e-08,1.0846328990510301e-07
1860,1.968189100587381e-08,1.9910750381768594e-07
1861,1.9807047502151676e-08,1.787350306092783e-07
1862,3.252950275811628e-08,1.6535829419628278e-07
1863,2.6970952249349978e-08,9.38988700127652e-08
1864,1.821996631345968e-08,1.2130661830589418e-07
1865,2.07101151783462e-08,1.9298062170491903e-07
1866,3.113992252945508e-08,1.8635297749369784e-07
1867,3.299911810472622e-08,1.7955403031066908e-07
1868,4.8410764397210926e-08,1.8475128760186976e-07
1869,5.4207061062072626e-08,1.816669092935541e-07
1870,2.2362789842134134e-08,1.227086383615017e-07
