year,en_PRON apporterai_VERB,en_PRON rapporterai_VERB
1800,2.829747991484055e-08,6.288328968651058e-09
1801,4.7623651688866175e-09,2.3811825844433088e-09
1802,2.2378401354217203e-09,2.2378401354217203e-09
1803,1.950339223455444e-09,4.4857802805609026e-08
1804,4.943701892301533e-09,2.4718509905596875e-08
1805,0.0,1.7057265822018053e-08
1806,5.76333825108577e-09,6.916005901302924e-08
1807,2.8469551160981155e-09,2.2775640928784924e-08
1808,0.0,2.039466551195801e-08
1809,2.259030518203531e-09,6.7770917766551975e-09
1810,2.3401267590372754e-09,4.914266327205041e-08
1811,0.0,1.0028307073639553e-08
1812,2.1337665856435706e-08,8.00162425207418e-09
1813,0.0,1.1502966579257645e-08
1814,0.0,3.4613449884091096e-08
1815,1.3486118000116676e-08,2.6972236000233352e-08
1816,0.0,1.1588019432906549e-08
1817,0.0,3.113746815941454e-09
1818,1.3113295338484932e-08,1.668964877410417e-08
1819,1.035105001712111e-09,4.968504185853817e-08
1820,4.746592452420373e-09,1.542642635854463e-08
1821,1.7750679148775816e-08,2.465372084259343e-08
1822,5.012807946513931e-09,2.3058916553964082e-08
1823,9.882686891060644e-10,2.668325471688604e-08
1824,1.3473780313688621e-08,2.4421225930382207e-08
1825,1.7610886082763955e-09,1.8491430608946757e-08
1826,4.403992281964975e-09,7.0463874735082754e-09
1827,2.7651818612639545e-09,8.295545583791863e-09
1828,7.337841001486822e-09,1.4675682002973645e-08
1829,1.714635211591542e-09,2.3147574523818548e-08
1830,7.305785310052215e-09,2.0873670791843324e-08
1831,1.5591206103948707e-09,1.091384405071949e-08
1832,0.0,1.352996914505411e-08
1833,1.7375443306377747e-08,1.2741991461950875e-08
1834,1.0267983796552471e-08,1.6802156110884425e-08
1835,9.832014313815307e-09,1.0588323107185715e-08
1836,4.032449929525228e-09,2.1506400216253496e-08
1837,3.478945576063097e-09,2.5744196108234974e-08
1838,7.574594285131298e-09,2.019891809368346e-08
1839,2.6567605004856887e-08,9.788065469251706e-09
1840,2.8026629905752998e-08,1.4013314952876499e-08
1841,1.6051371787284552e-08,3.852329122366882e-09
1842,2.683306021822318e-08,2.817471411731276e-08
1843,8.860366662588604e-09,3.071593823733565e-08
1844,7.1351298203126134e-09,1.2623690537338916e-08
1845,1.674068439427856e-09,1.2834524554250493e-08
1846,5.269050973311096e-09,1.2879903366069811e-08
1847,4.314578916364553e-09,5.9325460100012606e-09
1848,5.63165514222419e-09,1.045878850192139e-08
1849,5.02764896381791e-09,1.1731181359664333e-08
1850,3.394498016007219e-09,8.82569484161877e-09
1851,1.096404567135778e-08,2.902247508984601e-08
1852,1.8229528109259263e-08,9.114764054629632e-09
1853,3.5831591027601917e-09,1.2541057081705276e-08
1854,2.5978321716024766e-09,1.1950028522278444e-08
1855,1.0613874223963649e-09,1.3798036491152743e-08
1856,5.177189343896771e-09,7.248064815001953e-09
1857,1.4644527368545823e-08,1.3668225662399891e-08
1858,6.8511463169329545e-09,1.2234189661342043e-08
1859,6.110608019582742e-09,9.165912473463322e-09
1860,1.2358396972445007e-08,1.0069804545764782e-08
1861,3.3011746669586728e-09,5.659156698811785e-09
1862,1.8071945051545413e-09,1.1746764450037972e-08
1863,2.9967726078439227e-09,1.4983863039219614e-08
1864,4.315255264231155e-09,9.589456340108882e-09
