year,on_PRON allume_VERB,on_PRON rallume_VERB
1800,9.401051528357129e-07,8.803660733747165e-08
1801,1.4930014344827214e-06,6.667310969987739e-08
1802,8.526170915956754e-07,1.3427040812530322e-08
1803,7.68433622511111e-07,1.5602713787643552e-08
1804,8.404293083685843e-07,4.943701892301533e-09
1805,7.988486103727155e-07,8.528633133053631e-09
1806,6.973639585794444e-07,1.152667650217154e-08
1807,1.3893140931031667e-06,1.508886207091109e-07
1808,9.65347510373249e-07,4.758755522971114e-08
1809,8.65208676259499e-07,2.9367397402779716e-08
1810,6.131132010978035e-07,1.1700633351097167e-08
1811,7.872220777471739e-07,2.5070767684098882e-09
1812,1.0828865555367884e-06,2.6672082320544632e-09
1813,6.240359198272927e-07,2.8757416448144113e-08
1814,6.608021863030444e-07,2.8320094269673746e-08
1815,5.42141933124185e-07,2.4275012222574333e-08
1816,7.393156096213716e-07,2.5493642752394408e-08
1817,6.803536791721854e-07,4.670620334934483e-09
1818,6.139406281135962e-07,9.536941680821087e-09
1819,5.289386564300003e-07,1.2421260020545333e-08
1820,5.399248834692116e-07,1.4239777357261119e-08
1821,4.920882687997619e-07,1.8736827200882544e-08
1822,5.082987257765126e-07,2.7069162911175226e-08
1823,5.475008393318603e-07,4.150728649676694e-08
1824,6.669521468438688e-07,2.863178316658832e-08
1825,5.309682151732886e-07,8.805443485471187e-09
1826,4.359952185950533e-07,1.056958154332932e-08
1827,6.96825857460226e-07,1.474763688946723e-08
1828,7.631354748127706e-07,2.7516904310687096e-09
1829,7.038577791718126e-07,1.8860987438529264e-08
1830,6.606516933516104e-07,1.669893712197279e-08
1831,5.862293335212598e-07,2.0268567268999504e-08
1832,5.317277924632435e-07,6.764984683549358e-09
1833,6.150906557422786e-07,2.3167257445777523e-08
1834,4.5272474835655885e-07,0.0
1835,5.256346256032884e-07,5.294161553592858e-09
1836,4.751570372718561e-07,1.1425274948351216e-08
1837,4.501755412888997e-07,8.349468672008697e-09
1838,3.585308050446656e-07,1.5780404760690203e-08
1839,4.041072685367908e-07,1.3283802502428443e-08
1840,3.9109889371502504e-07,1.2102408630809691e-08
1841,4.0064224293701045e-07,9.630823250006415e-09
1842,3.8170028204831397e-07,7.379091560011375e-09
1843,4.855480923993127e-07,1.063244026155985e-08
1844,5.702615055724891e-07,7.135129487245706e-09
1845,4.1349488810737967e-07,7.812319235966925e-09
1846,4.2035319580691066e-07,5.854501106128396e-09
1847,5.096596353837413e-07,1.240441438454809e-08
1848,4.875404471249567e-07,2.011305433313737e-08
1849,4.122672265793881e-07,8.379414939696517e-10
1850,4.942389182360785e-07,2.0366988096043315e-09
1851,4.5339553622625317e-07,9.674158141237399e-09
1852,3.873774616636183e-07,2.6042181744401205e-09
1853,5.553896613719189e-07,7.763511167269144e-09
1854,4.842359260237572e-07,1.974352575873084e-08
1855,5.715571305131562e-07,9.021793090369101e-09
1856,4.3799022364510165e-07,6.730345947225658e-09
1857,4.0028373149425533e-07,1.464452725752352e-09
1858,3.445147847003227e-07,7.340513863418607e-09
1859,4.2061351024358373e-07,5.601390684617513e-09
1860,4.796888859459614e-07,9.612086404597875e-09
1861,5.734611931984546e-07,1.3204698667834691e-08
1862,3.402043731171034e-07,5.421583626485926e-09
1863,4.055631990240727e-07,1.1487628182038634e-08
1864,5.293379743420701e-07,6.712619349258375e-09
1865,3.8925601586470293e-07,8.472319956709384e-09
1866,3.946012192557191e-07,6.811858188626729e-09
1867,4.251062790672222e-07,1.2132028714972876e-08
1868,4.5496238954001456e-07,1.1855697867879655e-08
1869,3.93611646387626e-07,1.2697149998075474e-08
1870,5.441612387357964e-07,2.408300581180356e-08
1871,3.069520246867796e-07,6.372706140567175e-09
1872,4.142427485476219e-07,1.814201811001226e-08
1873,4.7289434945696485e-07,8.97900703789034e-09
1874,4.857357254195449e-07,9.559374958278966e-09
1875,4.1080565438278427e-07,1.602027666081085e-08
1876,5.338630941764677e-07,1.3905833595728723e-08
1877,4.5891335531678124e-07,2.1646856751544874e-08
1878,5.133225329245761e-07,1.5701630218245555e-08
1879,3.384566120701038e-07,1.4051448449237114e-08
1880,3.728768689370554e-07,1.5402831010646878e-08
1881,4.553047432409585e-07,9.064260064750584e-09
1882,4.6787359053723776e-07,1.9966155617723302e-08
1883,6.192952355377201e-07,1.5798347741124985e-08
1884,5.149323598629962e-07,7.2618666635548834e-09
1885,5.16939991257459e-07,3.222817768211428e-08
1886,5.904919362365035e-07,2.3877816557327236e-08
1887,4.7269413272488237e-07,2.8727268563955022e-08
1888,5.173941559633022e-07,2.0289966817799154e-08
1889,5.200063384336318e-07,1.1903760088749493e-08
1890,6.613375944652944e-07,9.176140736144589e-09
1891,5.571068300014304e-07,1.211101752218724e-08
1892,5.1715225879434e-07,6.268512375839919e-09
1893,5.099168802757958e-07,8.621783342821487e-09
1894,4.997120726102366e-07,9.452308935564702e-09
1895,4.796835781917252e-07,3.2500517832545484e-08
