year,bien_ADV habiller_VERB,bien_ADV rhabiller_VERB
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,3.900678446910888e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,1.421438877713399e-08,0.0
1806,1.152667650217154e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,3.6257183921861724e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,7.020380277111826e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,9.440030979135372e-09
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,6.227493631882908e-09,0.0
1818,1.3113295338484932e-08,1.5497530370112145e-08
1819,5.175524897538253e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,1.8736827200882544e-08,0.0
1822,9.023054303725075e-09,4.010246357211145e-09
1823,2.1741911049311113e-08,0.0
1824,2.105278085196005e-08,0.0
1825,6.163809906922779e-09,0.0
1826,6.1655889282974385e-09,0.0
1827,3.6869092223668076e-09,5.530363722527909e-09
1828,2.384798314380987e-08,0.0
1829,5.143905745796928e-09,0.0
1830,9.39315203396518e-09,3.1310507520032616e-09
1831,0.0,0.0
1832,2.705993873419743e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,1.213489042584115e-08,0.0
1835,7.563087933704082e-09,0.0
1836,1.5457725766054864e-08,0.0
1837,9.74104708006962e-09,0.0
1838,2.651107955387033e-08,0.0
1839,2.3771015378315496e-08,0.0
1840,1.9109066329292546e-08,0.0
1841,4.494383976094696e-09,0.0
1842,1.0733224087289273e-08,0.0
1843,1.2404512972352677e-08,0.0
1844,1.0428266250528395e-08,0.0
1845,1.4508592549589139e-08,0.0
1846,5.854501328173001e-09,0.0
1847,1.0247124926365814e-08,5.393223645455691e-10
1848,2.011305433313737e-08,0.0
1849,0.0,0.0
1850,9.504594444820214e-09,0.0
1851,5.8044946626978344e-09,0.0
1852,7.812654523320361e-09,0.0
1853,6.569124799682413e-09,0.0
1854,1.1950028522278444e-08,0.0
1855,1.1144567935161831e-08,0.0
1856,2.5885946719483854e-09,0.0
1857,2.8312753030945714e-08,0.0
1858,2.397901160966498e-08,0.0
1859,1.1711998704200255e-08,0.0
1860,6.408057640072684e-09,4.577183909670879e-10
1861,1.1789909493131745e-08,0.0
1862,1.7620147119146168e-08,0.0
1863,2.6471489888990618e-08,0.0
1864,1.2466292886870178e-08,0.0
1865,2.118079933666195e-08,0.0
1866,1.8002767276925624e-08,9.731225825149181e-10
1867,5.338092634588065e-09,0.0
1868,1.2349684830326169e-08,2.4699371437009177e-09
1869,2.3440891894210836e-08,0.0
1870,4.013834153937523e-09,0.0
1871,2.1242354542039266e-09,0.0
1872,4.8378714367913744e-09,0.0
1873,8.979006871356887e-09,0.0
1874,1.1351757756017378e-08,0.0
1875,3.89063856687244e-08,0.0
1876,2.1161051577678336e-08,0.0
1877,1.9172929910382663e-08,0.0
1878,9.662541877730746e-09,6.039088673581716e-10
1879,9.774920206595539e-09,1.832797580370027e-09
1880,1.1552122813895949e-08,0.0
1881,2.022027167924989e-08,0.0
1882,6.655385131892899e-09,0.0
1883,1.4534479397809719e-08,0.0
1884,8.582206056928499e-09,0.0
1885,3.2228177904158883e-09,0.0
1886,1.0325542587619196e-08,0.0
1887,1.1099172247952538e-08,0.0
1888,1.5851536971922542e-08,0.0
1889,4.385595886446936e-09,0.0
1890,1.3764211992395303e-08,5.243509182406569e-09
1891,7.649063604731055e-09,0.0
1892,1.4417578242387208e-08,0.0
1893,2.463366621796581e-09,0.0
1894,1.5753848003896564e-08,0.0
1895,1.3240951446391591e-08,0.0
1896,1.0024948871034667e-08,0.0
1897,1.2236098356765979e-08,0.0
