year,certain_ADJ répit_NOUN
1927,6.689535148041159e-09
1928,3.4278122562625413e-09
1929,3.342121912552898e-09
1930,4.201441416995522e-09
1931,4.5621426636444085e-09
1932,1.2055489939655217e-08
1933,1.4911860191091364e-08
1934,1.3179738189705859e-08
1935,2.5133395809007197e-08
1936,1.4549657478823974e-08
1937,1.1332006444320086e-08
1938,3.1116513810047763e-08
1939,1.070583532936098e-08
1940,2.2822046474857416e-08
1941,2.066051862925633e-08
1942,3.034211770724937e-09
1943,2.0322646676618206e-08
1944,9.639558484764166e-09
1945,1.742803235060819e-08
1946,1.3921104269343232e-08
1947,1.0728784083369192e-08
1948,2.6092530802657166e-08
1949,1.47255123650325e-08
1950,2.2334258886758107e-08
1951,1.4925962688039363e-08
1952,3.057992969957013e-08
1953,1.6160740301529586e-08
1954,4.10446503451567e-08
1955,1.783265446420046e-08
1956,1.657016923672927e-08
1957,2.2087593976038988e-08
1958,2.5643954515430778e-08
1959,1.7826719656000023e-08
1960,2.629916728835724e-08
1961,1.598076693198891e-08
1962,3.4880759613997725e-08
1963,1.4225316924409981e-08
1964,2.251068309533366e-08
1965,2.5171399187229326e-08
1966,2.215629990587331e-08
1967,2.6130779318123132e-08
1968,2.6948494991074767e-08
1969,2.7704722072030563e-08
1970,3.1731204330753826e-08
1971,1.5929032315398217e-08
1972,2.565073486948677e-08
1973,3.583582497412863e-08
1974,3.712877472139553e-08
1975,3.5982324675387645e-08
1976,1.7140580510499603e-08
1977,2.5857840313392444e-08
1978,2.198018833610149e-08
1979,2.2237498953359136e-08
1980,2.615169236719339e-08
1981,2.4037088763861902e-08
1982,2.3588508923921836e-08
1983,3.157657957331139e-08
1984,3.189454744756404e-08
1985,3.2484013701150616e-08
1986,3.5367463624425e-08
1987,2.627651163322753e-08
1988,3.957725525083333e-08
1989,2.359892548042808e-08
1990,2.887784944505256e-08
1991,3.3996499837485317e-08
1992,2.3692759754112558e-08
1993,1.994114740000441e-08
1994,2.7429617688312646e-08
1995,2.3858783393393423e-08
1996,3.3629980578098184e-08
1997,3.308477047880842e-08
1998,3.0516027038629545e-08
1999,2.559312584082818e-08
2000,2.9159007652879154e-08
2001,2.2344179839706158e-08
2002,1.3143664823189738e-08
2003,1.9584538435424292e-08
2004,1.7178685141061578e-08
2005,1.4862373554080932e-08
2006,2.4707340173790726e-08
2007,1.6377365241737607e-08
2008,2.1287197782271505e-08
2009,1.7165493915172192e-08
2010,1.7005655550406118e-08
2011,2.0649448373433188e-08
2012,1.9404239992582006e-08
2013,2.0639525644128298e-08
2014,1.797319448826329e-08
2015,1.3742767812630063e-08
2016,1.0563834251797743e-08
2017,1.3584300795344006e-08
2018,1.3939920329164579e-08
2019,1.4285530980373551e-08
