year,on_PRON eût_VERB
1800,1.0073903126794903e-05
1801,1.0205749049418955e-05
1802,8.799187412478204e-06
1803,8.801880881037505e-06
1804,9.55370398969535e-06
1805,8.963593700173078e-06
1806,8.87554108430777e-06
1807,1.0004200589719403e-05
1808,9.134544143307721e-06
1809,9.225880603480618e-06
1810,8.871420732248225e-06
1811,8.200648267120414e-06
1812,8.495058295920899e-06
1813,9.596350082574645e-06
1814,1.0802542419696692e-05
1815,9.221807545145566e-06
1816,8.649297683405166e-06
1817,1.0502668374101631e-05
1818,1.080177912626823e-05
1819,1.1429629239501082e-05
1820,1.2093131090296083e-05
1821,1.071845144906547e-05
1822,1.0879798082896741e-05
1823,1.2530259027698776e-05
1824,1.1527661399668432e-05
1825,1.189439240079082e-05
1826,1.0186434224124241e-05
1827,1.063304648596386e-05
1828,1.0629780035742442e-05
1829,1.1411754940127139e-05
1830,1.182075993710896e-05
1831,1.1546846963028656e-05
1832,1.0836152796400711e-05
1833,1.0542260383772373e-05
1834,1.0113964094671246e-05
1835,1.0088403314512107e-05
1836,1.062214528246841e-05
1837,1.0409005199107924e-05
1838,1.0983792890328914e-05
1839,1.0379544278293906e-05
1840,1.050425373705366e-05
1841,1.0741578080342151e-05
1842,1.0065080914500868e-05
1843,9.77771014731843e-06
1844,1.0220798458249192e-05
1845,9.813388942347956e-06
1846,1.0165170579057303e-05
1847,9.811352583710686e-06
1848,8.92295520316111e-06
1849,9.758666465131682e-06
1850,9.772759995030356e-06
1851,9.467775953453383e-06
1852,8.763194273342378e-06
1853,9.067184237210313e-06
1854,8.761968388171226e-06
1855,8.464034181088209e-06
1856,8.792420203462825e-06
1857,1.0172088650506339e-05
1858,9.931715567290667e-06
1859,1.0760780469354359e-05
1860,1.1115233064629138e-05
1861,1.0294005733157974e-05
1862,1.0555823109825724e-05
1863,9.855385769697023e-06
1864,9.2840316483489e-06
1865,9.276248874812154e-06
1866,9.475781325818389e-06
1867,8.915100124795572e-06
1868,8.954015811468707e-06
1869,9.35291586756648e-06
1870,9.099362159759039e-06
1871,1.013897576740419e-05
1872,9.270571126762661e-06
1873,8.239735279857996e-06
1874,8.359673074664897e-06
1875,8.36773347145936e-06
1876,8.32052546684281e-06
1877,8.022324664125335e-06
1878,7.903355481175822e-06
1879,7.953730346343946e-06
1880,7.670610102650244e-06
1881,7.694859277762589e-06
1882,7.844702622605837e-06
1883,7.618594963787473e-06
1884,7.597892818012042e-06
1885,7.543327228631824e-06
1886,7.422774388032849e-06
1887,7.288238521141466e-06
1888,7.782470220263349e-06
1889,7.055170499370433e-06
1890,6.709725653308851e-06
1891,6.671896244370146e-06
1892,6.4584484107399476e-06
1893,6.088826580707973e-06
1894,5.879966238353518e-06
1895,6.30871181783732e-06
1896,6.014379664520675e-06
1897,6.069687515264377e-06
1898,5.81961796797259e-06
1899,6.099130018810683e-06
1900,5.645270107379474e-06
1901,5.573090561483696e-06
1902,4.827791030947992e-06
1903,5.6545704865129665e-06
1904,5.574023816734552e-06
1905,5.6835439181668335e-06
1906,5.602016926786746e-06
1907,5.026615099268383e-06
1908,5.5204012596732355e-06
1909,5.739176231145393e-06
1910,5.845966484230303e-06
1911,5.472004886541981e-06
1912,5.8725808003146085e-06
1913,5.218141950535937e-06
1914,4.902016371488571e-06
1915,4.89608453335677e-06
1916,5.425608719633601e-06
1917,5.5512042536065564e-06
1918,5.7787959804045386e-06
1919,5.591005447058706e-06
1920,5.8207747315464076e-06
1921,5.490999228641158e-06
1922,6.134015848147101e-06
1923,5.812231506752141e-06
1924,5.944327995166532e-06
1925,5.33411628111935e-06
1926,5.8784733028005576e-06
1927,6.264749572437722e-06
1928,5.758724682891625e-06
1929,5.82531833970279e-06
1930,5.009168489777949e-06
1931,4.784547058989119e-06
1932,4.840827273255854e-06
1933,4.641030045604566e-06
1934,4.729129841507529e-06
1935,4.893831260233128e-06
1936,4.333372999099083e-06
1937,4.3653406009980245e-06
1938,4.696000587500748e-06
1939,4.637156052922364e-06
1940,3.557703280421265e-06
1941,4.312145165386028e-06
1942,4.4633255811277195e-06
1943,4.694531298810034e-06
1944,4.89368244416255e-06
1945,5.271979716781061e-06
1946,4.774938702212239e-06
1947,5.310747837938834e-06
1948,4.791241053681006e-06
1949,3.793291966758261e-06
1950,4.54768064628297e-06
1951,5.0204541821585735e-06
1952,4.2358477685411344e-06
1953,3.816089588326577e-06
1954,4.751407118419593e-06
1955,3.7683215623474098e-06
1956,3.7849754335184116e-06
1957,3.829988827419584e-06
1958,3.670394448818115e-06
1959,3.3878519616337144e-06
1960,3.772546165237145e-06
1961,3.8006430713721784e-06
1962,3.753169721676386e-06
1963,3.875752327076043e-06
1964,3.594408553908579e-06
1965,3.3445129474785062e-06
1966,3.957668809562165e-06
1967,3.794879376073368e-06
1968,4.013529178337194e-06
1969,3.5834469827022986e-06
1970,2.957899994271429e-06
1971,3.2448979254695587e-06
1972,3.0155003969412064e-06
1973,2.748883389358525e-06
1974,2.049958311545197e-06
1975,2.0064429691046826e-06
1976,1.980879801521951e-06
1977,1.979300122911809e-06
1978,2.7445531713965465e-06
1979,2.49528147833189e-06
1980,2.1768441342828737e-06
1981,2.132975282620464e-06
1982,2.098756510804378e-06
1983,1.9678525404742686e-06
1984,2.0348720681795385e-06
1985,1.9087365217274055e-06
1986,2.0489151211222634e-06
1987,1.9890709381797933e-06
1988,1.917697886710812e-06
1989,2.270984964525269e-06
1990,1.7353953012388956e-06
1991,1.8223295796815364e-06
1992,1.8436273307997908e-06
1993,1.8356933537688747e-06
1994,1.7639354155107867e-06
1995,1.7205436506628757e-06
1996,1.5053419701871462e-06
1997,1.4571684232578264e-06
1998,1.63880599757249e-06
1999,1.6375030327253626e-06
2000,1.5873986853875977e-06
2001,1.5360528209384938e-06
2002,1.7936720837496978e-06
2003,1.597598270564049e-06
2004,1.5738319234515075e-06
2005,1.567304934724234e-06
2006,1.8592273249851132e-06
2007,1.5334806562350423e-06
2008,1.8221841742160905e-06
2009,1.637874106563686e-06
2010,1.674584666488954e-06
2011,2.276792884003953e-06
2012,3.6245078263164032e-06
2013,4.060966034558078e-06
2014,4.495247594604734e-06
2015,5.611260576188215e-06
2016,5.598003554041497e-06
2017,2.274615781061584e-06
2018,4.276199547348369e-06
2019,5.367533276512404e-06
