year,en_PRON appelons_VERB,en_PRON rappelons_VERB
1800,5.0306631749208464e-08,0.0
1801,1.0000967165524344e-07,1.904946067554647e-08
1802,9.622712582313397e-08,4.475680270843441e-09
1803,8.971560561121805e-08,0.0
1804,8.157108055684148e-08,1.2359254952798437e-08
1805,1.3077237781544682e-07,0.0
1806,2.5935023018064385e-08,2.881669125542885e-09
1807,3.4163463169534225e-08,1.1387820464392462e-08
1808,3.6257183921861724e-08,2.4926814390369145e-08
1809,1.603911670144953e-07,0.0
1810,7.020380365929668e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,4.800974906515876e-08,5.3344164641089264e-09
1813,1.121539270343419e-07,0.0
1814,3.3354777428939997e-07,0.0
1815,8.631115377966125e-08,2.697223555614414e-09
1816,8.806894413737609e-08,6.952811659743929e-09
1817,1.0742426326260102e-07,1.556873407970727e-09
1818,1.287487094714379e-07,1.1921177378582115e-09
1819,1.3042323132594902e-07,1.035105001712111e-09
1820,1.2697134366135288e-07,1.3053129244156025e-08
1821,8.480879643002481e-08,3.94459531705138e-09
1822,1.5439448475262907e-07,1.0025615893027862e-09
1823,1.5219337967664615e-07,1.1859224713361982e-08
1824,1.0947446327236321e-07,8.421112696055388e-10
1825,1.171123926724249e-07,1.7610886082763955e-09
1826,2.052260299478803e-07,1.3211976401805714e-08
1827,1.4839810091871186e-07,9.217273055917019e-10
1828,1.5134297370877903e-07,5.503380862137419e-09
1829,8.830371456269859e-08,6.001223074036943e-09
1830,2.160425083275186e-07,6.262101504006523e-09
1831,1.886535869743966e-07,6.236482441579483e-09
1832,2.1647950632086577e-07,2.976593194148336e-08
1833,2.339892972713642e-07,6.950177322551099e-09
1834,2.0535968303647678e-07,2.8003592777992026e-09
1835,2.04959690108808e-07,1.5126175867408165e-09
1836,2.2380098130270198e-07,1.3441500135158435e-09
1837,1.7603464641524624e-07,6.262101948095733e-09
1838,1.3444905277992802e-07,3.787297142565649e-09
1839,1.649988092822241e-07,4.894032734625853e-09
1840,1.719815969636329e-07,7.0066574764382494e-09
1841,2.311397508947266e-07,1.926164561183441e-09
1842,1.6234001520842867e-07,0.0
1843,2.3627644907264767e-07,1.2404512972352677e-08
1844,1.6246141854026064e-07,5.488561161115513e-09
1845,1.9865611022851226e-07,7.254296274794569e-09
1846,1.6509693523403257e-07,1.7563503984519002e-09
1847,2.3082996847278991e-07,1.77976389181822e-08
1848,2.671013703547942e-07,6.43617736884039e-09
1849,2.6059979063575156e-07,1.0893239199560867e-08
1850,2.695231557936495e-07,2.0366988096043315e-09
1851,2.0573709491600312e-07,3.8696632564949596e-09
1852,1.9010792584595038e-07,2.6042181744401205e-09
1853,1.6542250591555785e-07,5.971931837933653e-10
1854,1.4288077920809883e-07,4.1565315633818045e-09
1855,2.0537846978641028e-07,5.306937111981824e-09
1856,1.7240040506294463e-07,6.73034605824796e-09
1857,1.908669986505629e-07,6.345961978126979e-09
1858,1.414272361444091e-07,2.4468380654951716e-09
1859,1.568389365047551e-07,4.582956236731661e-09
1860,2.0276924317386147e-07,6.865775947773045e-09
1861,1.7071788249722886e-07,4.2443675241088386e-09
1862,1.9382160587610997e-07,3.162590411776023e-09
1863,1.9279237051250675e-07,4.994620828036034e-10
1864,1.5630813265943289e-07,6.233146443435089e-09
1865,1.7415324293779122e-07,6.589582213223366e-09
1866,1.44022138215405e-07,4.865612801552288e-09
1867,1.3296703116338904e-07,2.426405742994575e-09
1868,1.4622027322275244e-07,2.9639244392143382e-09
1869,1.3869194503968174e-07,6.348574999037737e-09
1870,1.404841896146536e-07,4.587239033071455e-09
1871,3.1651109111408005e-07,5.3105884134652115e-09
1872,2.497551179203583e-07,1.4513614310374123e-08
1873,1.7838293331351451e-07,1.0176207432266438e-08
1874,1.3084394367979257e-07,1.0156835372754358e-08
1875,1.0527610072585958e-07,2.8607636259891933e-09
1876,1.4570895245924476e-07,3.02300739996042e-09
1877,1.0143098450043908e-07,3.0924081073635534e-09
1878,1.0749577938895527e-07,7.850815109122777e-09
1879,1.2157556739111897e-07,6.109325489944695e-09
1880,1.2643157276670536e-07,3.2089231272180996e-09
1881,1.0458761323661747e-07,6.9725074602899895e-09
1882,7.653692790654532e-08,7.320923423037584e-09
1883,7.014466518739937e-08,6.319338941018771e-10
1884,1.0430681385287244e-07,1.3203393933736152e-09
1885,9.990735350129398e-08,6.445635580831777e-09
1886,8.26043375923291e-08,1.2261581083805595e-08
1887,6.398346386049525e-08,1.3057849246322917e-09
1888,7.291706793921549e-08,1.2047167707862627e-08
1889,7.51816386923565e-08,5.6386229019267375e-09
1890,9.37277278012516e-08,1.3108772956016423e-09
1891,5.864282570655632e-08,6.374220040683554e-10
1892,7.334159590755007e-08,6.268512375839919e-09
1893,6.035248389935077e-08,5.542574843531156e-09
1894,9.578339899007915e-08,4.411077725308132e-09
1895,9.509410858754563e-08,4.213029924926559e-09
1896,8.019959096827733e-08,4.1279202278587945e-09
1897,5.535378022614168e-08,5.826713334045053e-09
1898,5.714938566825367e-08,1.3580051749784161e-08
1899,7.6833337914195e-08,3.3165470370022376e-09
1900,6.592637191715767e-08,6.748368974740515e-09
1901,5.812288605966387e-08,1.0618603774048552e-08
1902,5.254003809795904e-08,3.437198747846537e-09
1903,6.75027536090056e-08,1.6200660812870638e-09
1904,5.4283713524228006e-08,2.6873125946735854e-09
1905,5.625227217365136e-08,2.0643036169332163e-09
1906,3.600929332492342e-08,5.658602919567102e-09
1907,4.011417686911045e-08,2.5714217422034835e-09
1908,4.272908427083166e-08,7.858222517143076e-09
1909,5.170924666231258e-08,1.7053048750881317e-08
1910,6.680188135987919e-08,3.206490406526541e-09
1911,4.8415405018431557e-08,7.448523575703803e-09
1912,5.4177981212433224e-08,4.167536982180309e-09
1913,5.515109435805243e-08,5.833288518886093e-09
1914,4.553785615257766e-08,4.68772043404897e-09
1915,7.186265094105693e-08,2.3561523843085297e-09
1916,5.8233549538044826e-08,2.197492321442951e-08
1917,5.592876561877347e-08,8.773139548168274e-09
1918,8.040463228553563e-08,1.722956355365568e-08
