year,bon_ADJ aide_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,5.851017448321727e-09
1804,1.2359254952798437e-08
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,5.766276700569506e-08
1812,2.6672082320544632e-09
1813,0.0
1814,6.293354282149721e-09
1815,5.394447111228828e-09
1816,0.0
1817,1.2454987263765815e-08
1818,1.1921177378582115e-09
1819,1.035105001712111e-09
1820,0.0
1821,0.0
1822,2.0051231786055723e-09
1823,9.882686891060644e-10
1824,4.210556348027694e-09
1825,0.0
1826,4.315912249808207e-08
1827,8.295545583791863e-09
1828,0.0
1829,8.57317605795771e-10
1830,6.262101504006523e-09
1831,7.795603274018958e-09
1832,2.705993873419743e-09
1833,1.1583628500844156e-09
1834,8.401078055442213e-09
1835,5.294161553592858e-09
1836,6.048675060821296e-09
1837,0.0
1838,1.009945904684173e-08
1839,1.3982949909063791e-08
1840,5.732719632334238e-09
1841,1.2841097074556274e-08
1842,7.379091560011375e-09
1843,2.3036953678001737e-08
1844,6.5862733600319245e-09
1845,1.674068439427856e-09
1846,0.0
1847,1.0786447290911383e-09
1848,2.172209789819135e-08
1849,9.217356655710773e-09
1850,2.0366988096043315e-09
1851,5.8044946626978344e-09
1852,9.765818376195057e-09
1853,3.5831591027601917e-09
1854,1.558699391779328e-09
1855,1.539011762474729e-08
1856,7.248064815001953e-09
1857,8.786716299002961e-09
1858,8.808616946964776e-09
1859,5.601390684617513e-09
1860,4.119465518703791e-09
1861,5.187560159214399e-09
1862,1.355395884417021e-08
1863,8.490855130105501e-09
1864,2.8768367688059016e-09
1865,9.413688495385486e-09
1866,3.4059290943133647e-09
1867,4.85281148598915e-09
1868,6.4218362849643995e-09
1869,9.767038733343725e-09
1870,1.1468097582678638e-09
1871,8.496941816815706e-09
1872,6.047339295989218e-10
1873,7.183205252836444e-09
1874,2.1508592240593316e-08
1875,1.602027577263243e-08
1876,3.627608879952504e-09
1877,8.658742167710898e-09
1878,6.642997596451039e-09
1879,1.649517855639715e-08
1880,8.343199908722454e-09
1881,1.2550513517339823e-08
1882,1.1314154280128719e-08
1883,1.8326082873443283e-08
1884,7.2618666635548834e-09
1885,1.4180398189012067e-08
1886,3.872078213618124e-09
1887,1.566941953967671e-08
1888,3.804368819970705e-09
1889,1.2530273707511697e-08
1890,1.1142456735058204e-08
1891,1.9122659011827636e-09
1892,3.761107425503951e-09
1893,7.390100087434348e-09
1894,1.3863386882917439e-08
1895,4.814891596538473e-09
1896,3.5382172747233653e-09
1897,6.409385022720926e-09
1898,5.658354784721098e-09
1899,0.0
1900,4.15284251431558e-09
1901,5.029864968975062e-09
1902,2.9461704187383475e-09
1903,2.1600881083827517e-09
1904,1.1286712897629059e-08
1905,3.6125313851442797e-09
1906,1.5432553013283723e-09
1907,5.142843484406967e-09
1908,6.3848057951787496e-09
1909,1.7603147384193107e-08
