year,son_DET appel_NOUN,son_DET rappel_NOUN
1800,4.0559722869204506e-07,8.897985566136413e-07
1801,3.047913659237622e-07,1.0762944775422056e-06
1802,6.109303285484202e-07,2.0520994041817175e-06
1803,6.299595431968896e-07,6.4556227563628e-07
1804,4.2515837672674195e-07,7.291960173461121e-07
1805,7.05033683878753e-07,9.950071664377447e-07
1806,9.307791133394971e-07,8.875540924435654e-07
1807,2.442687396353449e-06,1.1672516251337584e-06
1808,1.194220994094053e-06,8.225848642240408e-07
1809,1.5451769288521433e-06,9.352386225458531e-07
1810,1.7714759756870535e-06,5.499297834887784e-07
1811,1.052972265824792e-06,1.8151235678942612e-06
1812,2.981938774127002e-06,9.28188455873169e-07
1813,1.6909361115757804e-06,8.540952478597319e-07
1814,9.723232121672254e-07,1.1013369576318155e-06
1815,1.6884619213897167e-06,7.282503735606127e-07
1816,6.628347009041136e-07,7.022339669759958e-07
1817,8.017898229795151e-07,9.35680921188009e-07
1818,8.309060852695893e-07,9.083937335674364e-07
1819,1.1386154756820588e-06,1.2390206691748062e-06
1820,7.903076735260584e-07,1.3397257596636791e-06
1821,8.11600505024046e-07,1.063068468809547e-06
1822,1.144925377616346e-06,9.363925101979476e-07
1823,1.0030927022341984e-06,8.815356657976281e-07
1824,1.3019040423500883e-06,9.17059175264967e-07
1825,1.8024742125533066e-06,8.285922028505865e-07
1826,1.905167053894985e-06,9.133879608214102e-07
1827,2.457324930205118e-06,1.1807327240376253e-06
1828,3.869793857802506e-06,9.429125533699789e-07
1829,2.288180796838901e-06,8.427432067747986e-07
1830,1.789917336125768e-06,6.095112041748507e-07
1831,2.090780763630562e-06,6.37680315662692e-07
1832,2.2189149451179446e-06,6.589095105091758e-07
1833,1.4398450556285525e-06,6.869091606631628e-07
1834,1.1845519836128915e-06,5.572715107149406e-07
1835,1.27816186079599e-06,6.126101439463127e-07
1836,1.0450766851910487e-06,6.465361295227012e-07
1837,1.3783581511717102e-06,6.338638494085558e-07
1838,1.2731630976148267e-06,6.406844086370711e-07
1839,1.7884193841410934e-06,6.31330195233204e-07
1840,1.6019766584385309e-06,8.573601117944918e-07
1841,1.781702216874237e-06,6.908510457037664e-07
1842,1.7629320829826156e-06,7.26505120951515e-07
1843,1.1583452277363904e-06,6.007328448021099e-07
1844,1.813969549679939e-06,6.701533354913636e-07
1845,2.074170712518253e-06,6.690693066246922e-07
1846,3.5970055964895664e-06,5.708139010351942e-07
1847,2.0607507167369477e-06,7.475007777202336e-07
1848,1.7071960876080539e-06,4.3283292883167235e-07
1849,2.5875634221961263e-06,4.4662282938645603e-07
1850,1.6884232696412482e-06,6.490280277660077e-07
1851,1.9477305324144822e-06,5.688404804971015e-07
1852,2.07556194453673e-06,4.798271930894771e-07
1853,1.4392355929260248e-06,6.043595295324167e-07
1854,1.6709257248948006e-06,6.567319807970762e-07
1855,1.6440890924229734e-06,5.959690305701315e-07
1856,1.6090703951476826e-06,5.425694595828645e-07
1857,1.632864765177544e-06,5.564920506628823e-07
1858,1.8777035322159463e-06,5.921347758786055e-07
1859,1.5673709388153156e-06,7.134134580866203e-07
1860,1.3845981392535123e-06,6.893239214988967e-07
1861,1.3864933467999663e-06,4.904602111110989e-07
1862,1.3969613643638468e-06,6.126389360261442e-07
1863,1.705663063233942e-06,5.429152842850726e-07
1864,1.6987721664918354e-06,4.7036281358714405e-07
1865,1.8140178053016598e-06,5.709401929010482e-07
1866,1.722913478552357e-06,5.629514117089229e-07
1867,1.5703697489044544e-06,4.886781113100369e-07
1868,1.5664340224930129e-06,4.594082998465865e-07
1869,1.796646710516825e-06,5.117927841524761e-07
1870,1.5252569625090473e-06,5.779921199433602e-07
1871,1.7567427086362386e-06,3.3031860624532783e-07
1872,1.6866029000084382e-06,3.7130664098938837e-07
1873,1.5252338840809898e-06,4.0944271795240184e-07
1874,1.5396567860648247e-06,5.998507557336552e-07
1875,1.5076224286758588e-06,4.846133521141383e-07
1876,1.4111398698446465e-06,3.1016055235255635e-07
1877,1.5616660480333167e-06,5.207614801605587e-07
1878,1.7483162189080304e-06,4.462886664668986e-07
1879,1.6531833697541742e-06,3.580064615871237e-07
1880,1.5595366047449488e-06,5.763226074151362e-07
1881,1.7096588535991941e-06,5.013233010942031e-07
1882,1.6931299358091678e-06,4.5123510261646516e-07
1883,1.4660865890192554e-06,4.714226902180485e-07
1884,1.6339199540027494e-06,5.05690016083804e-07
1885,1.890504999657594e-06,4.1123156169220465e-07
1886,1.7553422146932007e-06,5.582246050961359e-07
1887,1.689032787410838e-06,4.7269413183670395e-07
1888,1.8318036012487937e-06,4.717417194655127e-07
1889,1.9403128952433235e-06,4.905602040139456e-07
1890,2.0600436485551654e-06,5.361488311095286e-07
1891,2.0461247327574483e-06,4.774290749409715e-07
1892,1.7545566599608264e-06,4.6763102901081766e-07
1893,1.902334823888907e-06,5.222337371435515e-07
1894,2.0221638727946356e-06,5.066437678280522e-07
1895,1.8790114362232657e-06,5.260268984841332e-07
1896,1.9495577738837255e-06,6.197777366878654e-07
1897,1.8278400837345998e-06,5.360576409429996e-07
1898,1.7540899754919792e-06,3.8476813868371096e-07
1899,2.068419872713889e-06,5.687878097404564e-07
1900,1.8246551931611066e-06,4.889971800814408e-07
1901,1.9063188121393182e-06,5.929652084901704e-07
1902,1.7505161942210634e-06,3.7858288148839847e-07
1903,1.9613600041878954e-06,3.5641453877133245e-07
1904,1.7736262876155706e-06,4.487812015341319e-07
1905,1.7943959660371434e-06,4.7066123087802225e-07
1906,1.6044711212970242e-06,4.408566152136473e-07
1907,1.6657670069974984e-06,3.548561948729656e-07
1908,1.7376494909626672e-06,5.323945764246218e-07
1909,1.8752852675163467e-06,4.6978398593466864e-07
1910,1.9634409778035433e-06,4.382203426800402e-07
1911,1.8546824662735162e-06,4.5595606579240666e-07
1912,1.8269440618112753e-06,4.4280079336544986e-07
1913,1.805667980914194e-06,3.9507274607331055e-07
1914,2.102777635570874e-06,3.823840630801101e-07
1915,2.3219882825387117e-06,2.9805327939058657e-07
1916,2.2436397912883876e-06,3.098464214090768e-07
1917,2.3533947697274016e-06,4.200140555354892e-07
1918,2.1640332903416493e-06,3.526317540192281e-07
1919,2.107676493778854e-06,3.46215093038893e-07
1920,2.217906562407279e-06,4.0057106254209884e-07
1921,2.0552437476339946e-06,4.165011100454308e-07
1922,2.1580460582981686e-06,3.238913635073004e-07
1923,1.961827226892865e-06,2.993697467701395e-07
1924,1.6166097331904439e-06,4.0221867703138514e-07
1925,1.6145324668315197e-06,3.673391510972124e-07
1926,1.5638031873876912e-06,3.7896870441755937e-07
1927,1.5720406967290046e-06,3.534304422458945e-07
1928,1.740186069909555e-06,3.999114461805675e-07
1929,1.6220431859892415e-06,5.013182864388455e-07
1930,1.4957131826420778e-06,4.148923284930106e-07
