year,rien_PRON établi_VERB,rien_PRON rétabli_VERB
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,4.923248297927785e-08,0.0
1803,2.145373123596528e-08,1.3652374342143503e-08
1804,2.7190360185613827e-08,0.0
1805,2.842877711017877e-09,1.9900143755080535e-08
1806,8.645007376628655e-09,0.0
1807,1.4234775136401367e-08,0.0
1808,2.7192887941396293e-08,0.0
1809,1.129515236897305e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,1.8670457180292033e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,0.0,4.72001566720337e-08
1815,4.5852800667489646e-08,5.394447111228828e-09
1816,2.0858434979231788e-08,0.0
1817,2.1796227045456362e-08,0.0
1818,1.7881765401739358e-08,0.0
1819,5.796588098405664e-08,0.0
1820,4.153268307049984e-08,0.0
1821,6.508582117703554e-08,3.94459531705138e-09
1822,2.105379337535851e-08,2.0051231786055723e-09
1823,4.0519015698237126e-08,0.0
1824,2.105278085196005e-08,8.421112696055388e-10
1825,3.3460683113162304e-08,7.044354433105582e-09
1826,4.227832306469281e-08,1.145037931138404e-08
1827,2.6730091917670507e-08,7.373818444733615e-09
1828,2.4765213879618386e-08,0.0
1829,3.429270378774163e-08,8.57317605795771e-10
1830,4.800944353178238e-08,0.0
1831,1.2472964883158966e-08,3.1182412207897414e-09
1832,1.0823975493678972e-08,2.705993873419743e-09
1833,3.1275796175123105e-08,0.0
1834,5.507373401769655e-08,0.0
1835,6.504255622985511e-08,0.0
1836,3.5619976301859424e-08,0.0
1837,4.453050195252217e-08,6.957890930081589e-10
1838,3.408567295082321e-08,0.0
1839,2.7266752411492234e-08,0.0
1840,2.93005673057678e-08,0.0
1841,2.953452238330101e-08,3.2102742686390684e-09
1842,3.7566284305512454e-08,1.341653010911159e-09
1843,4.784597962270709e-08,0.0
1844,1.866110821424627e-08,0.0
1845,2.511102614732863e-08,2.2320911785556063e-09
1846,3.2785209214125643e-08,2.3418005312692003e-09
1847,4.6921044827286096e-08,4.853901280910122e-09
1848,3.137636639394259e-08,0.0
1849,3.854530916669319e-08,8.379414939696517e-10
1850,5.974316508172706e-08,1.3577992064028876e-09
1851,5.804495017969202e-08,0.0
1852,3.971432604998881e-08,0.0
1853,3.762317035693741e-08,5.971931837933653e-10
1854,1.4028294081924741e-08,1.558699391779328e-09
1855,3.6087172361476405e-08,5.306937111981824e-10
1856,2.5885945831305435e-08,0.0
1857,5.516105261449411e-08,5.857811125054013e-09
1858,1.9574704523961373e-08,0.0
1859,4.0228169240208445e-08,0.0
1860,4.7144993686742964e-08,0.0
1861,5.611996911625283e-08,0.0
1862,3.298130124562704e-08,9.035972525772706e-10
1863,6.293222298836554e-08,6.493007020935693e-09
1864,3.452204211384924e-08,1.4384183844029508e-09
1865,3.388927893865912e-08,0.0
1866,5.400830360713371e-08,3.4059290943133647e-09
1867,2.329349513274792e-08,0.0
1868,2.8157282727647726e-08,4.93987406535723e-10
1869,2.9301114423674335e-08,3.4184632902167778e-09
1870,2.408300403544672e-08,0.0
1871,2.3366590440332402e-08,0.0
1872,2.116568786902917e-08,0.0
1873,2.6937019725892242e-08,1.1972008939764578e-09
1874,2.2106053876314036e-08,1.7923826867161097e-09
1875,2.345826111138649e-08,3.432916173551348e-09
1876,3.3253080289341597e-08,0.0
1877,2.6594708657512456e-08,0.0
1878,3.2611080058586595e-08,6.039088673581716e-10
1879,2.5659165459046562e-08,6.10932526790009e-10
1880,1.5402831010646878e-08,6.417846254436199e-10
1881,2.8587281875047665e-08,6.972507571312292e-10
1882,2.0631693686823382e-08,6.655385131892899e-10
1883,2.7173157945981075e-08,1.2638677882037541e-09
1884,2.0465261485469455e-08,3.300848483434038e-09
1885,3.8029249083137984e-08,2.5782542767416317e-09
1886,1.4197620856748472e-08,0.0
1887,1.566941953967671e-08,0.0
1888,1.2047167707862627e-08,0.0
1889,1.6915869593958632e-08,0.0
1890,1.1797895993481688e-08,0.0
1891,5.099376032546843e-09,1.9122659011827636e-09
1892,1.9432388143059143e-08,0.0
1893,2.8328715373504565e-08,0.0
1894,2.2055386850183822e-08,0.0
1895,1.3842813118003505e-08,0.0
1896,1.8870492723976895e-08,0.0
1897,1.7480140002135158e-08,1.7480140668268973e-09
1898,3.225262190653666e-08,0.0
1899,1.3818945987509323e-08,0.0
1900,1.142031713641245e-08,5.19105292084987e-09
1901,1.7883964531506535e-08,0.0
1902,1.6694965410124496e-08,0.0
1903,2.3220946943069976e-08,0.0
1904,2.6873125946735854e-08,0.0
1905,9.28936660926638e-09,0.0
1906,1.5432553013283723e-08,5.144184522798412e-10
1907,1.6457098794830927e-08,0.0
1908,1.4243028090277221e-08,0.0
1909,2.2003934674330594e-08,0.0
1910,1.9238942883248455e-08,0.0
1911,1.3832972989291648e-08,1.0640748282497725e-09
1912,1.614920641657136e-08,5.209421227725386e-10
1913,1.590896836489719e-08,5.30298971401777e-10
1914,1.5402511266415786e-08,6.696743715117748e-10
1915,1.0602685840410686e-08,0.0
1916,1.7579939282086343e-08,0.0
