year,on_PRON apportait_VERB,on_PRON rapportait_VERB
1800,2.1694735252708597e-07,7.860410988769218e-08
1801,1.381085894536227e-07,1.5477687043130572e-07
1802,1.4769744893783354e-07,7.608656460433849e-08
1803,1.5407680109547073e-07,5.655983592589564e-08
1804,1.60670310833666e-07,1.7550140896105404e-07
1805,1.5920114915246586e-07,8.244345295338462e-08
1806,9.221340935283706e-08,7.492339726411501e-08
1807,1.1957211398794243e-07,1.3950080557378897e-07
1808,1.518269545641715e-07,1.0197333022432531e-07
1809,1.536140796787322e-07,1.4457795316502597e-07
1810,1.7082924941291822e-07,1.8252989164579958e-07
1811,2.3065106091735288e-07,1.9304491694072112e-07
1812,2.2671269306329123e-07,2.0537502720685552e-07
1813,2.0705340375570813e-07,1.7829598419893955e-07
1814,2.1397405092216104e-07,1.0384034432320277e-07
1815,1.5913619133556267e-07,2.0498899289123074e-07
1816,1.5759706784024274e-07,1.7150268938337376e-07
1817,1.24549874414015e-07,1.0586738952156338e-07
1818,2.3961566597563433e-07,1.2755659817287324e-07
1819,1.6354659493345025e-07,1.9563484698892353e-07
1820,2.3020973571874492e-07,2.064767663512157e-07
1821,2.6921863138795743e-07,1.6863145191337026e-07
1822,2.827223681833857e-07,1.6141241587774857e-07
1823,2.954923417064492e-07,1.818414325782669e-07
1824,2.2400160304414385e-07,2.374753762524051e-07
1825,2.1837498209720252e-07,2.2629988194466932e-07
1826,1.805636724583337e-07,1.5590132562692816e-07
1827,2.073886449238671e-07,1.797368192058002e-07
1828,2.7883795894467767e-07,1.9812170393151973e-07
1829,2.537660073187453e-07,1.6031839322749875e-07
1830,2.964061529553419e-07,1.6490200493990415e-07
1831,2.5101841627517274e-07,1.6058942264862708e-07
1832,2.7059939000650957e-07,2.354214743149896e-07
1833,2.432561991838611e-07,8.340212609425635e-08
1834,2.4456470626432747e-07,2.2776255548251356e-07
1835,2.752964007868286e-07,1.7243840488845308e-07
1836,2.701741514954392e-07,1.4987272578537159e-07
1837,3.318914068017875e-07,1.628146435450617e-07
1838,3.10558373683989e-07,1.84946344461423e-07
1839,2.335152657906292e-07,1.5031671551923864e-07
1840,2.981014226577372e-07,2.2994575488155533e-07
1841,2.805779715231438e-07,1.643660425543203e-07
1842,2.522307660512979e-07,1.9655217187164453e-07
1843,2.8825726516856776e-07,1.529889956941588e-07
1844,2.947357380378435e-07,1.9758821068194266e-07
1845,3.1193475535928883e-07,1.6852288808877347e-07
1846,3.5829547329058187e-07,1.814895398410954e-07
1847,3.0363848679826333e-07,2.5078490750729543e-07
1848,2.8801894558228014e-07,1.995214944372492e-07
1849,3.108762953729638e-07,1.9440242127188867e-07
1850,2.92605715657146e-07,1.2152302986123686e-07
1851,2.779708054845287e-07,1.3350338434747755e-07
1852,2.669323571069526e-07,1.419298918392542e-07
1853,2.3828008011150814e-07,1.9647655236099126e-07
1854,2.9459416950317063e-07,1.2521551795430241e-07
1855,2.807369696711248e-07,1.5708534206737568e-07
1856,2.3918614644458103e-07,1.1286272894039939e-07
1857,2.7043560990591686e-07,2.0258262267702776e-07
1858,2.906843548089455e-07,1.335973571769955e-07
1859,2.6784830886583677e-07,2.2201876248573171e-07
1860,2.778350740584301e-07,2.2657060583242128e-07
1861,3.2398671123701206e-07,2.1127517868535506e-07
1862,2.765007671712283e-07,1.9788780747376222e-07
1863,2.996772359153965e-07,1.5533270669720878e-07
1864,2.7425843995843024e-07,1.6254127288561904e-07
1865,2.626419224327492e-07,2.2028031665399794e-07
1866,2.768533775565629e-07,1.9170514775623815e-07
1867,3.086388034034826e-07,2.0818560741986403e-07
1868,2.884886480813975e-07,2.2229433227494155e-07
1869,2.0559615165893774e-07,1.6603964603234544e-07
1870,2.603258195676972e-07,1.7259486284615377e-07
1871,3.526230756278892e-07,2.1136142436262162e-07
1872,2.866438819637551e-07,1.7476811109418122e-07
1873,2.6039119660481447e-07,1.6222071508309455e-07
1874,2.849888538491996e-07,1.3263631970517054e-07
1875,2.626180872766781e-07,1.4647109125576208e-07
1876,2.7993049656060975e-07,1.7049762135457058e-07
1877,2.987266114473641e-07,1.5709432332755568e-07
1878,2.971231651827111e-07,1.872117536549922e-07
1879,2.6819937914979164e-07,1.9427654862624877e-07
1880,2.3746031629912068e-07,1.2643156921399168e-07
1881,2.761113009341898e-07,1.0110135661989261e-07
1882,2.8418494224524693e-07,1.2312462516206324e-07
1883,2.483500196603927e-07,1.4597673114735699e-07
1884,2.818924542680179e-07,1.7164412469128365e-07
1885,2.255972546549856e-07,1.40514856639129e-07
1886,2.2006311439781712e-07,1.639179885160047e-07
1887,2.2851236636256544e-07,1.0315700826879493e-07
1888,2.409433612626799e-07,1.3759134098734194e-07
1889,2.3055703124441607e-07,1.8607456553354496e-07
1890,2.2284914180659143e-07,1.330540477795239e-07
1891,2.49232002147437e-07,1.230224473403041e-07
1892,2.60143263375312e-07,1.1659432885835486e-07
1893,2.0569111036650156e-07,1.034613976713672e-07
1894,2.1362218660669896e-07,9.389293609274318e-08
1895,2.636153197954627e-07,1.1435367319734269e-07
1896,2.7126332824423116e-07,1.1263325028210147e-07
1897,2.5870608766354053e-07,1.25274343787396e-07
1898,2.484017755932655e-07,1.2391797454824882e-07
1899,2.249724460057223e-07,1.5200841119167308e-07
1900,2.2892545104014062e-07,1.0797390714856192e-07
1901,1.9057599232041866e-07,1.2742324528858262e-07
1902,2.0230369202067777e-07,8.347482705062248e-08
1903,1.9980815046949374e-07,1.0800440541913758e-07
1904,2.0799799216320025e-07,1.0104295355972681e-07
1905,1.8681948432686113e-07,1.1818137934938022e-07
1906,2.3971899310026856e-07,1.4095065381525274e-07
1907,2.1651370829545158e-07,1.2445681107919881e-07
1908,2.0922517052213152e-07,1.3801003007074542e-07
1909,2.0298629621606779e-07,1.2157173756577322e-07
1910,2.436932788896229e-07,8.924731709214484e-08
1911,2.0057811056517494e-07,1.1758027085306821e-07
1912,1.9847895416091887e-07,9.064392791913178e-08
1913,1.5855939494713311e-07,1.0871128885980852e-07
1914,1.988932947227795e-07,1.4933739045375205e-07
1915,1.319445352976345e-07,7.893110431922423e-08
1916,2.14255514663364e-07,9.998590178028621e-08
1917,2.3029491202919417e-07,9.760117691826053e-08
1918,1.6080926457107125e-07,5.743188236095875e-08
1919,2.3572092011647783e-07,5.98510148108744e-08
1920,2.491264226023304e-07,1.340285038509137e-07
1921,1.6357134668965045e-07,1.264648830101578e-07
1922,1.9256411931678485e-07,1.0107771508671703e-07
1923,1.5817763099335025e-07,9.235875086943679e-08
1924,1.946635315164258e-07,1.0442215803152521e-07
1925,1.935679279085889e-07,8.908524229411796e-08
1926,2.0731818040076178e-07,1.0588831322877468e-07
1927,2.976842914392819e-07,1.0034302633243897e-07
1928,2.125243661055265e-07,9.826395164225232e-08
1929,2.0386943688777137e-07,1.4816740190326527e-07
1930,2.0166918446307136e-07,1.0923747950641882e-07
1931,1.8362624132350902e-07,1.0378874648608871e-07
1932,1.9179189081341974e-07,8.87722464426588e-08
1933,1.789423329512374e-07,1.066771559976587e-07
1934,1.4377896917494581e-07,1.030415894831549e-07
1935,1.32847951306303e-07,9.933675926276919e-08
1936,1.879330753240538e-07,7.759816966768085e-08
