year,bien_ADV accompagné_VERB
1800,1.8864987794131594e-08
1801,1.1905912700171939e-08
1802,1.7902721083373763e-08
1803,2.7304748684287006e-08
1804,0.0
1805,2.2743021688143017e-08
1806,7.492339904047185e-08
1807,2.2775640928784924e-08
1808,4.5321479902327155e-09
1809,5.6475762733043666e-08
1810,4.212228077449254e-08
1811,6.016983888912364e-08
1812,4.5342538612658245e-08
1813,2.0130190847567064e-08
1814,1.5733386149463513e-08
1815,2.697223555614414e-09
1816,6.257530316133852e-08
1817,4.826307531402563e-08
1818,2.5034472272977837e-08
1819,5.900098543065724e-08
1820,9.8491796052258e-08
1821,6.114122896860863e-08
1822,1.223125138949399e-07
1823,1.4428722749926237e-07
1824,2.8294937237660633e-07
1825,4.024087445486657e-07
1826,2.818555060457584e-07
1827,1.0323346089080587e-07
1828,6.970948618345574e-08
1829,2.743416338546467e-08
1830,4.5922078584226256e-08
1831,1.870944643656003e-08
1832,2.0294953273491956e-08
1833,4.6334513115198206e-08
1834,2.42697808516823e-08
1835,2.2235478525090002e-07
1836,1.6129800428643648e-07
1837,1.0158520780123581e-07
1838,2.2534418064878992e-07
1839,7.410963576148788e-08
1840,1.0064108124652194e-07
1841,4.365973182984817e-08
1842,3.6224630406422875e-08
1843,2.9534556134080958e-08
1844,4.665277231197251e-08
1845,3.013322924516615e-08
1846,4.3323311160747835e-08
1847,3.5055954583640414e-08
1848,2.735375304041554e-08
1849,2.5976186535103807e-08
1850,6.721106160512136e-08
1851,4.321124080775007e-08
1852,6.250123618656289e-08
1853,5.1358615138497044e-08
1854,5.975014261139222e-08
1855,3.131092896069276e-08
1856,4.038207634948776e-08
1857,4.393358210563747e-08
1858,4.208561321661364e-08
1859,2.6988518087023294e-08
1860,4.073693560258107e-08
1861,4.008569121083383e-08
1862,3.4788495639759276e-08
1863,7.292146619874984e-08
1864,6.520829742839851e-08
1865,1.9298061815220535e-08
1866,3.308616669528419e-08
1867,4.755755256269367e-08
1868,4.00129813726835e-08
1869,1.2697149998075474e-08
1870,2.0069171213776826e-08
1871,3.504988654867702e-08
1872,5.744972497723211e-08
1873,2.6937019725892242e-08
1874,5.735624597491551e-08
1875,5.2065896483100005e-08
1876,3.204387866162506e-08
1877,3.896434108696667e-08
1878,2.1740719446938783e-08
1879,3.5434087664043545e-08
1880,2.1178893305773272e-08
1881,3.346803723047742e-08
1882,2.7952617998039386e-08
1883,2.6541224329434954e-08
1884,1.9805090900604227e-08
1885,4.254119545521462e-08
1886,3.226731948302586e-08
1887,1.9586773092328258e-08
1888,4.1848057463766963e-08
1889,4.0723389105323804e-08
1890,2.6872983838188702e-08
1891,1.1473596295275001e-08
1892,3.008885940403161e-08
1893,1.3548516086814288e-08
1894,1.3233232287745977e-08
1895,1.1435367319734269e-08
1896,2.7716035688740703e-08
1897,9.905413378419325e-09
1898,1.1882545614128048e-08
1899,1.879376654301268e-08
1900,1.6092265298084385e-08
1901,1.0618603774048552e-08
1902,1.718599307309887e-08
1903,2.052083658554693e-08
1904,1.7736262236667244e-08
1905,1.4450125540577119e-08
1906,1.7490227932626112e-08
1907,1.491424583832668e-08
1908,2.504808449543816e-08
1909,1.980354014108343e-08
1910,1.60324518105881e-08
1911,3.032613093978398e-08
1912,3.2819354345292595e-08
1913,1.4318072061314524e-08
1914,1.6072185360371805e-08
1915,4.712304768617059e-09
1916,0.0
1917,0.0
1918,1.1486376294556067e-08
1919,1.6574126959767455e-08
1920,1.3630017114962811e-08
1921,2.0446417892117097e-08
1922,1.475587119159627e-08
1923,1.4862327368803108e-08
1924,1.4180787211159895e-08
1925,1.6497267552040284e-08
1926,1.2260752413340015e-08
1927,1.2264147031260109e-08
1928,1.82816659588525e-08
1929,1.7824650200282122e-08
1930,1.470504518152893e-08
1931,1.596749932275543e-08
1932,5.4797681947604815e-09
1933,3.670611903316967e-08
1934,1.3179738189705859e-08
1935,8.377798899061872e-09
1936,9.699771652549316e-09
1937,1.2591118370153254e-08
1938,1.9447821131279852e-08
1939,3.058810094103137e-09
1940,1.0143131667916805e-08
1941,2.9515025978810172e-09
1942,4.8547388331598995e-08
1943,2.6129116648121453e-08
1944,1.6065930807940276e-08
1945,6.535512131478072e-09
1946,1.5313215584455975e-08
1947,1.549713246618012e-08
1948,1.0871888278529696e-08
1949,1.8652315247891238e-08
1950,2.2334258886758107e-08
1951,1.4925962688039363e-08
1952,3.374337254058446e-08
1953,1.1851209791302608e-08
1954,7.818028890937967e-09
1955,1.783265446420046e-08
1956,2.7907653077363648e-08
1957,1.236905244894615e-08
1958,1.9853384713997002e-08
1959,1.2401196514133517e-08
1960,1.591791587429725e-08
1961,8.33779090214648e-09
1962,8.8787386332001e-09
1963,2.8450633848819962e-08
1964,1.1559539991878864e-08
1965,1.3680108601477059e-08
1966,1.8278946356531378e-08
1967,1.035370456037299e-08
1968,2.245707975134792e-08
1969,1.9983733778872192e-08
1970,1.609553734738256e-08
1971,3.083038535578453e-08
1972,2.0520587895589415e-08
1973,1.0475087464101307e-08
1974,1.406392957647995e-08
1975,1.2565256390928425e-08
1976,1.314111219841152e-08
1977,9.990529292736028e-09
1978,1.3069301196821925e-08
1979,8.777959692451986e-09
1980,1.5349906234973787e-08
1981,1.138598904049104e-08
1982,1.9864007327896616e-08
1983,1.705135410645653e-08
1984,1.8556827185989277e-08
1985,9.624892882698077e-09
1986,1.6784559520033326e-08
1987,1.588812459374367e-08
1988,1.139345240375178e-08
1989,8.232182935330457e-09
1990,1.0352437129768077e-08
1991,1.1722930182145319e-08
1992,1.597883780846132e-08
1993,1.606370148010683e-08
1994,1.3714808844156323e-08
1995,1.7894087989134277e-08
1996,1.6014276127407356e-08
1997,1.102825741838842e-08
1998,2.0502955777601528e-08
1999,1.3253583119876566e-08
2000,1.8113929911578452e-08
2001,1.840108865280854e-08
2002,2.102986229601811e-08
2003,1.583430631058036e-08
2004,1.8500124099318782e-08
2005,2.522099862289906e-08
2006,2.0589450144825605e-08
2007,2.676301313897511e-08
2008,2.086145478585877e-08
2009,2.62250594573743e-08
2010,1.8895171649546683e-08
2011,3.020937811015756e-08
2012,2.791487219155897e-08
2013,3.123820135897404e-08
2014,3.334785603215096e-08
2015,3.236199930256589e-08
2016,4.018399835103992e-08
