year,son_DET envoi_NOUN,son_DET renvoi_NOUN
1800,8.803660733747165e-08,2.6096564909039444e-07
1801,2.3097471490984844e-07,4.6909297424235774e-07
1802,3.983355441050662e-07,7.026818025224202e-07
1803,1.326230716358623e-07,3.4716037333737404e-07
1804,1.3347994420875864e-07,1.9033251597022627e-07
1805,4.8328921309348516e-08,2.587018665956009e-07
1806,1.0085841939400098e-07,4.725937401417468e-07
1807,6.263301344233696e-08,1.3466097925629583e-06
1808,1.11037628869326e-07,5.801149427497876e-07
1809,1.6942729530455836e-07,7.725884154652363e-07
1810,1.521082393374229e-07,6.973578017266391e-07
1811,1.1281845768706944e-07,6.769107336879188e-07
1812,1.6003249214691095e-07,1.3736122923546645e-06
1813,1.0927818294703684e-07,6.988052281275969e-07
1814,5.349351184236184e-08,4.5626818856447926e-07
1815,2.4814457333377504e-07,5.960864086773654e-07
1816,1.1124498655590287e-07,4.4729756254469066e-07
1817,1.8682480629195197e-07,4.919719991391958e-07
1818,1.0848271125851738e-07,4.4823626055290333e-07
1819,5.175525130685088e-08,5.775885689729421e-07
1820,1.4951766580395542e-07,4.912723063910107e-07
1821,1.015733275266939e-07,5.049082094643609e-07
1822,1.0326384369818697e-07,4.351117297574092e-07
1823,4.387912895253976e-07,5.6528971337233e-07
1824,1.5831692223855498e-07,7.621107158684026e-07
1825,1.4881199206229212e-07,5.829203244545056e-07
1826,9.072223861039674e-08,8.03288198625296e-07
1827,1.0692036767068203e-07,1.1724370772014936e-06
1828,1.7794264312032126e-07,1.0181254499475045e-06
1829,1.903245063772374e-07,9.962030489418794e-07
1830,1.4611569554290327e-07,8.693884403498942e-07
1831,2.0268568334813608e-07,7.421414274233484e-07
1832,1.7453660738908638e-07,9.32214907933826e-07
1833,1.251031923610313e-07,7.32085334576027e-07
1834,9.521221389086065e-08,5.768740338751854e-07
1835,1.3159773004645103e-07,4.621046656438921e-07
1836,1.0349955203992067e-07,4.5701101525352783e-07
1837,2.0456199090190808e-07,3.778134898269059e-07
1838,2.09563779662858e-07,5.239094413855838e-07
1839,1.5940563580230105e-07,6.99147490124119e-07
1840,2.1593244081685725e-07,5.618065674894979e-07
1841,1.4574644868758924e-07,5.020869187077892e-07
1842,1.8783141930711622e-07,5.198905448366986e-07
1843,1.8961183845256357e-07,4.583762889254217e-07
1844,1.3995831693591754e-07,5.938623477419469e-07
1845,1.5289824695230436e-07,6.054547387890352e-07
1846,1.4402073378327884e-07,5.333450996403144e-07
1847,2.5132422809548416e-07,6.029624266545852e-07
1848,2.4135664844493476e-07,5.945418788400048e-07
1849,1.9105065973690216e-07,1.352437582369248e-06
1850,2.742754521278812e-07,5.125691941998411e-07
1851,2.231505868977024e-07,5.088607446523952e-07
1852,2.174522235609544e-07,6.673309009830319e-07
1853,1.4989549113053613e-07,3.995222375152707e-07
1854,2.5198973152562587e-07,4.416314913768815e-07
1855,2.584478266953738e-07,4.144717848930668e-07
1856,3.173617004748053e-07,3.7327534840869703e-07
1857,3.2413220019122946e-07,5.452645694958846e-07
1858,2.207047851143784e-07,4.678354192932943e-07
1859,2.459519792274989e-07,3.121502332170678e-07
1860,2.929397826534341e-07,3.9958814923579666e-07
1861,2.461733199510263e-07,3.414357632181009e-07
1862,2.3900146661759436e-07,3.9803459417342424e-07
1863,2.2875363558938488e-07,3.6910248368826615e-07
