year,ton_DET an_NOUN,ton_DET rang_NOUN
1800,0.0,8.489244507359217e-08
1801,0.0,1.5239568007530124e-07
1802,0.0,1.5217312920867698e-07
1803,1.950339223455444e-09,1.092189982898617e-07
1804,7.4155526164076946e-09,2.1999473531764124e-07
1805,2.842877711017877e-09,7.107194432975916e-08
1806,0.0,7.204172902675055e-08
1807,5.693910232196231e-09,8.825561081948763e-08
1808,0.0,8.611080914988634e-08
1809,0.0,8.132509976555014e-08
1810,2.3401267590372754e-09,1.1934646337863342e-07
1811,2.5070767684098882e-09,8.022645658911642e-08
1812,0.0,1.120227479667335e-07
1813,2.8757416448144113e-09,1.322841143291953e-07
1814,0.0,8.810695817373926e-08
1815,0.0,5.933891955578474e-08
1816,6.952811659743929e-09,1.1588019432906549e-08
1817,0.0,9.808302348091047e-08
1818,1.1921177378582115e-09,1.192117760062672e-07
1819,1.035105001712111e-09,2.008103768824654e-07
1820,1.1866481131050932e-09,1.7918386330251224e-07
1821,1.97229765852569e-09,1.3313008961901573e-07
1822,3.0076847679083585e-09,1.223125138949399e-07
1823,1.9765373782121287e-09,8.301456810855257e-08
1824,2.5263338088166165e-09,1.4989581131885643e-07
1825,0.0,1.1359021190315843e-07
1826,8.807984341885344e-10,8.807984475112107e-08
1827,0.0,5.714709122583983e-08
1828,2.7516903755575584e-09,1.0639869663098267e-07
1829,0.0,9.516225479844209e-08
1830,2.0873671680021744e-09,1.3672254706165177e-07
1831,0.0,1.38761739654214e-07
1832,1.3529969367098715e-09,1.758896061021531e-07
1833,1.1583628500844156e-09,1.1120283716081758e-07
1834,9.334530925997342e-10,7.841005844611004e-08
1835,2.2689263801112247e-09,9.22696727911898e-08
1836,1.3441500135158435e-09,1.1290859980306323e-07
1837,2.087367279024477e-09,8.419048080909874e-08
1838,1.8936485712828244e-09,6.75401337080217e-08
1839,2.7965900706306e-09,7.061390050466798e-08
1840,6.369688665408546e-10,5.923810419972142e-08
1841,6.420548537278137e-10,5.6500828460315233e-08
1842,2.683306021822318e-09,7.915752631149076e-08
1843,2.3627644285539873e-09,5.493427412961438e-08
1844,2.1954245643662773e-09,7.354672360015968e-08
1845,1.2834524554250493e-08,4.966402722406116e-08
1846,1.1709002656346001e-09,7.903576859646932e-08
1847,5.393223645455691e-10,4.853901458545806e-08
1848,1.6090443422100975e-09,4.505324113779352e-08
1849,1.6758829879393033e-09,4.524883934209356e-08
1850,1.3577992064028876e-09,5.091746846375145e-08
1851,1.9348316282474798e-09,5.675506176139322e-08
1852,1.3021090872200602e-09,6.315228917586069e-08
1853,1.1943863675867306e-09,5.733054564416307e-08
1854,5.195664454227256e-10,6.650450412593045e-08
1855,2.653468555990912e-09,9.181001203728556e-08
1856,1.5531567143511893e-09,4.555926524929532e-08
1857,9.763018171682347e-10,6.98055828696198e-08
1858,9.787352039936081e-10,6.019221387987272e-08
1859,1.018434669930457e-09,7.536416291031856e-08
1860,2.746310290291376e-09,9.29168351149201e-08
1861,1.8863854922557266e-09,6.743827896116272e-08
1862,0.0,8.132375661773494e-08
1863,1.9978483867255648e-09,6.642845562510047e-08
1864,1.9178911792039344e-09,6.616724590458034e-08
1865,1.882737743486018e-09,7.201472052020819e-08
1866,0.0,3.941146431429843e-08
1867,1.94112459439566e-09,6.502767391225461e-08
1868,2.4699371437009177e-09,5.433861627324177e-08
1869,4.883519144627257e-10,8.399653128599027e-08
1870,2.8670243956696595e-09,4.759260363584872e-08
1871,4.248470908407853e-09,4.460894587055009e-08
1872,2.4189357183956872e-09,4.535504416480762e-08
1873,1.1972008939764578e-09,4.968383748860106e-08
1874,5.974609140757536e-10,3.764003614348255e-08
1875,1.716458086775674e-09,6.40811066432434e-08
1876,6.04601479992084e-10,5.441413142293072e-08
1877,0.0,9.21537548492779e-08
1878,6.039088673581716e-10,5.3747890527144904e-08
1879,1.221865053580018e-09,4.3376211067425174e-08
1880,0.0,5.776061762219342e-08
1881,6.972507571312292e-10,5.926631607700017e-08
1882,1.9966155395678697e-09,4.9915387156929114e-08
1883,1.2638677882037541e-09,5.181857992697658e-08
1884,6.601696966868076e-10,3.300848394616196e-08
1885,1.2891271383708158e-09,3.545099547253017e-08
1886,1.936039106809062e-09,4.194751518360462e-08
1887,3.917354773896875e-09,4.374379525273753e-08
1888,0.0,4.057993407968752e-08
1889,1.8795409673089125e-09,3.696430539434914e-08
1890,0.0,3.736000309118026e-08
1891,6.374220040683554e-10,2.995883363610119e-08
1892,6.268512375839919e-10,3.6984221463143285e-08
1893,6.158416554491453e-10,3.510297474917934e-08
1894,0.0,3.276800386586842e-08
1895,1.2037228991346183e-09,2.2870734639468537e-08
1896,0.0,4.776593365285464e-08
1897,5.826713556089658e-10,2.2141511735185304e-08
1898,5.6583548957434e-10,3.564763606522803e-08
1899,1.1055156790007459e-09,3.7034777022881826e-08
1900,0.0,5.4506056557102056e-08
1901,5.588738916095792e-10,3.632680295462265e-08
1902,4.910283846193408e-10,3.0443761289689064e-08
1903,1.6200660812870638e-09,2.3220946943069976e-08
1904,1.0749250378694342e-09,3.2247750247904605e-08
1905,5.160759042333041e-10,3.096455358786443e-08
1906,1.5432553013283723e-09,2.5206504883357184e-08
1907,1.5428529565042481e-09,4.062846181707158e-08
1908,4.911389073214423e-10,3.929111103140315e-08
1909,2.2003934230241384e-09,1.5402754627302784e-08
1910,2.137660271017694e-09,2.832399881302905e-08
1911,1.5961122423746588e-09,2.5537796655150657e-08
1912,1.0418842455450772e-09,3.542406545875565e-08
1913,5.833288740930698e-09,2.969674245401066e-08
1914,2.678697486047099e-09,2.6117300322425763e-08
1915,3.534228465440492e-09,3.534228554258334e-08
1916,0.0,1.9777431248257926e-08
1917,1.0966424435210342e-09,3.070598708632133e-08
1918,2.2972752589112133e-09,2.756730310693456e-08
1919,0.0,2.2098836538475553e-08
1920,1.514446346106979e-09,4.31617208640489e-08
1921,1.5145494858259667e-09,5.6038331308627676e-08
1922,7.377935484775833e-10,3.9840852394945614e-08
1923,0.0,5.8387715995422695e-08
1924,0.0,5.1566498626698376e-08
1925,0.0,3.189471442510694e-08
1926,3.3438415369957397e-09,2.5636119005412183e-08
1927,2.2298449753321847e-09,4.9056588125040435e-08
1928,0.0,2.3994687015083116e-08
1929,1.1140406375176326e-09,3.78773812315103e-08
1930,0.0,4.7266215830177316e-08
1931,1.1405356659111021e-09,3.079446386777818e-08
1932,0.0,3.835837958376942e-08
1933,1.1470662197865522e-09,2.638252261100149e-08
1934,1.1981580172459871e-09,5.032263672433146e-08
1935,0.0,5.146362269670135e-08
1936,1.2124714565686645e-09,3.6374141920703096e-08
1937,0.0,2.1404900962807005e-08
1938,2.5930428915188486e-09,2.9819993585533666e-08
1939,0.0,3.976453122334078e-08
1940,0.0,5.0715659227762444e-08
1941,2.9515025978810172e-09,5.312704942639357e-08
1942,0.0,1.5171058853624686e-08
1943,0.0,2.6129116648121453e-08
1944,0.0,2.8918675454292497e-08
1945,0.0,2.178504132643866e-08
1946,2.7842208538686464e-09,5.8468636154884734e-08
1947,1.1920870957027319e-09,5.006765846360395e-08
1948,0.0,4.131317310474003e-08
1949,9.817008317369869e-10,2.9451025507221118e-08
1950,0.0,4.5732054587688253e-08
1951,0.0,3.731490694214301e-08
1952,1.0544803918932644e-09,2.319856839960721e-08
1953,0.0,2.693456935265459e-08
1954,9.772536113672459e-10,5.2771696346098906e-08
1955,0.0,1.220129064449793e-08
1956,0.0,2.9651880950609666e-08
1957,1.7670075402875796e-09,2.47381048978923e-08
1958,3.3088973783179654e-09,3.14345241503311e-08
1959,5.425523585955716e-09,3.64285146492449e-08
1960,6.920833350854139e-10,3.252791813679323e-08
1961,1.3896318540318475e-09,3.54356138876355e-08
1962,2.5367825617905737e-09,3.424656469519505e-08
1963,6.466053248388448e-10,4.332255620909109e-08
1964,6.083968329129164e-10,4.3804572302796885e-08
1965,1.0944086747954884e-09,2.6265808472647478e-08
1966,3.3234448526542337e-09,3.434226480969471e-08
1967,1.9721342336964653e-09,5.768492616908816e-08
1968,1.7965663401398047e-09,3.9524459205519946e-08
1969,9.083515606356229e-10,2.997560108464192e-08
1970,4.5987250119061684e-10,3.5870056036557685e-08
1971,1.0276794970565106e-09,4.007949916395859e-08
1972,1.0260293725750103e-09,5.591860041676e-08
1973,1.102640756478479e-09,3.859242769799209e-08
1974,1.1251143350321513e-09,2.0252058030578723e-08
1975,3.4268881066168433e-09,2.627280792921738e-08
1976,1.142705374768127e-09,2.285410793945175e-08
1977,1.7630345516828072e-09,2.3507126911681553e-08
1978,1.1881182704343018e-09,2.7920779799295303e-08
1979,0.0,2.2237498953359136e-08
1980,1.1370301367108482e-09,4.548120458025551e-08
1981,1.897664858585557e-09,2.909752794266751e-08
1982,1.8622506869903077e-09,3.5382761609525915e-08
1983,6.315316047889041e-10,2.4629732364722656e-08
