year,mon_DET envoi_NOUN,mon_DET renvoi_NOUN
1800,0.0,3.144164484325529e-09
1801,1.904946067554647e-08,2.3811825844433088e-09
1802,4.475680270843441e-09,4.475680270843441e-09
1803,9.751696339321825e-09,3.900678446910888e-09
1804,6.673997887673977e-08,1.730295728918918e-08
1805,2.842877755426798e-08,8.528632911009026e-09
1806,0.0,1.123850950079941e-07
1807,2.8469551160981155e-09,1.9928686256776018e-08
1808,4.078933102391602e-08,9.064295980465431e-09
1809,8.358412628695078e-08,6.551188569403621e-08
1810,9.360507036149102e-09,1.4040760110134443e-08
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,1.600324850414836e-08,5.3344164641089264e-09
1813,0.0,8.627225156487839e-09
1814,3.1466771410748606e-09,2.8320094713762956e-08
1815,4.045835311217161e-08,2.4275012222574333e-08
1816,2.3176038865813098e-08,1.622322720606917e-08
1817,7.784366928831332e-09,2.1796227045456362e-08
1818,1.5497530370112145e-08,0.0
1819,1.2421260020545333e-08,1.449147024601416e-08
1820,1.1866481131050932e-08,1.0679833017945839e-08
1821,3.35290586406245e-08,1.4792231883831164e-08
1822,6.316138012607553e-08,3.107940926838637e-08
1823,4.0519015698237126e-08,2.3718449426723964e-08
1824,2.947389532437228e-08,5.642145595174952e-08
1825,2.905796137042671e-08,2.289415235168235e-08
1826,1.4092774947016551e-08,1.5854371593349015e-08
1827,5.530363722527909e-09,8.295545583791863e-09
1828,3.3020285172824515e-08,4.769596506637441e-08
1829,2.8291481157793896e-08,4.2865879568143583e-08
1830,8.349468672008697e-09,1.6698937344017395e-08
1831,2.494592976631793e-08,2.9623292263636358e-08
1832,2.1647950987357945e-08,4.329590197471589e-08
1833,1.853380560135065e-08,1.9692167896323554e-08
1834,2.0535967593104942e-08,1.3068342852307069e-08
1835,2.7227116561334697e-08,9.832014313815307e-09
1836,5.040562367497614e-08,2.9571300075303952e-08
1837,4.1051555488280655e-08,1.3915781860163179e-08
1838,1.8936486601006663e-08,1.0099459268886335e-08
1839,1.3283802502428443e-08,6.9914751765765e-10
1840,1.2102408630809691e-08,2.0383004062374255e-08
1841,1.733548149474018e-08,1.219904177673925e-08
1842,2.2137275124123335e-08,7.379091560011375e-09
1843,1.9492807368237663e-08,1.4176587015413133e-08
1844,1.701453911095996e-08,2.4698525891153622e-08
1845,2.511102614732863e-08,1.8414752223083752e-08
1846,5.269050973311096e-09,1.3465353276842507e-08
1847,1.7258316553636632e-08,1.5640349459999925e-08
1848,2.4940187581812268e-08,1.287235473768078e-08
1849,2.1786478399121734e-08,8.295620546050486e-08
1850,5.431196825611551e-09,2.851378333446064e-08
1851,1.3543821397732358e-08,4.514607354622058e-09
1852,8.463708844885787e-09,6.510545436100301e-09
1853,2.388772735173461e-08,1.1943863675867306e-09
1854,2.5978321716024766e-08,1.506742641765868e-08
1855,2.0166361025530932e-08,6.368324534378189e-09
1856,4.2970670466324634e-08,9.836659486950339e-09
1857,3.954022204100127e-08,9.274867096564776e-09
1858,3.1808895073481835e-08,1.2723557318849998e-08
1859,5.092173371856745e-08,5.0412516827691434e-08
1860,3.8906062371779626e-08,3.661747172145624e-08
1861,5.470517960848298e-08,7.073945429425521e-09
1862,4.6083460630841344e-08,1.8071945051545413e-09
1863,4.4452124203786525e-08,1.0988165932701577e-08
1864,5.034464223285795e-08,2.3014694150447212e-08
1865,5.036323358353911e-08,1.4120533187167439e-08
1866,4.7196446417707705e-08,1.702964524952222e-08
1867,4.804283193493575e-08,1.9896527092555516e-08
1868,2.9145257318674567e-08,1.3831646938911035e-08
1869,4.346331949900417e-08,1.6603965646844188e-08
1870,4.759260407993793e-08,3.899153266928579e-08
1871,4.460894276192562e-08,5.416800519242315e-08
1872,1.0099056479973001e-07,1.814201766592305e-08
1873,7.662085588222567e-08,1.3767810169706962e-08
1874,4.60044912165003e-08,1.6131444624534197e-08
1875,8.353429414853508e-08,2.460256709468922e-08
1876,5.9250943262867395e-08,1.5115036333668286e-08
1877,8.163957243567666e-08,2.659470932364627e-08
1878,5.857916063334301e-08,2.0532901490177835e-08
1879,4.704180589509832e-08,2.6270098985037293e-08
1880,6.738738678180312e-08,1.2835692508872398e-09
1881,3.9046042843438045e-08,4.183504653809678e-09
1882,8.053015743136882e-08,1.3310770263785798e-08
1883,5.8769851207784995e-08,1.64302811356265e-08
1884,3.9610180913030035e-08,9.242375753615306e-09
1885,4.125206687355387e-08,7.090199094506033e-09
1886,9.163918801569082e-08,1.871504551331782e-08
1887,6.071899982806883e-08,1.4363633837888301e-08
1888,4.628648886395581e-08,6.340614699951175e-09
1889,3.5084767091575486e-08,8.144677543509005e-09
1890,7.79972003650542e-08,1.1142456735058204e-08
1891,5.035633909855619e-08,1.7210394887001712e-08
1892,6.205826919014612e-08,1.3790726782758611e-08
1893,3.017624067291891e-08,1.9091091374434654e-08
1894,4.600123526543598e-08,1.1342770278588432e-08
1895,4.69451926221609e-08,1.023164486468886e-08
1896,4.65865286347622e-08,1.2973463581200662e-08
1897,2.505486840220783e-08,1.3401440845939305e-08
1898,3.281845950553475e-08,1.1882545614128048e-08
1899,4.4220628936386674e-08,1.9346524382513053e-08
1900,4.7757687360316936e-08,2.2321528625468545e-08
1901,4.80631539012677e-08,6.147612696683069e-09
1902,6.039648853262136e-08,2.504244706047487e-08
1903,5.346217912816087e-08,1.29605282062073e-08
1904,3.278521276683932e-08,1.3436562973367927e-08
1905,4.128607306030929e-08,5.676835002077496e-09
1906,5.812928405291018e-08,1.6461390472954918e-08
1907,1.059425762117705e-07,7.1999805006939255e-09
1908,1.6207583541927306e-07,5.40252820258047e-09
1909,4.785855772793113e-08,1.1552065082298668e-08
1910,6.038890143500453e-08,1.977335806202518e-08
1911,3.6710580797461034e-08,3.2454281040372734e-08
1912,4.480102111514839e-08,1.9795800554334164e-08
1913,4.295421707212199e-08,1.5378670781274195e-08
1914,3.683209170990409e-08,9.37544086809794e-09
1915,6.361611326610728e-08,5.890381071793627e-09
1916,7.361599507760275e-08,7.69122321386817e-09
1917,2.9609346086090227e-08,9.869782324756216e-09
1918,3.560776473676697e-08,1.033773866510046e-08
1919,3.1306683467846597e-08,5.064316610514652e-08
1920,4.846228351951254e-08,3.407504323149624e-08
1921,1.5902769767706104e-08,2.0446417892117097e-08
1922,1.0329109734197317e-08,1.9182632371439468e-08
1923,4.4586980774141693e-08,2.229349149729387e-08
1924,5.285566073709447e-08,2.0626599095407983e-08
1925,5.719052653674339e-08,1.979671959695395e-08
1926,4.124071362188175e-08,1.4489979882625903e-08
1927,5.351628029615085e-08,7.804457524684949e-09
1928,5.484499698837908e-08,2.0566874425753667e-08
1929,5.235990974128413e-08,3.676334259239411e-08
1930,5.3568378177715203e-08,2.4158288258746552e-08
1931,4.334035708097872e-08,2.6232321204133768e-08
1932,5.041386685888938e-08,1.8631212128639163e-08
1933,3.785318480886701e-08,1.4911860191091364e-08
1934,2.875579241390369e-08,1.4377896206951846e-08
1935,5.2660449334496207e-08,2.8723881939640705e-08
1936,2.7886843501079284e-08,9.699771652549316e-09
1937,4.029157785190307e-08,1.3850230295986421e-08
1938,3.111651469822618e-08,2.074434313215079e-08
1939,3.364691103513451e-08,2.2941076593951948e-08
1940,5.325143970225099e-08,1.01431314458722e-08
1941,5.017554371988808e-08,8.264207629338216e-08
1942,1.8205270180260413e-08,1.517105907566929e-08
1943,1.7419411690866582e-08,2.322588166236983e-08
1944,2.5705489292704442e-08,3.855823393905666e-08
1945,3.0499055725385915e-08,5.2284098384092204e-08
1946,3.3410651134602176e-08,4.733175273941015e-08
1947,4.053096125389288e-08,3.218635202806297e-08
1948,2.0656587107481528e-08,4.566192757238241e-08
1949,3.9268034601747104e-08,2.7487622844546422e-08
1950,4.4668517773516214e-08,2.339779547888554e-08
1951,4.051332624932513e-08,3.731490694214301e-08
1952,6.326882129314981e-08,3.690681538159879e-08
1953,5.92560516210483e-08,1.4005975934594517e-08
1954,3.420387528763058e-08,3.615838295445428e-08
1955,3.941955206698822e-08,1.220129064449793e-08
1956,3.314033847345854e-08,3.1396109267944894e-08
1957,2.9155624414745063e-08,2.473810534198151e-08
1958,1.3235589513271862e-08,2.5643954348897324e-08
