year,en_ADP an_NOUN,en_ADP rang_NOUN
1800,4.904896533375336e-07,6.03679609412211e-07
1801,5.643402785082685e-07,6.786370598810265e-07
1802,6.064546766992862e-07,6.780655894544907e-07
1803,5.265915992147541e-07,6.631153155467473e-07
1804,3.6830580740776497e-07,7.687456515803603e-07
1805,4.918178508894755e-07,7.476768359993002e-07
1806,4.3801370352980484e-07,7.117722589100595e-07
1807,4.526658616832435e-07,7.174326790426733e-07
1808,5.483899125913183e-07,7.772633918712302e-07
1809,5.421673359151669e-07,6.234924398995645e-07
1810,5.943921879136838e-07,6.575756401616673e-07
1811,5.515568854974617e-07,7.345735184571822e-07
1812,3.6807472891808857e-07,5.067695383331738e-07
1813,4.658701489024253e-07,6.269116614721071e-07
1814,5.286417530392384e-07,7.772292747176834e-07
1815,5.529308373386499e-07,6.850947897873993e-07
1816,5.400016984680178e-07,6.767403419871698e-07
1817,5.433488123873786e-07,7.348442636612162e-07
1818,6.115563999653517e-07,7.701080448896391e-07
1819,4.896046665869846e-07,8.115223408822203e-07
1820,5.517913699293331e-07,5.980706418995396e-07
1821,5.581602378068595e-07,6.893180284350819e-07
1822,5.323601897089247e-07,7.629493694594203e-07
1823,5.33665093671587e-07,8.637468180694441e-07
1824,5.793725446068265e-07,8.640061865961002e-07
1825,5.60906715518783e-07,5.767565027792187e-07
1826,4.6241916806799566e-07,7.821490254356078e-07
1827,6.286180035952604e-07,6.590350376534104e-07
1828,5.851928263078676e-07,5.98034048948648e-07
1829,5.735454887134672e-07,9.250457075893337e-07
1830,3.7781346229337487e-07,9.111357528457376e-07
1831,3.80425425827724e-07,7.140772413372076e-07
1832,3.368962461225422e-07,6.304965920467254e-07
1833,6.544750054127135e-07,7.853699989235352e-07
1834,4.424567656702294e-07,7.971689501840018e-07
1835,4.4092801942952065e-07,8.500910766429115e-07
1836,3.8913142974550397e-07,7.688537837502452e-07
1837,4.167776712638016e-07,8.189437572525549e-07
1838,3.888291648657116e-07,7.839705000733943e-07
1839,4.1669192585302994e-07,7.529818617513229e-07
1840,3.471480304884089e-07,8.777430720030566e-07
1841,3.7239181560622114e-07,7.454256660821557e-07
1842,5.138531156134718e-07,6.017313580741757e-07
1843,3.378753090643727e-07,5.381195933296112e-07
1844,3.485236398370617e-07,6.213051231274136e-07
1845,3.5546052618018464e-07,6.037806679626279e-07
