year,en_PRON amènera_VERB,en_PRON ramènera_VERB
1800,2.5153315874604232e-08,0.0
1801,4.286128785224719e-08,2.6193008650921e-08
1802,4.2518962573012686e-08,1.1189200677108602e-08
1803,1.1702034896643454e-08,0.0
1804,4.943701892301533e-09,9.887403784603066e-09
1805,1.7057265822018053e-08,8.528632911009026e-09
1806,3.458002950651462e-08,0.0
1807,1.9928686256776018e-08,2.8469551160981155e-09
1808,2.7192887941396293e-08,1.1330369531492579e-08
1809,6.325285539787728e-08,0.0
1810,4.44624070894406e-08,2.3401267590372754e-09
1811,3.259199843341776e-08,2.5070767684098882e-09
1812,2.9339290108509886e-08,0.0
1813,5.751483289628823e-09,0.0
1814,2.2026739543434815e-08,3.1466771410748606e-09
1815,8.091670444798638e-09,5.394447111228828e-09
1816,1.8540831092650478e-08,0.0
1817,1.5568733857662664e-08,4.670620334934483e-09
1818,4.887682791832049e-08,4.768470951432846e-09
1819,2.5877625375869684e-08,3.1053151161586356e-09
1820,3.797273961936298e-08,4.746592452420373e-09
1821,3.648750634965836e-08,9.86148829262845e-10
1822,5.1130641054442094e-08,4.010246357211145e-09
1823,3.063632902922109e-08,3.9530747564242574e-09
1824,2.6947560627377243e-08,7.57900142644985e-09
1825,5.987701001686219e-08,1.7610886082763955e-09
1826,4.932471142637951e-08,8.807984341885344e-10
1827,6.175572764277604e-08,2.7651818612639545e-09
1828,4.861319524707142e-08,1.8344602503717056e-09
1829,3.3435387791769244e-08,8.57317605795771e-10
1830,4.800944353178238e-08,1.1480519646056564e-08
1831,4.989185953263586e-08,2.0268567268999504e-08
1832,3.111892965534935e-08,0.0
1833,2.20088942626262e-08,2.3167257001688313e-09
1834,1.120143711119681e-08,1.8669061851994684e-09
1835,4.9160071569076536e-08,3.025235173481633e-09
1836,3.1587525484155776e-08,2.688300027031687e-09
1837,3.826840000442644e-08,1.3915781860163179e-09
1838,1.4517972601879592e-08,1.8936485712828244e-09
1839,3.915226187700682e-08,0.0
1840,2.1019973317493168e-08,1.9109065441114126e-09
1841,3.4028907691663335e-08,2.5682194149112547e-09
1842,4.293289634915709e-08,0.0
1843,3.603215859016018e-08,2.3627644285539873e-09
1844,6.092302839988406e-08,3.841992946007622e-09
1845,3.2923345827384765e-08,2.7901139176833567e-09
1846,6.615586300995346e-08,1.1709002656346001e-09
1847,4.476375536910382e-08,3.235934187273415e-09
1848,2.976732105253177e-08,1.528592186161859e-08
1849,2.513824526317876e-08,3.3517659758786067e-09
1850,2.851378333446064e-08,1.3577992064028876e-08
1851,2.8377531435808123e-08,2.579775504329973e-09
1852,4.296959943417278e-08,1.9531636308300904e-09
1853,2.6873692604567623e-08,4.777545470346922e-09
1854,4.8319680701069956e-08,7.79349651480743e-09
1855,1.751289246954002e-08,7.429711956774554e-09
1856,2.8992259260007813e-08,3.1063134287023786e-09
1857,5.2232145719699474e-08,1.0251168802710708e-08
1858,3.6213201326518174e-08,1.0766087576996597e-08
1859,4.124660435422811e-08,3.055304009791371e-09
1860,3.295572525985335e-08,9.154367819341758e-10
1861,5.423358118150645e-08,4.715963619617014e-09
1862,3.207770404856092e-08,3.6143890103090826e-09
1863,3.9457503930862003e-08,1.4983863039219614e-09
1864,3.068625886726295e-08,1.0548401263577034e-08
1865,3.95374932793402e-08,1.0825742080555756e-08
1866,3.649209645573137e-08,5.838735717134114e-09
1867,4.707226963773792e-08,4.85281148598915e-09
1868,2.5193358510477992e-08,4.44588676984381e-09
1869,3.2231227464762924e-08,2.441759683335931e-09
1870,4.587239033071455e-08,1.7202146374017957e-09
1871,2.442870794538976e-08,0.0
1872,3.5679303067581714e-08,1.269941218851045e-08
1873,3.5317427204972773e-08,7.183205141814142e-09
1874,4.839433387360259e-08,4.779687312606029e-09
1875,4.4627910256167524e-08,1.0298748520654044e-08
1876,2.9625471853478302e-08,1.6928840551599933e-08
1877,3.277952487223956e-08,1.2369631985365004e-09
1878,2.959153455606156e-08,7.850815109122777e-09
1879,4.3376211067425174e-08,1.0385853066452455e-08
1880,5.0700986520269e-08,3.2089231272180996e-09
1881,3.416528571165145e-08,4.183504653809678e-09
1882,3.4608003574021495e-08,1.9966155395678697e-09
1883,2.0221884611260066e-08,1.2638677882037541e-09
1884,3.1688145440966764e-08,8.582206056928499e-09
1885,5.0920522909336796e-08,3.2228177904158883e-09
1886,4.5174246565693466e-08,1.677900662855336e-08
1887,2.8074376601239237e-08,2.6115698492645834e-09
1888,2.4728397107764977e-08,3.804368819970705e-09
1889,4.2602930960811136e-08,3.132568426877924e-09
1890,3.47382496102e-08,5.898947996740844e-09
1891,3.633305567518619e-08,6.374220040683554e-10
1892,2.6954603882245465e-08,1.0656471260972467e-08
1893,2.9560400349737392e-08,6.15841644346915e-09
1894,4.285046628638156e-08,3.780923574225881e-09
1895,2.467631965430428e-08,6.018614495673091e-09
