year,aucun_DET habit_NOUN
1800,5.65949598296811e-08
1801,1.1905912700171939e-08
1802,1.1189200677108602e-08
1803,1.755305234496518e-08
1804,3.707776485839531e-08
1805,2.842877755426798e-08
1806,2.881669125542885e-09
1807,2.2775640928784924e-08
1808,2.4926814390369145e-08
1809,0.0
1810,2.3401267590372754e-09
1811,1.7549536934780008e-08
1812,2.1337665856435706e-08
1813,5.751483289628823e-09
1814,3.1466771410748606e-09
1815,5.394447111228828e-09
1816,2.3176038865813098e-09
1817,2.9580593974287694e-08
1818,1.668964877410417e-08
1819,0.0
1820,3.085285271708926e-08
1821,2.6626018723163725e-08
1822,1.7043547018147365e-08
1823,2.075364236020505e-08
1824,1.0105335235266466e-08
1825,5.283265824829186e-09
1826,8.807984341885344e-10
1827,5.7147094167930845e-08
1828,5.503380862137419e-09
1829,1.3717081692732336e-08
1830,2.2961039292113128e-08
1831,6.236482441579483e-09
1832,5.411987746839486e-09
1833,1.1583628500844156e-09
1834,3.360431222176885e-08
1835,1.739510224751939e-08
1836,2.016225053580456e-08
1837,2.7831563720326358e-09
1838,6.312161904276081e-09
1839,1.3283802502428443e-08
1840,1.3376346252869098e-08
1841,1.6693427085101575e-08
1842,6.708265054555795e-09
1843,1.9492807368237663e-08
1844,1.701453911095996e-08
1845,7.254296274794569e-09
1846,5.854501328173001e-09
1847,2.3730184040005042e-08
1848,8.84974404868899e-09
1849,2.513824526317876e-08
1850,6.788996032014438e-10
1851,1.805842941848823e-08
1852,5.208436348880241e-09
1853,1.5527023222716707e-08
1854,1.8704392368285028e-08
1855,1.1144567935161831e-08
1856,6.212626857404757e-09
1857,7.810414537345878e-09
1858,1.8595969208945462e-08
1859,4.0228169240208445e-08
1860,1.2358396972445007e-08
1861,2.1221836732365773e-08
1862,7.228778020618165e-09
1863,1.2486552236623538e-08
1864,6.233146443435089e-09
1865,1.1767110841276462e-08
1866,1.3623716377253459e-08
1867,9.7056229719783e-09
1868,9.87974813071446e-10
1869,9.278686263769487e-09
1870,8.601072742919769e-09
1871,3.3987767267262825e-08
1872,1.5118347462816928e-08
1873,1.7958012854535355e-09
1874,1.7923827755339516e-08
1875,4.577221712764867e-09
1876,1.1487427897804992e-08
1877,6.1848158816601995e-09
1878,4.22736201599605e-09
1879,2.443730107160036e-09
1880,1.2193908105473383e-08
1881,6.2752567586699115e-09
1882,7.986462158271479e-09
1883,6.319338829996468e-09
1884,9.242375753615306e-09
1885,9.023890079618013e-09
1886,9.680196200179125e-09
1887,2.154545164501087e-08
1888,1.4583413587843097e-08
1889,5.012109394186837e-09
1890,3.2771931834929546e-09
1891,6.3742202627281586e-09
1892,8.149066088591894e-09
1893,1.2932674486876294e-08
1894,8.822155450616265e-09
1895,7.22233739480771e-09
1896,6.486732040400511e-09
1897,9.905413378419325e-09
1898,2.26334195829736e-09
1899,5.527578395003729e-10
1900,3.633737311048435e-09
1901,1.0618603774048552e-08
1902,5.4013122863239005e-09
1903,3.7801539676252105e-09
1904,3.2247751136083025e-09
1905,4.1286072338664326e-09
1906,9.259531807970234e-09
1907,1.2342823652033985e-08
1908,4.4202499438483756e-09
1909,9.351672325408344e-09
1910,8.550641084070776e-09
1911,1.4897047151407605e-08
1912,8.335073686804861e-09
1913,4.772690687104841e-09
1914,4.018046340092951e-09
1915,1.1780761921542648e-09
1916,3.2962386153911893e-09
1917,6.57985488317081e-09
1918,0.0
1919,1.2890987610703064e-08
1920,1.0601124422748853e-08
1921,8.330022005509363e-09
1922,1.4755870969551665e-09
1923,4.246379248229459e-09
1924,1.6759111876041288e-08
1925,1.2097996160420621e-08
1926,6.687683296036084e-09
1927,1.7838759802657478e-08
1928,1.1426041224282812e-09
1929,7.798284462623428e-09
1930,4.201441416995522e-09
1931,1.2545892325022123e-08
1932,1.0959536611565568e-09
1933,4.588264879146209e-09
1934,7.188948103475923e-09
1935,4.787313656606784e-09
1936,6.0623572828433225e-09
1937,3.777335333410292e-09
1938,0.0
1939,1.5294050470515685e-09
1940,1.5214697057785997e-08
1941,1.1806010391524069e-08
1942,3.034211770724937e-09
1943,1.7419411690866582e-08
1944,0.0
1945,2.178504043826024e-09
1946,8.352662561605939e-09
1947,4.7683483828109274e-09
1948,1.195907639583993e-08
1949,6.8719057111366055e-09
1950,4.2541445921528975e-09
1951,2.1322803522849654e-09
1952,1.4762725264461096e-08
1953,3.232148326759443e-09
1954,2.9317608341017376e-09
1955,1.1262728971672686e-08
1956,6.976913269340912e-09
1957,5.301022731885041e-09
1958,1.0753916868111446e-08
1959,3.8753740216890264e-09
1960,6.2287499602575735e-09
1961,6.25334317660986e-09
1962,3.805173953708163e-09
1963,5.819447923549603e-09
1964,1.5209921211400967e-08
1965,8.20806533852192e-09
1966,4.985167390003653e-09
1967,6.409436092980059e-09
1968,5.838840522187638e-09
1969,6.358460868938209e-09
1970,3.678979926258208e-09
1971,4.6245578477766e-09
1972,5.130146696341598e-09
1973,1.1026407786829395e-08
1974,2.812785782069227e-09
1975,1.599214449754527e-08
1976,2.8567633814091664e-09
1977,4.7014254711541525e-09
1978,2.9702956760857546e-09
1979,8.192762690484301e-09
1980,4.548120546843393e-09
1981,4.427884725544118e-09
1982,0.0
1983,3.157658134966823e-09
1984,2.3196033982486597e-09
1985,6.617113967877231e-09
1986,6.593933898901838e-09
1987,4.277571630240118e-09
1988,6.596209356501959e-09
1989,4.390497854167563e-09
1990,5.448650863826288e-09
1991,7.033758464558559e-09
1992,2.2039777225479895e-09
1993,4.985286850001103e-09
1994,8.43988251508776e-09
1995,7.0491861237087505e-09
1996,6.939520069693117e-09
1997,6.233362714880286e-09
1998,4.7681290027412615e-09
1999,8.226361730701015e-09
2000,1.192868470667463e-08
2001,4.819333043748486e-09
2002,3.9430991805033955e-09
2003,1.1667383947866483e-08
2004,6.166707949839534e-09
2005,8.106749271874492e-09
2006,1.1118303056001366e-08
2007,7.1900631282151295e-09
2008,5.960415716543821e-09
2009,6.675469732542183e-09
2010,1.2754241662804588e-08
2011,8.030340808984349e-09
2012,1.2595734927289826e-08
2013,1.4782363111365271e-08
2014,1.2559581735738234e-08
2015,1.2412822103513577e-08
2016,1.1599504468051691e-08
2017,1.3584301683522426e-08
2018,1.2391039860837338e-08
2019,1.6836519289853413e-08
