year,en_ADP ail_NOUN,en_ADP rail_NOUN
1800,1.2576658381391326e-08,3.144164484325529e-09
1801,3.809892001882531e-08,2.3811825844433088e-09
1802,5.370816325012129e-08,0.0
1803,5.070882025393075e-08,5.851017448321727e-09
1804,7.909923027682453e-08,2.4718509461507665e-09
1805,2.5585899399160894e-08,0.0
1806,6.627838811112952e-08,0.0
1807,1.2241906865995134e-07,0.0
1808,1.0877154954513912e-07,4.5321479902327155e-09
1809,9.93973401364201e-08,0.0
1810,2.9251585464962204e-07,0.0
1811,1.253538335355131e-07,2.5070767684098882e-09
1812,1.8137015445063298e-07,0.0
1813,1.2078114730584844e-07,0.0
1814,1.0698702368472368e-07,0.0
1815,5.664169577812572e-08,0.0
1816,4.6352077731626196e-08,4.6352077731626196e-09
1817,3.892183608744659e-08,3.113746815941454e-09
1818,5.602953323524673e-08,7.152706427149269e-09
1819,1.2214239364372048e-07,4.140420006848444e-09
1820,2.966620371580575e-08,3.5599443393152796e-09
1821,4.43766958735381e-08,1.97229765852569e-09
1822,3.107940926838637e-08,4.010246357211145e-09
1823,3.755420863171821e-08,4.941343334508019e-09
1824,3.3684449896043134e-08,4.210556348027694e-09
1825,3.258013947515792e-08,1.7610886082763955e-09
1826,2.4662355713189754e-08,2.642395191543301e-09
1827,4.147772969531616e-08,7.373818444733615e-09
1828,4.3109815550668174e-08,1.8344602503717056e-09
1829,1.0545006362550069e-07,8.573175946935407e-09
1830,6.053364676184003e-08,0.0
1831,7.483779085326603e-08,0.0
1832,7.035583848846727e-08,0.0
1833,3.938433579264711e-08,1.1583628500844156e-09
1834,7.000897994657862e-08,2.8003592777992026e-09
1835,5.596685070941021e-08,2.2689263801112247e-09
1836,6.653542283796554e-08,9.409050427677812e-09
1837,7.792837530828933e-08,3.478945576063097e-09
1838,6.754013526233393e-08,6.943378316748294e-09
1839,1.2095251933352813e-07,2.0974426639952526e-09
1840,1.031889566571742e-07,5.732719632334238e-09
1841,1.3097919682181214e-07,5.778493683550323e-09
1842,1.2745704225380905e-07,8.049918065466954e-09
1843,1.3763102491015644e-07,2.3627644285539873e-09
1844,1.4764229661068384e-07,7.683985892015244e-09
1845,1.5345627124574435e-07,1.9530797867872707e-08
1846,1.042101231973902e-07,1.0538101946622191e-08
1847,1.6341467112823693e-07,3.235934187273415e-09
1848,8.447483018647617e-08,3.218088684420195e-09
1849,1.2233945301254323e-07,6.703532173801818e-09
1850,1.1677072819793466e-07,6.1100964288129944e-09
1851,1.2253933023842478e-07,6.449438760824933e-09
1852,1.608104709394098e-07,7.812654745364966e-09
1853,1.5228425720437144e-07,8.957897978945084e-09
1854,1.6158516574771298e-07,1.2469595134234623e-08
1855,1.363882802252192e-07,1.2205955357558196e-08
1856,1.1545131700652078e-07,5.177189343896771e-09
1857,1.4693341654492542e-07,5.369659827891837e-09
1858,9.983099408250595e-08,2.300027723833864e-08
1859,1.2221216127983325e-07,4.582956236731661e-09
