year,en_ADP âme_NOUN,en_ADP ame_NOUN,en_ADP rame_NOUN
1800,6.288328968651058e-09,1.446315653907959e-07,2.5153315874604232e-08
1801,1.904946067554647e-08,2.0478170359439218e-07,6.429193177837078e-08
1802,2.0140561218795483e-08,7.832440473976021e-08,6.265952379180817e-08
1803,4.290746247193056e-08,9.751695762005852e-08,1.8723255834629526e-07
1804,1.4831105232815389e-08,2.4471323856189997e-07,5.1908870757344516e-08
1805,2.842877711017877e-09,1.3645813323748257e-07,9.950071699904584e-08
1806,1.2679343797117326e-07,2.0748018414451508e-07,1.152667650217154e-08
1807,8.540865792383556e-09,2.7046074890790806e-07,4.555128185756985e-08
1808,9.064295980465431e-09,2.6286459053892486e-07,1.4276265858370607e-07
1809,1.3554183553310395e-08,1.6716825657070444e-07,1.1295152546608733e-07
1810,1.6380887757350138e-08,1.8487000863487424e-07,2.106114038724627e-08
1811,7.270522672797597e-08,9.777599307980722e-08,1.504245972228091e-08
1812,1.3336041604361526e-08,8.268345785822362e-08,1.8670458068470452e-08
1813,6.039057609541487e-08,7.189354045422647e-08,3.4508900625951355e-08
1814,4.405347908686963e-08,1.5733386149463513e-07,1.8880061958270744e-08
1815,4.045835311217161e-08,2.886029148996272e-07,8.091670444798638e-09
1816,3.9399267848239106e-08,1.3442102897442965e-07,6.952811659743929e-09
1817,9.029865566390072e-08,8.25142891791586e-08,6.694555576558514e-08
1818,8.344824209416402e-08,9.775365494846255e-08,6.079800130009971e-08
1819,1.625114833814223e-07,1.1800196819677922e-07,4.657972552113421e-08
1820,9.374520004712394e-08,2.0054353644383127e-07,2.610625848831205e-08
1821,1.370746929296729e-07,1.4989461838421647e-07,2.2681422962023134e-08
1822,1.1529458276982041e-07,1.6141241587774857e-07,2.7069162911175226e-08
1823,8.103803139647425e-08,1.7195875101627678e-07,8.894418312976882e-09
1824,5.726356633317664e-08,1.1200079974571509e-07,3.536867243525421e-08
1825,9.509878395874694e-08,1.673034146776331e-07,2.7296874094417944e-08
1826,1.0041102171953753e-07,1.444509369896707e-07,1.673517047162676e-08
1827,4.7929820112813104e-08,1.281200947556016e-07,4.516463647519231e-08
1828,1.1740545602378916e-07,1.1190207738209779e-07,6.145441722171796e-08
1829,6.858540757548326e-08,1.0287811458287166e-07,3.8579290873030914e-08
1830,1.2106730196137505e-07,1.1376150732544943e-07,3.339787335576716e-08
1831,7.483778574624012e-08,1.683850194833525e-07,1.0446107978623331e-07
1832,7.035583848846727e-08,1.339466928484967e-07,6.3590853471851e-08
1833,6.950177322551099e-08,1.297366415409229e-07,4.40177885252524e-08
1834,6.347480763224667e-08,9.987947935385932e-08,9.70791234067292e-08
1835,7.941242330389287e-08,1.096647750387092e-07,4.0084366048631637e-08
1836,1.424799052074377e-07,2.3522625891558846e-07,2.9571300075303952e-08
1837,1.4541991610883542e-07,1.0228099567299864e-07,3.4093664558199066e-08
1838,1.1993107307262107e-07,6.880256608887692e-08,1.7674054220151447e-08
1839,9.508406151326199e-08,1.531133128063189e-07,5.5931799636255164e-08
1840,1.5733131419892743e-07,5.860113594380323e-08,4.33138822586443e-08
1841,1.2327453191574023e-07,4.558589505876398e-08,2.3113975622379712e-08
1842,1.9923547256439633e-07,8.519496930148307e-08,2.817471411731276e-08
1843,1.7779802874429151e-07,6.143187414320295e-08,2.7762482091020502e-08
1844,2.2503100632897954e-07,2.5796237368425068e-08,5.54344694592146e-08
1845,2.0758447760726995e-07,3.9061595735745414e-08,4.966402722406116e-08
1846,2.3066735366228386e-07,3.80542584110799e-08,3.9810608143397985e-08
1847,1.7042586364368617e-07,2.2651539310913904e-08,4.907833428546837e-08
1848,1.4803208414626567e-07,2.1722098675347468e-08,5.390298696283935e-08
1849,1.0977033326753372e-07,3.016589333881825e-08,3.10038346107433e-08
1850,1.6904600386169477e-07,4.480737558765213e-08,6.313766665044795e-08
