year,en_PRON appelle_VERB,en_PRON rappelles_VERB
1800,7.13725341938698e-07,0.0
1801,6.000580015097512e-07,0.0
1802,5.952654760221776e-07,0.0
1803,5.792507522528467e-07,0.0
1804,5.314479381013371e-07,0.0
1805,6.424903631341294e-07,0.0
1806,7.492339477721544e-07,0.0
1807,6.377179602168326e-07,0.0
1808,4.758755380862567e-07,0.0
1809,6.641549816777115e-07,0.0
1810,8.284048931272991e-07,0.0
1811,3.785685862567334e-07,0.0
1812,6.13457871168066e-07,0.0
1813,6.959294864827825e-07,0.0
1814,1.1422438319641515e-06,0.0
1815,7.606170697727066e-07,0.0
1816,6.860107646389224e-07,0.0
1817,6.928086691004864e-07,0.0
1818,7.844134870538255e-07,0.0
1819,8.560318178751913e-07,0.0
1820,8.259070796157175e-07,0.0
1821,8.096282044789405e-07,0.0
1822,7.278597422555322e-07,0.0
1823,7.846853122828179e-07,0.0
1824,7.637949011041201e-07,0.0
1825,6.357529969136522e-07,0.0
1826,6.826188041486603e-07,0.0
1827,9.005275956042169e-07,0.0
1828,1.1951508440688485e-06,0.0
1829,9.301896284341638e-07,0.0
1830,9.570578640705207e-07,0.0
1831,9.027308465192618e-07,0.0
1832,9.958057489711791e-07,0.0
1833,8.81514154116303e-07,0.0
1834,8.177049153346161e-07,0.0
1835,7.207622729765717e-07,0.0
1836,9.745087936607888e-07,0.0
1837,8.154648298841494e-07,0.0
1838,8.23737138944125e-07,0.0
1839,8.991037248051725e-07,0.0
1840,1.1121476291009458e-06,0.0
1841,9.014449915412115e-07,0.0
1842,8.908576205612917e-07,0.0
1843,1.0933692919934401e-06,0.0
1844,9.75317334450665e-07,0.0
1845,8.861401852300332e-07,0.0
1846,1.0555665994615993e-06,0.0
1847,9.653870165493572e-07,0.0
1848,9.332457011623774e-07,0.0
1849,1.0030159955931595e-06,0.0
1850,1.004771434054419e-06,0.0
1851,9.093708399632305e-07,0.0
1852,8.047034043556778e-07,0.0
1853,7.763511575831217e-07,0.0
1854,7.762322411508649e-07,0.0
1855,7.721593533460691e-07,0.0
1856,9.008309120872582e-07,0.0
1857,8.484062732350139e-07,0.0
