year,un_DET est_NOUN,un_DET reste_NOUN
1800,1.9713911569851916e-06,4.313793809274102e-06
1801,1.578724095452344e-06,4.676642376466589e-06
1802,1.6873314052645583e-06,3.5536901066279825e-06
1803,2.2779961454943987e-06,3.7739064921993304e-06
1804,2.3532020350103267e-06,4.036532544660076e-06
1805,1.7881700387079036e-06,3.7781845421136495e-06
1806,1.3976094805911998e-06,3.999756643224828e-06
1807,1.6455400100312545e-06,3.806379034188012e-06
1808,1.8853735355151002e-06,3.816068556261598e-06
1809,1.5632491567885154e-06,3.890050521704325e-06
1810,1.7621154029257013e-06,6.032846613379661e-06
1811,1.4139912991595338e-06,3.845855815143295e-06
1812,1.5283103493857197e-06,3.691416125661817e-06
1813,1.521267336102028e-06,4.293482135153681e-06
1814,1.277550950362638e-06,3.838946071255123e-06
1815,1.6048479665187187e-06,3.7275629694022427e-06
1816,1.6385459957746207e-06,3.4879937373943903e-06
1817,1.9133974547003163e-06,4.564753041336189e-06
1818,1.5068368384163477e-06,4.1640674766085795e-06
1819,1.9252952370152343e-06,4.533759977221052e-06
1820,1.2424205806382815e-06,4.320585844652669e-06
1821,1.4772509757676744e-06,4.683220808487931e-06
1822,1.414614416717086e-06,3.8127416246425128e-06
1823,1.384564484396833e-06,4.073643353308398e-06
1824,1.45516833072179e-06,3.2783391361590475e-06
1825,1.5224610478981049e-06,4.130633271870465e-06
1826,1.1661770713544684e-06,3.59013448303358e-06
1827,1.4664681202702923e-06,3.2619930436794675e-06
1828,1.572132418914407e-06,3.959682274512488e-06
1829,1.288548332922801e-06,3.997671882416398e-06
1830,1.4319339243229479e-06,4.212306961903778e-06
1831,1.5731526445961208e-06,3.3427545673703207e-06
1832,1.4666486549685942e-06,4.245704346317325e-06
1833,1.4143610087558045e-06,3.704444452523603e-06
1834,1.3413721262622857e-06,3.854227784927389e-06
1835,1.3893392178943031e-06,4.140790593964994e-06
1836,1.4738604932063026e-06,3.715230604939279e-06
1837,1.475072849643766e-06,3.373185464283779e-06
1838,1.4416978046938311e-06,3.5834143119473083e-06
1839,1.384312099617091e-06,3.4544879099485115e-06
1840,1.3529219131669379e-06,3.6135243135504425e-06
1841,1.465169134462485e-06,3.2654909034590673e-06
1842,1.4295312666945392e-06,3.6291713527702996e-06
1843,1.5499734900004114e-06,3.3013725371233704e-06
1844,1.4648969681729795e-06,3.2607543474227896e-06
1845,1.3571113868238172e-06,3.404497142867058e-06
1846,1.4056657846595044e-06,3.3224295208356125e-06
1847,1.2776546327586402e-06,3.199260191877329e-06
1848,1.243791302840691e-06,3.5020849651345998e-06
1849,1.2661296295846114e-06,3.066028021692091e-06
1850,1.2586798447955516e-06,3.6382229779974296e-06
1851,1.2956923001183895e-06,3.2498722859486406e-06
1852,1.2578374253280344e-06,3.5502005317766816e-06
1853,1.288145654143591e-06,3.4022095576347056e-06
1854,1.249557271876256e-06,3.467066953533049e-06
1855,1.4206671039573848e-06,3.538665581004352e-06
1856,1.1798814512076206e-06,3.5764024346462975e-06
1857,1.395623485223041e-06,3.6484398009406505e-06
1858,1.4108468349149916e-06,3.3825089360561833e-06
1859,1.244527197741263e-06,3.3939335395416492e-06
1860,1.3017511264479253e-06,3.3083884503071204e-06
1861,1.3473508033712278e-06,3.2974018395748317e-06
1862,1.2727167586490395e-06,3.491951574119412e-06
1863,1.247156774297764e-06,3.410826579397508e-06
1864,1.26916449971759e-06,3.2297286765015087e-06
1865,1.2360172831904492e-06,3.2552535316199283e-06
1866,1.2212688034196617e-06,3.170433259924721e-06
1867,1.1239111472605146e-06,3.1688858399547826e-06
1868,1.1554365073607187e-06,3.1728810157005682e-06
1869,1.2955975989825674e-06,3.278306344611792e-06
1870,1.2431418099367875e-06,3.131937454270428e-06
1871,1.2001930826954776e-06,2.7657546510795328e-06
1872,1.264498678210657e-06,2.886395016332699e-06
1873,1.1972008451266447e-06,2.794266954708746e-06
1874,1.1190443274244899e-06,2.60851442845933e-06
1875,1.1219914313187473e-06,3.0141005993300496e-06
1876,1.4177904859025148e-06,3.0024510522252967e-06
1877,1.1967619002462015e-06,3.1412680954190364e-06
1878,1.1806417887783027e-06,2.9023861216614932e-06
1879,1.3061737718089717e-06,2.7632477213046513e-06
1880,1.178958314085321e-06,2.506810638180923e-06
