year,bien_ADV enseigner_VERB,bien_ADV renseigner_VERB
1800,8.489244152087849e-08,3.144164484325529e-09
1801,9.524730160137551e-08,0.0
1802,5.147032311469957e-08,0.0
1803,9.55666195068261e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,8.24434565060983e-08,0.0
1806,2.305335300434308e-08,0.0
1807,5.4092147649953404e-08,0.0
1808,4.305540457494317e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,6.31834211617388e-08,0.0
1811,5.0141537144554604e-08,0.0
1812,7.734903562095496e-08,0.0
1813,2.8757416004054903e-08,0.0
1814,7.552024783308298e-08,0.0
1815,8.091670622434322e-08,0.0
1816,8.1116134253989e-08,0.0
1817,7.7843672841027e-08,0.0
1818,7.033494853203592e-08,0.0
1819,6.624672010957511e-08,0.0
1820,6.170570543417853e-08,0.0
1821,1.0453177878844144e-07,0.0
1822,1.2832788343075663e-07,0.0
1823,4.0519015698237126e-08,0.0
1824,5.5579342017608724e-08,0.0
1825,3.434122675116669e-08,0.0
1826,5.9013494535520294e-08,0.0
1827,5.346018383534101e-08,0.0
1828,6.145441489024961e-08,0.0
1829,7.372931065674493e-08,0.0
1830,6.157733167810875e-08,0.0
1831,1.7150327380477393e-08,0.0
1832,4.329590197471589e-08,0.0
1833,3.243415847009601e-08,0.0
1834,4.480574844478724e-08,0.0
1835,3.100866052818674e-08,0.0
1836,6.183090306421946e-08,6.720750067579218e-10
1837,5.357576071673975e-08,6.262101948095733e-09
1838,4.797243136067664e-08,2.5248647617104325e-09
1839,4.894032556990169e-08,1.3982950353153e-09
1840,3.567025785855549e-08,8.280594876453051e-09
1841,4.943822418113086e-08,3.852329122366882e-09
1842,5.702025163145663e-08,2.0124795163667386e-09
1843,7.088293330070883e-08,1.1813821920725331e-08
1844,4.061535463506516e-08,8.232841963717874e-09
1845,4.3525776760589e-08,6.696273757711424e-09
1846,4.390875929516369e-08,5.854501328173001e-09
1847,3.4516631330916425e-08,2.6966118227278457e-09
1848,6.516629724728773e-08,3.218088684420195e-09
1849,3.854530916669319e-08,2.8490010350878947e-08
1850,5.906426636670403e-08,5.431196825611551e-09
1851,3.224719336003545e-08,5.159551008659946e-09
1852,2.3437962681782665e-08,2.408901877970493e-08
1853,3.822036376277538e-08,2.9262466227919504e-08
1854,3.065441944727354e-08,1.9223959313308114e-08
1855,5.094659627502551e-08,1.8043586180738203e-08
1856,5.021873406008126e-08,1.346069211649592e-08
1857,6.638852312335075e-08,2.0502337605421417e-08
1858,4.3553715300959084e-08,1.2723557318849998e-08
1859,5.244938705573077e-08,2.5970084749360467e-08
