year,en_ADP ans_NOUN,en_ADP rang_NOUN
1800,1.006132621661493e-07,6.03679609412211e-07
1801,9.28661236798689e-08,6.786370598810265e-07
1802,9.175144555229053e-08,6.780655894544907e-07
1803,9.946729906396001e-08,6.631153155467473e-07
1804,9.887404028852131e-08,7.687456515803603e-07
1805,6.25433098644379e-08,7.476768359993002e-07
1806,1.6137346481315262e-07,7.117722589100595e-07
1807,1.5088862248546775e-07,7.174326790426733e-07
1808,1.427626639127766e-07,7.772633918712302e-07
1809,7.906607124574805e-08,6.234924398995645e-07
1810,1.4508786394529238e-07,6.575756401616673e-07
1811,8.273353602206157e-08,7.345735184571822e-07
1812,9.068508077803017e-08,5.067695383331738e-07
1813,7.476928232108548e-08,6.269116614721071e-07
1814,3.1466771410748606e-08,7.772292747176834e-07
1815,4.855002422310406e-08,6.850947897873993e-07
1816,5.7940095388175905e-08,6.767403419871698e-07
1817,6.383180817248757e-08,7.348442636612162e-07
1818,6.318223921830679e-08,7.701080448896391e-07
1819,1.066158181739496e-07,8.115223408822203e-07
1820,4.509263007435038e-08,5.980706418995396e-07
1821,1.0354562518521959e-07,6.893180284350819e-07
1822,1.3334069137727056e-07,7.629493694594203e-07
1823,4.348382143248841e-08,8.637468180694441e-07
1824,5.557934468214398e-08,8.640061865961002e-07
1825,4.138558074018306e-08,5.767565027792187e-07
1826,3.435113959948666e-08,7.821490254356078e-07
1827,6.544263980723386e-08,6.590350376534104e-07
1828,4.035812389835414e-08,5.98034048948648e-07
1829,5.658296359234427e-08,9.250457075893337e-07
1830,2.7135772739939057e-08,9.111357528457376e-07
1831,4.989185842241284e-08,7.140772413372076e-07
1832,3.9236911608675484e-08,6.304965920467254e-07
1833,3.938433690287013e-08,7.853699989235352e-07
1834,4.760610661236342e-08,7.971689501840018e-07
1835,9.756383434478266e-08,8.500910766429115e-07
1836,3.09154504218867e-08,7.688537837502452e-07
1837,3.478945287405111e-08,8.189437572525549e-07
1838,3.282324301245865e-08,7.839705000733943e-07
1839,6.711815891957684e-08,7.529818617513229e-07
1840,6.369688487772862e-08,8.777430720030566e-07
1841,9.052973348744331e-08,7.454256660821557e-07
1842,7.24492630332918e-08,6.017313580741757e-07
1843,3.544146692791017e-08,5.381195933296112e-07
1844,3.402907938765409e-08,6.213051231274136e-07
1845,2.566904799827796e-08,6.037806679626279e-07
1846,3.2785206105501175e-08,5.602758008649289e-07
1847,2.1572895470001185e-08,6.887146355438745e-07
1848,1.930853293918844e-08,6.701669639230801e-07
1849,4.7762666932626985e-08,5.103063738243208e-07
1850,3.2587180065490884e-08,5.920004646498e-07
1851,3.4826968864365426e-08,6.597775730199373e-07
1852,2.79953455972759e-08,5.54047397294255e-07
1853,6.270528518648177e-08,7.088682840716842e-07
1854,3.273268556203135e-08,7.746735946057015e-07
1855,2.4411910715116392e-08,6.0870570095517e-07
1856,1.501384794266869e-08,6.849421279042645e-07
1857,4.58861838525948e-08,7.17581863318717e-07
1858,5.285170184832211e-08,8.147970622651712e-07
1859,2.9025388315062628e-08,5.896736734456454e-07
1860,1.968189100587381e-08,6.884084655656153e-07
1861,1.9807047502151676e-08,5.503529854067324e-07
1862,3.252950275811628e-08,5.150504167605874e-07
1863,2.6970952249349978e-08,5.139465042436342e-07
1864,1.821996631345968e-08,5.629010415564295e-07
1865,2.07101151783462e-08,7.060266398184467e-07
1866,3.113992252945508e-08,5.760885564143337e-07
1867,3.299911810472622e-08,5.440001675793837e-07
1868,4.8410764397210926e-08,5.206627313736334e-07
1869,5.4207061062072626e-08,5.552561522792487e-07
1870,2.2362789842134134e-08,5.344133393592188e-07
1871,6.054070955663349e-08,8.305760827997943e-07
1872,3.5679300403046454e-08,6.452510752374963e-07
1873,5.566984112581608e-08,6.620520753841674e-07
1874,3.166542839050379e-08,5.185960553211189e-07
1875,3.204055232242098e-08,5.641425531166533e-07
1876,3.143927651549916e-08,5.399090943214446e-07
1877,2.4120781705327943e-08,5.504486395579988e-07
1878,3.502671280797287e-08,5.308359005695706e-07
1879,2.627009876299269e-08,4.899678867076318e-07
1880,5.519347645588368e-08,5.692629641007585e-07
1881,3.2770786140279284e-08,5.403693221772699e-07
1882,4.192892699705908e-08,6.662040603622188e-07
1883,3.854796920554904e-08,5.85802722774531e-07
1884,2.970763635090634e-08,5.783086276522909e-07
1885,3.351730637479733e-08,6.497200897292998e-07
1886,2.9040586768669385e-08,6.053349050905155e-07
1887,3.7867761704113434e-08,5.993553031657939e-07
1888,2.5996519825710607e-08,6.010902873221369e-07
1889,2.5060547192978788e-08,5.37548754842021e-07
1890,3.211649518553017e-08,5.440140509183067e-07
1891,3.4420787553557375e-08,5.322473768387681e-07
1892,3.447681917734258e-08,5.184059754803627e-07
1893,1.9706933140906102e-08,5.22849575634865e-07
1894,2.5836310646454308e-08,5.551655988256243e-07
1895,2.708376523052891e-08,4.929245378537672e-07
1896,2.594692793955744e-08,4.652755838385758e-07
1897,2.38895258020122e-08,4.4224754702781865e-07
1898,2.150174849280262e-08,4.4870753868053725e-07
1899,2.819064981451902e-08,4.847686394526818e-07
1900,2.0764212682600203e-08,4.277427815280177e-07
1901,2.5149324622830704e-08,3.9344720570433367e-07
1902,3.191684577741327e-08,4.5027304063083307e-07
1903,2.4300991663395166e-08,4.5955875904724053e-07
