year,en_PRON apportent_VERB,en_PRON rapportent_VERB
1800,1.4148740490327327e-07,3.2699310281714133e-07
1801,1.0000967165524344e-07,4.262316792846832e-07
1802,1.7007585029205075e-07,3.513409012612101e-07
1803,2.2038832980797451e-07,4.7003175041027134e-07
1804,1.6314216111368296e-07,4.226865257805912e-07
1805,5.401467717547348e-08,2.6154475563089363e-07
1806,1.440834580535011e-07,2.737585589329683e-07
1807,1.7651122163897526e-07,5.181458391234628e-07
1808,7.931259204951857e-08,4.940041549161833e-07
1809,1.807224379035688e-07,3.772580896566069e-07
1810,1.2402671245581587e-07,3.322979864606168e-07
1811,1.9805906958936248e-07,4.061464267124393e-07
1812,1.6536691305191198e-07,4.7476305553573184e-07
1813,1.00650957790549e-07,7.649472877346852e-07
1814,1.4789382873914292e-07,3.2410775929747615e-07
1815,8.361393355471591e-08,3.6682240533991717e-07
1816,1.4832664874120383e-07,3.8472225583063846e-07
1817,1.3544799060127843e-07,4.7173264761113387e-07
1818,1.3947777688372298e-07,3.171033142734814e-07
1819,7.556266723440785e-08,4.409547216255305e-07
1820,1.4714436247231788e-07,3.7260750218592875e-07
1821,1.3904698903388635e-07,3.6980580375711725e-07
1822,1.2431763707354548e-07,2.8573003874043934e-07
1823,7.708495530778237e-08,2.777034922019084e-07
1824,1.2968513374289614e-07,3.174759513058234e-07
1825,1.0302368025350006e-07,3.134737767140905e-07
1826,1.2595417331340286e-07,3.2413382200502383e-07
1827,1.4194600339578756e-07,3.087786524247349e-07
1828,7.521286704559316e-08,3.40292388045782e-07
1829,9.687688873327716e-08,2.7348431785867433e-07
1830,1.2628571255390852e-07,3.162361394970503e-07
1831,1.2472965238430334e-07,1.8709447147102765e-07
1832,7.712082350508354e-08,1.8671357793209609e-07
1833,1.2973663388038403e-07,2.57156557381677e-07
1834,9.894602470694736e-08,2.2869600968533632e-07
1835,9.075705520444899e-08,2.647080918904976e-07
1836,6.58633538819231e-08,2.6412547526888375e-07
1837,1.1758835682940116e-07,2.3656829739593377e-07
1838,5.7440672662778525e-08,2.9351554076129105e-07
1839,9.718150550952487e-08,2.803581651278364e-07
1840,1.1210651962301199e-07,2.1593244525774935e-07
1841,9.951850188372191e-08,2.4847523150128836e-07
1842,9.525736288651387e-08,2.4485166250087786e-07
1843,7.50177733266355e-08,2.5990408403231413e-07
1844,1.08673511078905e-07,2.5851124973996775e-07
1845,6.082448322786149e-08,2.1372272840380901e-07
1846,1.0069742018004035e-07,2.640380216689664e-07
1847,7.11905556727288e-08,1.866055328036964e-07
1848,8.447482713336285e-08,2.735375517204375e-07
1849,7.792856138166826e-08,1.835091865132199e-07
1850,6.517436190733861e-08,2.1928457272224477e-07
1851,6.836405219701192e-08,2.050921494856084e-07
1852,7.617337871579366e-08,1.8555054737134924e-07
1853,7.644072752555076e-08,2.1678113171219593e-07
1854,6.078927583530458e-08,1.891221899086304e-07
1855,8.119613426060823e-08,2.0590915994489478e-07
1856,7.299836823904116e-08,1.3926639041983435e-07
1857,8.786716421127494e-08,1.894025558613066e-07
1858,5.04048642824273e-08,1.90853370440891e-07
1859,4.83756465996521e-08,1.828090177014019e-07
1860,8.193158862468408e-08,1.7439070632008224e-07
1861,5.1875602480322414e-08,1.44780088362495e-07
1862,7.183598427218385e-08,1.6581009276706027e-07
1863,7.841554605647616e-08,1.613262554656103e-07
1864,8.774352266982532e-08,2.0041963466610468e-07
1865,6.871992752621736e-08,1.5909134276625991e-07
1866,6.519920958680814e-08,1.73702375150242e-07
1867,6.163070764841905e-08,1.6790727386251092e-07
1868,5.1374691167893616e-08,1.8623325104272226e-07
1869,5.518376511304268e-08,1.6164447913524782e-07
1870,6.307453759291093e-08,1.5711293599451892e-07
1871,5.098165090089424e-08,1.0302542108320267e-07
1872,5.1402384571019866e-08,1.608592299362499e-07
1873,8.55998649740286e-08,1.8436894322348962e-07
1874,8.00597632633071e-08,1.9835702858017612e-07
1875,5.2065896483100005e-08,1.6249137502200028e-07
1876,6.831997012568536e-08,1.3240772034350812e-07
1877,1.2864417442415288e-07,1.595682590505021e-07
1878,7.367687970827319e-08,1.914391134505422e-07
1879,6.720257772485638e-08,1.6434084670891025e-07
1880,4.941741593711413e-08,1.6493865473421465e-07
1881,7.530308465675262e-08,1.4293640049345413e-07
1882,5.856738738430067e-08,1.6705016037121823e-07
