year,on_PRON égale_VERB,on_PRON régale_VERB
1800,5.65949598296811e-08,2.2009152278457123e-08
1801,4.524247021464589e-08,6.191074675143682e-08
1802,8.727576528144709e-08,6.713520406265161e-09
1803,1.1702034896643454e-08,3.900678446910888e-09
1804,2.7190360185613827e-08,1.730295728918918e-08
1805,4.548604315424143e-08,2.55858996212055e-08
1806,6.051505074822217e-08,2.881669125542885e-09
1807,4.27043254092041e-08,0.0
1808,3.852325747288887e-08,2.2660739062985158e-08
1809,7.00299480627109e-08,5.6475762733043666e-08
1810,1.0296557606537249e-07,5.8503166755485836e-08
1811,1.9304490450622325e-07,6.016984244183732e-08
1812,1.0402112415874853e-07,6.134578889316344e-08
1813,9.777521370324394e-08,6.326631307729258e-08
1814,1.699205665062209e-07,6.293354282149721e-09
1815,7.821948511121946e-08,7.282503489136616e-08
1816,5.5622491501594595e-08,2.7811246638975717e-08
1817,7.784366928831332e-09,3.269434145636296e-08
1818,7.152706427149269e-09,1.5497530370112145e-08
1819,7.24573512300708e-09,8.280840013696888e-09
1820,5.221251608844568e-08,4.6279279075633895e-08
1821,4.2404398215012407e-08,3.155676253641104e-08
1822,6.416394171537831e-08,3.208197085768916e-08
1823,2.9648060451137326e-08,2.6683254050752225e-08
1824,2.947389532437228e-08,1.2631669044083083e-08
1825,3.610231757988913e-08,3.522177216552791e-09
1826,4.227832461900505e-08,1.2331177856594877e-08
1827,1.1060727445055818e-08,6.452091305675367e-09
1828,2.7516904310687096e-08,2.4765213879618386e-08
1829,5.915491385621863e-08,2.571952872898464e-09
1830,3.1310506187764986e-08,2.4004722876114215e-08
1831,2.3386808933878456e-08,2.8064171431196883e-08
1832,4.329590119755977e-08,1.8941957335982806e-08
1833,5.3284690437749305e-08,3.359252431778259e-08
1834,1.3068343518440884e-08,1.213489042584115e-08
1835,4.764745398233572e-08,5.294161553592858e-09
1836,2.755507466645213e-08,8.736974699274924e-09
1837,2.5048407792382932e-08,6.957891152126194e-09
1838,3.913540269628868e-08,1.3886756633496589e-08
1839,2.51693105246531e-08,1.4682097759788348e-08
1840,2.1019972207270143e-08,5.095750932326837e-09
1841,4.879616843922463e-08,6.420548537278137e-10
1842,4.561620414733625e-08,1.8783142152756227e-08
1843,5.965980420796768e-08,1.7720733769266417e-09
1844,2.250310116025389e-08,3.2931368743049916e-09
1845,4.0735665340907445e-08,5.580227946389016e-10
1846,2.3418005312692003e-08,1.5807153364022497e-08
1847,5.3932237342735334e-08,5.9325460100012606e-09
1848,3.459445441222897e-08,7.24069959545659e-09
1849,2.4300302658986084e-08,2.1786478399121734e-08
