year,son_DET achat_NOUN,son_DET rachat_NOUN
1800,3.458580977167003e-08,4.7162465932615305e-08
1801,2.3811825400343878e-08,4.0480102825313224e-08
1802,6.265952379180817e-08,7.608656460433849e-08
1803,1.950339267864365e-08,4.8758479920252285e-08
1804,1.2359254242255702e-07,6.673997887673977e-08
1805,4.264316544322355e-08,7.960057502032214e-08
1806,3.7461699520235925e-08,1.4408345627714425e-08
1807,8.256169792275614e-08,2.0213381901612593e-07
1808,9.517511045942229e-08,2.515342032438639e-07
1809,1.3102376783535874e-07,5.421673421324158e-08
1810,7.254392642153107e-08,1.3338723192646285e-07
1811,3.259199843341776e-08,5.515568801683912e-08
1812,8.001624385300943e-08,3.200649700829672e-08
1813,7.189353823378042e-08,7.189353823378042e-08
1814,3.1466772298927026e-08,4.405347908686963e-08
1815,1.1058616422587875e-07,3.776112933451259e-08
1816,4.6352079507983035e-08,4.8669683394564345e-08
1817,3.113746771532533e-08,2.6466848268569265e-08
1818,3.695565098382758e-08,2.026600220972341e-08
1819,5.589566853814176e-08,7.659777168100845e-08
1820,3.9159388620646496e-08,4.390598107306687e-08
1821,7.889190811738445e-08,1.1143481515318854e-07
1822,6.416394171537831e-08,1.804610860745015e-08
1823,5.0401702367253165e-08,4.743689885344793e-08
1824,2.3579115548955087e-08,9.431646219582035e-08
1825,2.905796137042671e-08,8.365170600654892e-08
1826,5.9013494535520294e-08,7.662946543973703e-08
1827,1.3457218983603525e-07,9.585964022562621e-08
1828,1.0915038473058303e-07,4.586150481600271e-08
1829,6.258418494553553e-08,7.287199821348622e-08
1830,5.218418053232199e-08,6.157733256628717e-08
1831,8.731075240575592e-08,7.639690835503643e-08
1832,2.976593194148336e-08,1.7453660050570363e-07
1833,1.1467792582209313e-07,8.224376557564028e-08
1834,4.29388435918554e-08,7.467625096069241e-08
1835,1.8151411040889798e-08,4.9160071569076536e-08
1836,7.123995260371885e-08,4.704525125021064e-08
1837,8.001574514082677e-08,8.140732177253085e-08
1838,2.1461350030449466e-08,6.627769977285425e-08
1839,9.088917540811536e-08,7.2012191765225e-08
1840,6.11490094115652e-08,5.86011346115356e-08
1841,6.484754333513365e-08,1.2134836424593232e-07
1842,6.305769062464606e-08,8.117000760421433e-08
1843,5.493427224223524e-08,3.603215859016018e-08
1844,6.202074587235984e-08,8.12307086039965e-08
1845,7.19849380104165e-08,1.249971058325805e-07
1846,6.147226216945967e-08,3.2668117455614265e-07
1847,8.14376797109162e-08,9.977463744093029e-08
1848,6.436177102386864e-08,4.585776380849893e-08
1849,6.200767188602185e-08,4.8600607982507427e-08
1850,6.78899567674307e-08,1.167707299742915e-07
1851,4.4501126561513615e-08,5.7400004749297295e-08
1852,8.138181883943219e-08,5.9245962802378926e-08
1853,4.41922942684414e-08,6.449686651421871e-08
1854,3.533051895487915e-08,6.33871053423718e-08
1855,6.368324534378189e-08,5.7845614520601885e-08
1856,7.248065259091163e-08,6.833889898416601e-08
1857,4.393358210563747e-08,6.931743096183496e-08
1858,5.3830436053114994e-08,5.236233491245912e-08
1859,8.198399070735718e-08,4.99032992706816e-08
1860,3.524431591017674e-08,8.101615475708535e-08
1861,1.7213267256011022e-07,1.164843013157224e-07
1862,4.924605090383949e-08,6.822159548391937e-08
1863,6.742737923559616e-08,5.44413660819032e-08
1864,6.664672014267126e-08,9.397666911326041e-08
1865,5.2245972881337366e-08,6.966129639796037e-08
1866,2.4328065451051373e-08,4.719644702833037e-08
1867,6.114542472346329e-08,5.0469241230644e-08
1868,6.372437866275504e-08,5.779652734183571e-08
1869,4.0044856319809696e-08,6.153234011208042e-08
1870,5.390005952676802e-08,4.013834242755365e-08
1871,3.611200227737754e-08,1.0302542108320267e-07
1872,5.200711850061879e-08,8.587221600464545e-08
1873,4.968383748860106e-08,7.48250528204153e-08
1874,6.213593195525391e-08,6.09410143459499e-08
1875,4.405575992905142e-08,4.63443683429432e-08
1876,4.0508297827202e-08,5.683254045152353e-08
1877,5.1333971295974834e-08,5.690030846494665e-08
1878,7.24690643050252e-08,6.03908860141722e-08
1879,6.536978247595471e-08,4.826366861720999e-08
1880,6.482024983434087e-08,9.305876824683423e-08
1881,1.0389036186886358e-07,4.462404845639867e-08
1882,5.923292589748996e-08,8.053015831954724e-08
1883,1.3523385283820133e-07,5.8769852984141835e-08
1884,7.525934364593923e-08,4.291102939646407e-08
1885,7.02574283195645e-08,2.707166935067562e-08
1886,8.26043375923291e-08,5.485444176667187e-08
1887,1.2470246701923315e-07,4.7661149693567495e-08
1888,1.2998259690810698e-07,7.038082427968106e-08
1889,1.0650732207295732e-07,5.8892286047829145e-08
1890,1.1470176275452104e-07,8.192983058652459e-08
1891,8.668938988876107e-08,6.119250883784844e-08
1892,1.1722117854162661e-07,5.2655504401144526e-08
1893,1.0346139633909957e-07,6.404753372102334e-08
1894,1.3233233175924397e-07,4.978215883966186e-08
1895,1.11344368836086e-07,5.838056083007359e-08
1896,1.2383761294199047e-07,6.6046727420499e-08
1897,1.84706826278358e-07,6.933789364893528e-08
1898,1.1486460493870254e-07,7.86511302752757e-08
1899,1.1276259748171924e-07,7.241127697454885e-08
1900,1.6040354466895224e-07,5.294874227956825e-08
1901,1.397184697382592e-07,5.253414414596591e-08
1902,1.4730851427557923e-07,4.468358127951433e-08
1903,1.5984651713374376e-07,6.102248928385734e-08
1904,1.306033849957089e-07,5.374625278165013e-08
1905,1.3572795865002263e-07,5.3155819301764495e-08
1906,1.3426321743281733e-07,6.996091173050445e-08
1907,1.2188539488811045e-07,5.2457004073858116e-08
1908,1.5962014043857664e-07,5.5989834324421395e-08
1909,1.402750768875194e-07,3.905698164885507e-08
1910,1.095550881125007e-07,5.451033846526343e-08
1911,1.2236860169601016e-07,6.331245572255284e-08
1912,1.177329185253484e-07,8.022508524163641e-08
1913,1.378777318983282e-07,4.719660751106858e-08
1914,1.2522910913803642e-07,5.491329757578711e-08
1915,1.7435527865927725e-07,4.476689596799588e-08
1916,1.0218339641099305e-07,3.29623865980011e-08
1917,1.831392921758379e-07,6.799182816763505e-08
