year,bien_ADV entrer_VERB,bien_ADV rentrer_VERB
1800,2.04370692813427e-07,8.803660733747165e-08
1801,2.1430643926123594e-07,4.7623650800687756e-08
1802,9.84649659585557e-08,1.7902721083373763e-08
1803,1.4822578009443532e-07,3.705644502360883e-08
1804,1.97748079244775e-07,1.4831105232815389e-08
1805,2.7291625315228885e-07,0.0
1806,3.198652791525092e-07,2.881669125542885e-08
1807,1.2811298688575334e-07,1.4234775136401367e-08
1808,1.5862518409903714e-07,1.8128591960930862e-08
1809,1.5135503872443223e-07,4.292158095609011e-08
1810,1.6146874770583963e-07,4.44624070894406e-08
1811,9.025476543911282e-08,3.760615285841595e-08
1812,1.4936365744233626e-07,5.601137331723294e-08
1813,1.581657897986588e-07,5.751483289628823e-09
1814,1.258670891957081e-07,3.1466771410748606e-09
1815,1.1058616422587875e-07,7.821948599939788e-08
1816,7.184571870766376e-08,3.7081662185300956e-08
1817,2.00836666408577e-07,3.113746771532533e-08
1818,1.9073883095188648e-07,3.5763530803478716e-08
1819,2.0909121190015867e-07,1.7596784473994376e-08
1820,1.4121113167675503e-07,3.678609061807947e-08
1821,1.8145138369618508e-07,4.832129363308013e-08
1822,2.396122340542206e-07,5.3135764233047666e-08
1823,1.8381797417532653e-07,1.0179167730939298e-07
1824,2.0294881153404276e-07,5.810567671460376e-08
1825,1.831532188134588e-07,5.107157008410468e-08
1826,2.422195564122376e-07,3.6112734136395375e-08
1827,1.43789463891153e-07,3.133872894522938e-08
1828,1.8894940012614825e-07,5.044765671868845e-08
1829,1.997550072019294e-07,2.2290258527846163e-08
1830,1.711641033352862e-07,3.339787468803479e-08
1831,7.016042502527853e-08,3.741889287312006e-08
1832,1.1771073360478113e-07,4.6001897402447867e-08
1833,1.18153010930655e-07,2.7800709290204395e-08
1834,1.1294782353843402e-07,2.9870498963191494e-08
1835,1.686568680270284e-07,5.294161553592858e-08
1836,1.7675573360520502e-07,5.443807538085821e-08
1837,1.5585675328111392e-07,1.7394727436226276e-08
1838,2.0767012642863847e-07,4.1660268124132926e-08
1839,2.048502238949368e-07,4.824117993962318e-08
1840,1.5796827312897221e-07,3.3122379505812205e-08
1841,1.6500810318120784e-07,3.4028907691663335e-08
1842,1.9722298816304829e-07,4.360372329870188e-08
1843,1.902025417166442e-07,2.8353174030826267e-08
1844,1.531308555513533e-07,3.0735943568060975e-08
1845,1.3280941857374273e-07,4.1293688468613254e-08
1846,1.7270778585043445e-07,4.0981507964943376e-08
1847,9.761734531821276e-08,2.2651539310913904e-08
1848,1.2952807537658373e-07,2.815827571112095e-08
1849,1.61722709890455e-07,5.362825561405771e-08
1850,1.9755978541979857e-07,1.968808760466345e-08
1851,1.65750577707513e-07,2.644269869733762e-08
1852,2.0247796328476397e-07,4.557381672043448e-08
1853,1.7617199432606867e-07,3.1054046445433414e-08
1854,1.7301562138527515e-07,3.4291385730966795e-08
1855,1.0826151708442922e-07,1.9104973603134567e-08
1856,1.5065620573295746e-07,4.970101485923806e-08
1857,1.5767274419431487e-07,4.1004675210842834e-08
1858,1.5415079701597278e-07,3.1808895073481835e-08
1859,1.5938502428980428e-07,2.64793023063703e-08
1860,1.4830075656391273e-07,4.989130530930197e-08
1861,1.5515520601638855e-07,5.046081241744105e-08
1862,1.9879139756540098e-07,4.292087041335435e-08
1863,1.598278629444394e-07,4.6449972757045543e-08
1864,1.8699438442126848e-07,3.548098703731739e-08
1865,1.812135081991073e-07,6.448377121159865e-08
1866,1.4791463343044597e-07,4.81695678899996e-08
1867,1.5189300484053092e-07,7.521857980918867e-08
1868,1.4473830844963231e-07,4.0506968446152314e-08
1869,1.7482999226103857e-07,3.857980246380066e-08
1870,1.5653952800676052e-07,5.2753250656678574e-08
1871,1.625040084718421e-07,7.116188527334089e-08
1872,1.8928172096366325e-07,5.1402384571019866e-08
1873,1.580305166726248e-07,5.6268440573603584e-08
1874,1.6131444624534197e-07,4.241972462182275e-08
1875,1.5848630141590547e-07,2.1741803024610817e-08
1876,1.831942455510216e-07,3.929909553335165e-08
1877,1.292626592430679e-07,5.257093604882357e-08
1878,1.2984040154151444e-07,4.408534692856847e-08
1879,1.9183281096957217e-07,5.5594860270957724e-08
1880,1.1680479872211436e-07,4.7492061838738664e-08
1881,1.296886438240108e-07,4.183504387356152e-08
1882,1.4708400897234242e-07,3.261138559196297e-08
1883,1.4976833995206107e-07,4.865891156669022e-08
1884,1.6438225713955035e-07,5.8755102116947455e-08
1885,1.3858117142717674e-07,4.640857653726016e-08
1886,1.1229027307990691e-07,4.7755634113855194e-08
1887,1.4559502403699298e-07,4.309090329002174e-08
1888,1.4266383630001656e-07,5.643147105161006e-08
1889,1.7479732150604832e-07,5.5759716843795104e-08
1890,1.7827930776093126e-07,5.1124214195397144e-08
1891,1.032623657692966e-07,4.143242904319777e-08
1892,1.7050354017555946e-07,4.8894396087462155e-08
1893,1.348693245972754e-07,4.865148994781521e-08
1894,1.2981170982584445e-07,7.309785843290229e-08
1895,1.50465368164987e-07,3.791727110069587e-08
1896,1.3916988450546341e-07,6.545702291305133e-08
1897,1.6198264063405077e-07,4.952706689209663e-08
1898,1.7993568235397106e-07,6.337357660868292e-08
1899,1.3929496844866662e-07,5.859233098703953e-08
1900,1.1679869516001418e-07,5.5544269628171605e-08
1901,1.5760244309603877e-07,5.1416396473769055e-08
1902,1.1882887207548265e-07,6.727088930347236e-08
1903,1.3392546804880112e-07,5.4542223182352245e-08
1904,1.5210189019398968e-07,4.192207825326477e-08
1905,1.1456884863036976e-07,6.03808842924991e-08
1906,1.4866692765735934e-07,6.533114316198407e-08
1907,1.1417112233402804e-07,4.422845378826423e-08
1908,1.1247080777820884e-07,7.317969874520713e-08
1909,1.3092341077935998e-07,5.996071905656208e-08
1910,1.2184663944481144e-07,6.840512867256621e-08
1911,1.4843844553524832e-07,5.213966502992662e-08
1912,1.2606798804881691e-07,5.365703970028335e-08
1913,1.288626521045444e-07,5.6211689525298425e-08
1914,1.513464127356201e-07,5.49132970206756e-08
1915,1.5314989809667168e-07,7.539687629787295e-08
1916,1.0218339951961752e-07,5.493730981243061e-08
1917,1.1843738434436091e-07,5.3735480065597585e-08
1918,1.5621472471138986e-07,5.283732917860107e-08
1919,1.28909874774763e-07,5.616787390749778e-08
1920,1.166123695384158e-07,6.209229752585088e-08
1921,1.5448404155904427e-07,7.19411019645122e-08
1922,1.5050989077280974e-07,6.049906886573808e-08
1923,1.3057616854439402e-07,5.201814445854325e-08
1924,1.2375959101973422e-07,8.379555538340355e-08
1925,1.2977849905837502e-07,5.0591619782380803e-08
1926,1.370975013514908e-07,5.5730691173039304e-08
1927,1.516294645398375e-07,6.020581366783517e-08
1928,1.0169176789531775e-07,6.627104198742018e-08
1929,1.2477255495468853e-07,5.570203143179242e-08
1930,1.2289216044791829e-07,5.987053697253941e-08
1931,1.2888052935977612e-07,4.1059283972799676e-08
1932,1.3480230620643852e-07,5.041386685888938e-08
1933,8.488289893193723e-08,4.244144946596862e-08
1934,9.585264137967897e-08,3.9539216345474415e-08
1935,1.2087967604657024e-07,3.231436807027421e-08
1936,8.972288867425959e-08,3.15242587589637e-08
1937,1.1709740022070037e-07,5.288269733227935e-08
1938,8.297737252860315e-08,4.6674770715071645e-08
1939,7.188203454688846e-08,6.882322622914216e-08
1940,4.81798743123818e-08,5.832300686847702e-08
1941,1.0035108743977617e-07,2.9515025090631752e-08
1942,1.1833425617169269e-07,4.247896612241675e-08
1943,7.258088174921795e-08,4.3548528338988035e-08
1944,9.960876923287287e-08,5.462416652335378e-08
1945,1.0238969139209075e-07,7.84261473540937e-08
1946,1.0719250553847814e-07,4.872386583087973e-08
