year,en_ADP évolution_NOUN,en_ADP evolution_NOUN,en_ADP révolutions_NOUN
1800,0.0,0.0,1.8550569791386806e-07
1801,9.524730337773235e-09,0.0,1.500145003774378e-07
1802,0.0,0.0,9.84649659585557e-08
1803,0.0,0.0,7.021220937986072e-08
1804,0.0,0.0,5.438072037122765e-08
1805,0.0,0.0,2.55858996212055e-08
1806,0.0,0.0,5.187004603612877e-08
1807,2.2775640928784924e-08,0.0,5.97860605466849e-08
1808,9.064295980465431e-09,0.0,3.3991110370834576e-08
1809,0.0,0.0,1.0391540428145163e-07
1810,0.0,0.0,2.106114038724627e-08
1811,5.0141535368197765e-09,0.0,5.264861258069686e-08
1812,0.0,0.0,1.0668832928217853e-08
1813,1.4378708002027452e-08,0.0,4.3136125782439194e-08
1814,0.0,0.0,1.9824065589091333e-07
1815,0.0,0.0,2.0768621311617608e-07
1816,0.0,0.0,1.8540831092650478e-08
1817,0.0,0.0,1.6502858102285245e-07
1818,0.0,0.0,1.227881227805483e-07
1819,0.0,0.0,1.0351050150347874e-07
1820,7.119888678630559e-09,0.0,4.865257352548724e-08
1821,0.0,0.0,3.747365440176509e-08
1822,1.5038423839541792e-08,0.0,3.909990198280866e-08
1823,0.0,0.0,9.882686669016039e-09
1824,0.0,0.0,3.8737120178211626e-08
1825,1.2327619813845558e-08,0.0,1.1006803646296248e-07
1826,4.403992281964975e-09,0.0,9.072223861039674e-08
1827,0.0,0.0,3.133872894522938e-08
1828,1.0089530988466322e-08,0.0,5.6868266540277546e-08
1829,6.858540846366168e-09,0.0,7.201467866480016e-08
1830,1.0436835395921662e-08,0.0,4.174734158368665e-08
1831,0.0,0.0,7.639690835503643e-08
1832,1.2176972319366541e-08,0.0,1.3665268738805025e-07
1833,2.3167257001688313e-09,0.0,4.865124125785769e-08
1834,7.467624740797874e-09,0.0,7.841006066655609e-08
1835,1.4369867074037757e-08,0.0,6.504255622985511e-08
1836,1.3441500135158435e-09,0.0,9.207427353885578e-08
1837,2.7831564608504777e-08,0.0,5.914207434898344e-08
1838,3.1560809521380406e-09,0.0,4.607878167917079e-08
1839,1.2584655095793096e-08,0.0,7.550793412747225e-08
1840,1.9109065441114126e-09,0.0,6.17859825524647e-08
1841,2.118781061710706e-08,0.0,7.447836480878323e-08
1842,7.379091560011375e-09,0.0,7.915753030829364e-08
1843,5.906911071384968e-10,0.0,6.852016554148577e-08
1844,1.6465683927435748e-08,0.0,8.287727837341663e-08
1845,1.0602432709561072e-08,0.0,6.528866691724033e-08
1846,3.5127007969038004e-09,0.0,6.381406336686268e-08
1847,1.9954928376364478e-08,0.0,6.633665350364026e-08
1848,1.206783295515379e-08,0.0,1.1665571264529717e-07
1849,5.865590679832167e-09,0.0,1.5334329361849086e-07
1850,3.394498016007219e-09,0.0,9.504594800091581e-08
1851,7.094382858952031e-09,0.0,1.1931462040593033e-07
1852,1.4974254725075298e-08,6.510545436100301e-10,7.747549091163819e-08
