year,en_ADP onde_NOUN,en_ADP ronde_NOUN
1800,3.144164395507687e-08,7.231578535993322e-08
1801,1.1905912700171939e-08,2.6193008650921e-08
1802,2.4616241489638924e-08,6.265952379180817e-08
1803,1.3652374342143503e-08,6.436119548425268e-08
1804,2.4718509905596875e-08,7.909923027682453e-08
1805,2.842877711017877e-09,1.7341554325867037e-07
1806,5.4751712497136396e-08,7.492339904047185e-08
1807,1.1387820464392462e-08,5.124519120158766e-08
1808,2.039466551195801e-08,4.078933102391602e-08
1809,1.3554183553310395e-08,4.743964154840796e-08
1810,3.510190182964834e-08,2.8081521108447305e-08
1811,2.757784400841956e-08,1.6546707115594472e-07
1812,0.0,1.1735716043403954e-07
1813,2.8757416004054903e-08,5.7514832008109806e-08
1814,2.2026739543434815e-08,3.4613449884091096e-08
1815,2.697223555614414e-09,2.6972236000233352e-08
1816,2.3176038865813098e-08,7.184571870766376e-08
1817,7.784366928831332e-09,4.514932783195036e-08
1818,7.152706427149269e-09,7.391130196765516e-08
1819,2.3807414706311647e-08,8.384350280721264e-08
1820,1.779972080839798e-08,5.6959109429044474e-08
1821,5.9168927535324656e-09,5.325203744632745e-08
1822,2.7069162911175226e-08,2.7069162911175226e-08
1823,2.7671523739059012e-08,1.5713472123479733e-07
1824,8.421112696055388e-10,6.568468080558887e-08
1825,2.641632912414593e-09,1.1887347994843367e-07
1826,1.145037931138404e-08,8.631824499616414e-08
1827,1.1982455028203276e-08,4.3321183085254233e-08
1828,6.420610709767516e-09,3.485474309172787e-08
1829,4.115124596637543e-08,3.772197487705853e-08
1830,8.349468672008697e-09,7.097048637660919e-08
1831,1.5591206548037917e-08,8.107426907599802e-08
1832,1.7588959622116818e-08,1.7994858581005246e-07
1833,2.3167257001688313e-09,1.3784517705062171e-07
1834,8.401078055442213e-09,1.4375177670444828e-07
1835,1.4369867074037757e-08,9.378229037793062e-08
1836,3.024337402735e-08,9.946710122221702e-08
1837,2.0177884252348122e-08,6.192522761239161e-08
1838,2.9667161172142187e-08,8.710783561127755e-08
1839,1.1885507689157748e-08,7.690622538802927e-08
1840,1.0191501864653674e-08,1.229349919640299e-07
