year,on_PRON appellera_VERB,on_PRON rappellera_VERB
1800,2.2009151123825177e-07,7.231578535993322e-08
1801,1.5477687043130572e-07,4.524246932646747e-08
1802,1.5217312920867698e-07,1.5664880947952042e-08
1803,1.3067272774947014e-07,1.014176405078615e-07
1804,1.6314215756096928e-07,9.39303390623536e-08
1805,2.7575914529620604e-07,2.018443225892952e-07
1806,2.708769031301017e-07,7.780506550147948e-08
1807,4.1280848250835334e-07,6.547996633798903e-08
1808,3.4897539791245435e-07,6.571614363792833e-08
1809,2.1460790122773687e-07,5.1957702140725814e-08
1810,2.4571330214939735e-07,9.828532432365478e-08
1811,1.6546706405051737e-07,4.763445815569867e-08
1812,2.1070945699364074e-07,7.734903917366864e-08
1813,1.897989463373051e-07,7.476928232108548e-08
1814,9.754699092923147e-08,7.866692897096073e-08
1815,1.1867783911156948e-07,1.0788893956004131e-07
1816,1.4600904307826568e-07,6.25753067140522e-08
1817,2.615547316509037e-07,1.2766361834337658e-07
1818,1.8477824781371055e-07,7.391129841494148e-08
1819,2.2254757325868013e-07,1.2110728420111627e-07
1820,1.7918386419069066e-07,9.255855815126779e-08
1821,1.8440983140521894e-07,7.001656854299654e-08
1822,2.035200026284656e-07,4.411270992932259e-08
1823,1.9073585377782365e-07,1.087095569118901e-08
1824,1.633695845271177e-07,4.29476756380609e-08
1825,2.553578468678097e-07,2.4655240515869536e-08
1826,1.64709305749966e-07,4.051672686244956e-08
1827,3.10622105814673e-07,1.1521591147811705e-07
1828,2.045423173058225e-07,7.154395120778645e-08
1829,1.8346596419860361e-07,7.287199466077254e-08
1830,2.2230460672290064e-07,3.965997663613052e-08
1831,2.0892215601975295e-07,9.198811490307435e-08
1832,4.1266407180273745e-07,4.464889968858188e-08
1833,2.6989853907366523e-07,1.2626155410089268e-07
1834,1.838902576878354e-07,7.28093425550469e-08
1835,1.9890920555099e-07,8.395027606411531e-08
1836,1.8549269853451733e-07,7.863277495800958e-08
1837,1.8855884320601035e-07,5.148839221646995e-08
1838,1.8431512671668315e-07,3.7241756345451904e-08
1839,1.6010478987027454e-07,4.055055669027752e-08
1840,1.6752280806997533e-07,5.923810597607826e-08
1841,1.8876413321322616e-07,7.897274656443187e-08
1842,1.5831505351115993e-07,5.567860128508073e-08
1843,2.32141609046721e-07,8.033399012674636e-08
1844,2.233844469401447e-07,6.860701695643456e-08
1845,1.696389304584045e-07,6.919482586908998e-08
1846,1.639260318597735e-07,2.8101606819319613e-08
1847,2.5348150956006066e-07,4.6921046603642935e-08
1848,1.946943655184441e-07,2.735375392859396e-08
1849,1.9524036076745688e-07,2.5976186535103807e-08
1850,1.5750470794273497e-07,3.4623878875095215e-08
1851,1.3543821353323438e-07,4.321124080775007e-08
1852,2.0833745395520964e-07,5.599068941819496e-08
1853,1.361600467930657e-07,7.405195390219887e-08
1854,1.4703730144560723e-07,4.1045749910040286e-08
1855,1.7990517164889752e-07,2.865746040470185e-08
1856,2.0242810272463885e-07,5.4360485890470045e-08
1857,1.6645945777327142e-07,4.637433725918072e-08
1858,1.8057664163961817e-07,6.019221387987272e-08
1859,1.5887580318008077e-07,5.855999418713509e-08
1860,1.675249343691121e-07,1.3823095201814795e-07
1861,1.6034277194876267e-07,4.715963619617014e-08
1862,2.1053815757454686e-07,4.292087130153277e-08
1863,1.6931764079686218e-07,5.394190516483377e-08
1864,2.1911907310823153e-07,4.027571343101499e-08
1865,1.7886008052414581e-07,6.87199293025742e-08
1866,1.8829922687757517e-07,7.201107088405934e-08
1867,1.7178952482765908e-07,3.3484399253325137e-08
1868,2.1093262247973144e-07,7.261614776155056e-08
1869,1.8508537635852917e-07,4.981189505315342e-08
1870,1.450714357531524e-07,4.472557968426827e-08
1871,2.0286448076944907e-07,2.8677178853797614e-08
1872,2.412888342462338e-07,3.809823745370977e-08
1873,1.478543065758231e-07,5.806424496768159e-08
1874,1.6967890204000469e-07,5.436894134902559e-08
1875,2.3572691176809712e-07,5.3210202466402734e-08
1876,1.257571042856398e-07,5.3204928462946555e-08
1877,1.3977684076849073e-07,6.555905152083596e-08
1878,1.8660783496216027e-07,5.314397899525147e-08
1879,1.9672027917749801e-07,5.315112971970848e-08
1880,1.6429686944263722e-07,5.390990942544249e-08
1881,1.7082643211097093e-07,3.416528659982987e-08
1882,1.7902985405271465e-07,5.058092789056445e-08
1883,1.5924733531846869e-07,6.5721124542506e-08
1884,1.6768310473480597e-07,3.762967359932645e-08
1885,1.9917014881798423e-07,5.47879022150255e-08
1886,1.8521441802477057e-07,4.7755634113855194e-08
1887,1.7889253101088798e-07,5.223139787347009e-08
1888,2.1177652698156635e-07,5.389522428345117e-08
1889,2.4246078567102813e-07,6.766347837583453e-08
1890,2.090849235969472e-07,6.685474218670606e-08
1891,1.8995175921077134e-07,7.330353035683856e-08
1892,1.5922021034953104e-07,7.396844736717867e-08
1893,2.2231883889389792e-07,8.005941509736658e-08
1894,2.3378711233590366e-07,4.726154578804653e-08
1895,2.2329060200831918e-07,9.328852712542357e-08
1896,2.6359719385027347e-07,7.43025641014583e-08
1897,2.0743100037634576e-07,8.09913167643117e-08
1898,2.3708506802222473e-07,6.50710809679822e-08
1899,2.3768586743244668e-07,8.457194766720022e-08
1900,2.169860238154797e-07,1.0537837979995857e-07
1901,2.190785579614385e-07,6.650599360114029e-08
1902,2.9658114897301857e-07,7.954659508868644e-08
1903,2.4030979517419837e-07,8.910363646918995e-08
1904,3.171028879478399e-07,8.81438531052936e-08
1905,2.5803795722367795e-07,8.20560686065619e-08
1906,2.474352811532299e-07,6.481672443214848e-08
1907,1.7228525095447367e-07,7.097123955190909e-08
1908,2.106985945715678e-07,7.023286130447559e-08
1909,2.1178787079634276e-07,8.526524553076342e-08
1910,1.9132059136950375e-07,7.268044832642317e-08
1911,2.660187021774618e-07,8.352987279636181e-08
1912,2.4223808026135885e-07,9.533240685755118e-08
1913,2.2272556776670172e-07,9.439321502213716e-08
1914,2.2166221924635465e-07,1.1250529752260263e-07
1915,2.04985262541868e-07,9.660224620233748e-08
1916,2.6699532895690936e-07,1.42837009775576e-07
1917,2.599042545625707e-07,1.1843738079164723e-07
1918,2.4236254603238194e-07,1.229042254635715e-07
1919,2.605821052270585e-07,1.1693967039150266e-07
1920,2.4761197181533134e-07,1.1812681321998753e-07
1921,2.445997395739141e-07,1.1889213169524737e-07
1922,3.069221108376041e-07,8.853522714957762e-08
1923,2.1656534698877294e-07,9.978991144521387e-08
1924,2.7459159923637344e-07,9.024137170854374e-08
1925,2.6395626662178984e-07,7.918688105235105e-08
1926,3.042895784233224e-07,1.226075170279728e-07
1927,2.3859340814169627e-07,7.46998072287397e-08
1928,2.388042581458194e-07,8.341010371282209e-08
1929,1.994132681204519e-07,9.91496165170247e-08
1930,2.2897854989878397e-07,1.3234540574558196e-07
1931,2.075774965248911e-07,1.0150767337790967e-07
1932,2.36725988145281e-07,1.4466588282857629e-07
1933,2.741488174251572e-07,2.0073659356967255e-07
1934,2.8396345896908315e-07,1.6654396262083537e-07
1935,2.4534982401291927e-07,1.2566698259774967e-07
1936,2.87355732098149e-07,1.8065824747282022e-07
1937,2.6819081000439837e-07,1.5361163718807802e-07
1938,3.085721047568768e-07,1.763269210641738e-07
1939,2.921163684277417e-07,1.9576384602260077e-07
1940,3.524738261262428e-07,1.546827590459543e-07
1941,3.6893783317282214e-07,1.6233264688025884e-07
1942,3.7320804580076583e-07,1.7598429025156292e-07
1943,3.94840000694785e-07,2.467749951051701e-07
1944,3.373845416376753e-07,1.992175455711731e-07
1945,4.139157709914798e-07,1.9388685501553482e-07
1946,4.5661221292903065e-07,2.4083510652417317e-07
1947,4.899478085462761e-07,1.7762098281082217e-07
1948,4.4466023041422886e-07,2.5766374278646254e-07
1949,3.750097050669865e-07,5.153929407697433e-07
1950,4.4774871810204786e-07,2.488674581968553e-07
1951,4.0193484096562315e-07,2.9745311280748865e-07
1952,4.861154536683898e-07,3.384882063528494e-07
1953,5.311496806825744e-07,3.727744228854135e-07
1954,4.358550995675614e-07,3.1956193424775847e-07
1955,4.927444052782448e-07,4.242294551204395e-07
1956,4.5088300737461395e-07,4.15126336861249e-07
1957,5.76044442368584e-07,4.32033331776438e-07
1958,5.194968792920918e-07,4.814445730971784e-07
1959,5.379019114570838e-07,4.565190465655178e-07
1960,6.588633425508306e-07,4.671562408020691e-07
1961,5.509890286248265e-07,4.822022532380288e-07
1962,4.978435867997177e-07,4.959409807270276e-07
1963,5.431484595419533e-07,4.9529967327544e-07
1964,6.181311675845791e-07,4.477800814584043e-07
1965,6.385874655734369e-07,5.072584201570862e-07
1966,5.810489369650895e-07,6.065286726197883e-07
1967,6.567206867202913e-07,5.275459074027822e-07
1968,6.274507882153557e-07,5.232499376006672e-07
1969,5.836158720740059e-07,6.058704968836537e-07
1970,6.268062264780383e-07,7.969590569700813e-07
1971,7.522613998389716e-07,7.173202760668573e-07
1972,6.869266826470266e-07,6.807704835409822e-07
1973,6.930097242729971e-07,6.433908907865771e-07
1974,5.85622018434151e-07,6.610046625610266e-07
1975,5.894247294691013e-07,7.522019132011337e-07
1976,4.913632949410385e-07,7.501860750380729e-07
1977,6.452706600157398e-07,7.022754289209843e-07
1978,5.774254816515167e-07,8.697025748460874e-07
1979,6.396206799763604e-07,8.549732797291654e-07
1980,6.196814439363152e-07,8.124080181914906e-07
1981,5.88908648069264e-07,9.184697944419895e-07
1982,6.722724918972744e-07,9.696118752344773e-07
1983,6.302685306991407e-07,9.397190297022462e-07
1984,6.326718278160115e-07,9.997490622026817e-07
1985,6.075713656628068e-07,1.0094106244196155e-06
1986,6.138352972584471e-07,9.387364059421088e-07
1987,6.428579411021929e-07,9.954520692190272e-07
1988,6.554233351607763e-07,9.876324043034401e-07
1989,6.333292930094103e-07,9.9664299568758e-07
1990,7.039656821916651e-07,9.785777024262643e-07
1991,6.254183517739875e-07,1.0228256712707662e-06
1992,6.049918539474675e-07,1.0523993694278033e-06
1993,6.032197035210629e-07,1.0153367213661113e-06
1994,6.403761148021658e-07,1.041270536461525e-06
1995,6.609967329040956e-07,1.0259277019031288e-06
1996,7.024929544741099e-07,1.0825650633705663e-06
1997,6.588185215150588e-07,1.2433161487024336e-06
1998,6.727830452746275e-07,1.004644843760616e-06
1999,5.91841057939746e-07,1.1411792399940168e-06
2000,6.923055622110041e-07,1.2865307326137554e-06
2001,6.812784647536319e-07,1.2617889808552718e-06
2002,6.624406694299978e-07,1.1715385994648386e-06
2003,6.500399649667088e-07,1.1317362975660217e-06
2004,6.800997454092794e-07,1.2514012155406817e-06
2005,6.652038422316764e-07,1.0948615170036646e-06
2006,7.255722351828808e-07,1.0060005024570273e-06
2007,6.467062476644969e-07,9.758513499491528e-07
2008,5.964672809000149e-07,8.915078524296405e-07
2009,6.136664012501569e-07,7.929504306503077e-07
2010,5.933084281650736e-07,6.811709454268566e-07
2011,5.525639465986387e-07,5.648006577985143e-07
2012,5.031485557083215e-07,4.360847611906138e-07
2013,4.827975459420486e-07,7.251724980505969e-07
2014,5.090961536780014e-07,5.67779736115881e-07
2015,4.7434713934535466e-07,5.508189957481591e-07
2016,4.072254498055372e-07,4.339457433388816e-07
2017,5.320517857398954e-07,6.105388621335806e-07
2018,4.2077908091187055e-07,4.318793713764535e-07
2019,4.3774949176622613e-07,5.612172913060931e-07
