year,en_PRON appelait_VERB,en_PRON rappelait_VERB
1800,9.118077315406481e-08,6.288328968651058e-09
1801,4.524246932646747e-08,2.3811825844433088e-09
1802,3.8043282302169246e-08,2.6854081625060644e-08
1803,6.631153581793114e-08,1.950339223455444e-09
1804,7.415552971679062e-08,1.730295728918918e-08
1805,4.264316544322355e-08,1.1371510844071508e-08
1806,5.76333825108577e-08,2.5935023018064385e-08
1807,5.97860605466849e-08,1.4234775136401367e-08
1808,4.5321478125970316e-08,1.3596443970698147e-08
1809,5.6475762733043666e-08,3.162642769893864e-08
1810,5.148278958699848e-08,1.1700633351097167e-08
1811,1.7298829391165782e-07,7.521229861140455e-09
1812,1.226915742336132e-07,1.0668832928217853e-08
1813,6.614205716459765e-08,8.627225156487839e-09
1814,1.321604372606089e-07,3.1466771410748606e-09
1815,1.0788894400093341e-07,2.1577788444915313e-08
1816,5.7940098940889584e-08,2.3176038865813098e-09
1817,1.214361304846534e-07,2.1796227045456362e-08
1818,5.0068944545955674e-08,1.3113295338484932e-08
1819,1.3249344021915022e-07,3.1053151161586356e-09
1820,1.18664814863223e-07,2.254631326081835e-08
1821,9.171183990019927e-08,7.88919063410276e-09
1822,1.383534993237845e-07,7.118187284049782e-08
1823,1.5812298670425662e-07,3.162459805139406e-08
1824,1.9200136591734918e-07,2.947389532437228e-08
1825,1.3560382683408534e-07,2.4655239627691117e-08
1826,1.6911329225877125e-07,1.4973572604048968e-08
1827,1.6775436506577535e-07,2.1199728195142598e-08
1828,1.8436325888160354e-07,3.393751413227619e-08
1829,2.0489891028319107e-07,2.6576845613135447e-08
1830,1.8995041273228708e-07,7.305784777145163e-08
1831,1.512347012067039e-07,1.091384405071949e-08
1832,1.826545883432118e-07,7.576782934393123e-08
1833,2.6063165137202304e-07,9.266902800675325e-09
1834,4.0418518665319425e-07,2.8003592333902816e-08
1835,3.2899433222155494e-07,1.2100940693926532e-08
1836,3.4275825555596384e-07,2.2850549896702432e-08
1837,2.4074302018561866e-07,2.0177884252348122e-08
1838,2.8152243203294347e-07,3.7241754569095065e-08
1839,1.859732350339982e-07,4.194885150354821e-08
1840,3.2803896488076134e-07,3.3122379505812205e-08
1841,2.7544152203518024e-07,2.5040138851295524e-08
1842,3.0120111205178546e-07,4.427455024824667e-08
1843,3.231080256682617e-07,2.539971788451112e-08
1844,4.215215199110389e-07,2.4698525891153622e-08
1845,3.8838385307826684e-07,2.622707206967334e-08
1846,4.0220425034931395e-07,4.5665110803838616e-08
1847,3.9370533500004967e-07,3.829188699455699e-08
1848,3.6283950066717807e-07,3.459445352405055e-08
1849,4.2399838662277034e-07,2.8490010350878947e-08
1850,3.469176874659752e-07,4.3449574604892405e-08
1851,3.7535733099502977e-07,2.192809134271556e-08
1852,3.229230571832886e-07,1.8880582430824688e-08
1853,3.3681695299492276e-07,3.642878354526147e-08
1854,2.4887233962544997e-07,3.221311928314208e-08
1855,3.12047916395386e-07,2.9718847827098216e-08
1856,2.842276956016576e-07,4.038207634948776e-08
1857,2.543266361954011e-07,3.856392183365642e-08
1858,3.0585474064537266e-07,1.6149130033227266e-08
1859,4.1704899444994226e-07,3.564521477983362e-08
1860,3.043827234705532e-07,3.295572525985335e-08
1861,3.6973156625208503e-07,3.914249901981748e-08
1862,3.90354017554273e-07,4.066187742068905e-08
1863,3.196557258888788e-07,1.5982786649715308e-08
1864,3.1213679108077486e-07,3.691940619887646e-08
1865,3.544253672771447e-07,3.859612363044107e-08
1866,3.649209645573137e-07,3.454585240092456e-08
1867,3.455201635915728e-07,3.591080499631971e-08
1868,3.023203021257359e-07,4.198892966655876e-08
1869,3.135219230898656e-07,3.4672986259920435e-08
1870,3.4002908932961873e-07,1.6628741050794815e-08
1871,2.697778995752742e-07,2.442870794538976e-08
1872,3.5195515124542e-07,4.5959779981785687e-08
1873,2.436303816466534e-07,2.5141218884527916e-08
