year,bien_ADV aller_VERB,bien_ADV râler_VERB
1800,2.6725399493443547e-07,0.0
1801,2.4764298700574727e-07,0.0
1802,1.9021641151084623e-07,0.0
1803,2.7694815685208596e-07,0.0
1804,2.3729768372504623e-07,0.0
1805,3.610454655245121e-07,0.0
1806,3.4580028795971884e-07,0.0
1807,1.7366426163789583e-07,0.0
1808,3.285807395059237e-07,0.0
1809,2.2364402241237258e-07,0.0
1810,2.2465216886757844e-07,0.0
1811,2.0307321335621964e-07,0.0
1812,1.4936365744233626e-07,0.0
1813,3.795979068854649e-07,0.0
1814,2.391474538399052e-07,0.0
1815,1.1867783911156948e-07,0.0
1816,2.016315363562171e-07,0.0
1817,3.3161404644488357e-07,0.0
1818,2.873003666081786e-07,0.0
1819,2.4635500039948965e-07,0.0
1820,4.2126006860598864e-07,0.0
1821,5.058943770563928e-07,0.0
1822,3.4187348774139537e-07,0.0
1823,4.852399229093862e-07,0.0
1824,5.035825552113238e-07,0.0
1825,4.279445420252159e-07,0.0
1826,3.9371690263578785e-07,0.0
1827,2.51631547598663e-07,0.0
1828,2.1371461400576663e-07,0.0
1829,2.854867489077151e-07,0.0
1830,3.5693977906703367e-07,0.0
1831,3.149423548620689e-07,0.0
1832,4.221350309308036e-07,0.0
1833,3.3592522186154383e-07,0.0
1834,3.1644060527469264e-07,0.0
1835,3.8344856534422433e-07,0.0
1836,4.778453330800403e-07,0.0
1837,4.7452815010728955e-07,0.0
1838,3.8441066863015294e-07,0.0
1839,2.6287946752745484e-07,0.0
1840,3.337716805162927e-07,6.369688665408546e-10
1841,2.780097645427304e-07,0.0
1842,3.032135680314241e-07,0.0
1843,3.1956389534570917e-07,2.953455480181333e-09
1844,2.6784178430716565e-07,0.0
1845,3.208631085271918e-07,0.0
1846,2.897978106375376e-07,0.0
1847,2.5671744197097723e-07,0.0
1848,2.7514658995642094e-07,0.0
1849,3.1590394655722775e-07,0.0
1850,3.65926894119184e-07,0.0
1851,2.579775468802836e-07,0.0
1852,2.4349441218873835e-07,0.0
1853,3.3980290936597157e-07,0.0
1854,3.278464362210798e-07,0.0
1855,3.136399868708395e-07,0.0
1856,2.464342117036722e-07,0.0
1857,3.5683831356436713e-07,0.0
1858,3.2885503742363653e-07,0.0
1859,3.742747480828257e-07,0.0
1860,3.8402572499762755e-07,0.0
1861,3.8859542428326677e-07,0.0
1862,3.8628783727290283e-07,0.0
1863,3.850852579034836e-07,4.994620828036034e-10
1864,3.3563094348210143e-07,0.0
1865,3.106517283413268e-07,0.0
1866,3.16264845423575e-07,0.0
1867,3.353292754582071e-07,4.85281148598915e-10
1868,3.0380226689885603e-07,0.0
1869,3.047315999538114e-07,0.0
1870,3.526440082168847e-07,0.0
1871,2.8358542181194935e-07,0.0
1872,3.156711159135739e-07,0.0
1873,3.1665962296756334e-07,0.0
1874,2.9992537520229234e-07,0.0
1875,3.5645115303850616e-07,0.0
1876,3.542964748248778e-07,0.0
1877,3.5562692346502445e-07,0.0
1878,3.3818895417425665e-07,0.0
1879,3.8488749964926683e-07,0.0
1880,3.2538480354560306e-07,0.0
1881,3.102765901985549e-07,0.0
1882,3.740326519618975e-07,0.0
1883,3.134392159154231e-07,0.0
1884,3.7035519540040696e-07,0.0
1885,3.222817781534104e-07,0.0
1886,3.129929950773658e-07,0.0
1887,3.0424789088101534e-07,0.0
1888,3.1512854548054747e-07,0.0
1889,3.001000550284516e-07,0.0
1890,2.9101477139192866e-07,0.0
1891,3.5058209846283717e-07,0.0
1892,2.5700902028802375e-07,0.0
1893,2.9560399639194657e-07,0.0
1894,2.87980356006301e-07,0.0
1895,3.3704242241583415e-07,0.0
1896,3.072352114941168e-07,0.0
1897,2.773515745957411e-07,0.0
1898,2.914052856795024e-07,0.0
1899,3.007002646882029e-07,0.0
1900,2.683774482648005e-07,0.0
1901,2.90614423192892e-07,0.0
1902,2.3618464695118746e-07,0.0
1903,2.856716605492693e-07,0.0
1904,2.55832162565639e-07,0.0
1905,2.7506845867719676e-07,0.0
1906,2.58752493209613e-07,0.0
1907,2.5199932451869245e-07,0.0
1908,3.354478792516602e-07,0.0
1909,2.711985018777341e-07,0.0
1910,3.4683537819546473e-07,0.0
1911,3.0698558362018957e-07,0.0
1912,3.063139786263491e-07,0.0
1913,2.89012945131617e-07,0.0
1914,2.7121811285724107e-07,0.0
1915,3.204367260423169e-07,0.0
1916,2.6150158305426885e-07,0.0
1917,2.8732031864819874e-07,0.0
1918,2.8601075996448344e-07,1.1486376294556067e-09
1919,2.541366086461494e-07,1.8415696745321952e-09
1920,2.99860374752825e-07,0.0
1921,2.0067780326371576e-07,0.0
1922,3.128244543404435e-07,0.0
1923,3.131704602310492e-07,0.0
1924,2.977965323225362e-07,0.0
1925,3.530415142449783e-07,0.0
1926,2.741950027029816e-07,0.0
1927,3.1106335995900736e-07,0.0
1928,3.0164747499838995e-07,0.0
1929,2.996769410401612e-07,0.0
