year,en_ADP homme_NOUN,en_ADP rhum_NOUN
1800,3.0183979831122087e-06,1.5720821977538435e-08
1801,4.1908812704605225e-06,4.286128785224719e-08
1802,3.4059926861118583e-06,3.1329761895904085e-08
1803,2.603702782266737e-06,3.510610468993036e-08
1804,4.4913530956591785e-06,1.730295728918918e-08
1805,4.778877240596557e-06,1.7057265822018053e-08
1806,3.4349495479091274e-06,1.729001475325731e-08
1807,2.835567205039524e-06,0.0
1808,3.716361280936553e-06,0.0
1809,3.445021434345108e-06,0.0
1810,4.2566906159891005e-06,1.3338723192646285e-07
1811,3.6277401704865042e-06,0.0
1812,3.846114353223129e-06,5.3344164641089264e-09
1813,4.655825605937025e-06,1.1502966579257645e-08
1814,3.62497203809653e-06,2.8320094713762956e-08
1815,2.6918291453625898e-06,0.0
1816,2.706961439002953e-06,0.0
1817,4.1334988267749395e-06,0.0
1818,4.675485790528455e-06,4.768470951432846e-09
1819,4.798746836343071e-06,2.070210003424222e-09
1820,4.204294484111415e-06,4.746592452420373e-09
1821,4.780849693020173e-06,5.9168927535324656e-09
1822,4.31101462083916e-06,2.2056354964661296e-08
1823,3.911567389991433e-06,6.917880934764753e-09
1824,4.6812967298137664e-06,1.1789557774477544e-08
1825,5.301757042275312e-06,1.2327619813845558e-08
1826,3.521432027753235e-06,8.80798456392995e-09
1827,3.7541952622177632e-06,0.0
1828,3.3671517769562342e-06,3.668920500743411e-09
1829,4.512919986154884e-06,2.571952872898464e-09
1830,4.250923158366504e-06,5.218417697960831e-09
1831,3.5703861840374884e-06,0.0
1832,4.514950603606849e-06,8.117981842303834e-09
1833,3.624517376010772e-06,1.1583628278799551e-08
1834,3.4080372870448628e-06,2.0535967593104942e-08
1835,3.988016217704171e-06,7.563087933704082e-09
1836,3.824106805438987e-06,7.392825018825988e-09
1837,3.378751728178031e-06,1.1828414692161004e-08
1838,3.5139804168693445e-06,7.574594285131298e-09
1839,3.6894014030508515e-06,2.1673573158409454e-08
1840,3.656838316601352e-06,4.458782232319436e-09
1841,3.2173369675092545e-06,2.3113974734201292e-08
1842,3.519826691444905e-06,1.609983613093391e-08
1843,3.760339609470975e-06,4.1939067330076796e-08
1844,3.2596566086340317e-06,2.7991662321369404e-08
1845,3.413425460507824e-06,1.0044410636567136e-08
1846,3.468206600132362e-06,9.952652035849496e-09
1847,3.1275303769007223e-06,2.0494249852731627e-08
1848,3.0571842586368803e-06,8.045221711050488e-10
1849,3.1070870107896553e-06,2.513824481908955e-09
1850,3.1765711270281827e-06,4.752297222410107e-09
1851,3.271800324000651e-06,1.805842941848823e-08
1852,3.293033927320721e-06,5.859490670445666e-09
1853,3.5431471019364835e-06,1.0749477752369785e-08
1854,3.640082411493495e-06,8.832629738719788e-09
1855,4.029557430840214e-06,3.1841622671890946e-09
1856,3.584685927648934e-06,5.177189343896771e-09
1857,3.993562557980113e-06,6.8341128311999455e-09
1858,4.115581347718944e-06,8.31924928945682e-09
1859,4.049296379093903e-06,1.2221216039165483e-08
1860,3.8123365300180012e-06,6.865775947773045e-09
1861,3.5544218519589776e-06,2.6409397335669382e-08
1862,3.4549041458831198e-06,6.776979422085105e-09
1863,3.886813914277809e-06,5.494082966350788e-09
1864,3.7629024944862977e-06,2.205574922697906e-08
1865,3.517424701726668e-06,2.3534221238463715e-09
1866,3.598120827064122e-06,1.9462451650298362e-09
1867,3.4192910476349425e-06,6.79393608038481e-09
1868,3.4875511829568495e-06,3.951899252285784e-09
1869,3.6992657044265798e-06,3.4184632902167778e-09
1870,3.911194738748236e-06,8.601073631098188e-09
1871,2.8794012649768774e-06,7.434824311758348e-09
1872,3.2202080859633497e-06,5.442605477412599e-09
1873,3.140856648542467e-06,1.0176207432266438e-08
1874,3.3607176135319605e-06,5.974609140757536e-10
1875,3.5811039111877108e-06,1.1443054281912168e-09
1876,3.3325632955438778e-06,7.859819461941697e-09
1877,3.350314756289663e-06,6.184816214727107e-09
1878,3.400007031473251e-06,4.22736201599605e-09
1879,3.842154725930413e-06,1.832797580370027e-09
1880,3.4983678887101632e-06,3.8507077526617195e-09
1881,3.1264724213997397e-06,9.064259565150223e-09
1882,3.14533509992998e-06,7.986462158271479e-09
1883,2.848126015919661e-06,8.847074184359371e-09
1884,3.1523104127018087e-06,3.300848305798354e-08
1885,2.684607366632008e-06,1.6114089618213256e-08
1886,2.8414600592441275e-06,7.744156427236248e-09
1887,2.902107070212878e-06,6.528924512139156e-09
1888,3.0301797266929498e-06,6.150396103521416e-08
1889,2.9402287253788018e-06,1.0024218788373673e-08
1890,2.5195061965632704e-06,1.3108772733971819e-08
1891,2.761312146049022e-06,1.1473596295275001e-08
1892,2.819576906176735e-06,1.1283322720601063e-08
1893,2.5834556396375774e-06,1.7859408174558666e-08
1894,2.700209634554085e-06,8.192000855444803e-09
1895,2.5621240951068103e-06,1.8055843042930064e-08
1896,2.605897194030149e-06,6.486732040400511e-09
1897,2.3079611679577283e-06,7.574727511894253e-09
1898,2.6243450719221073e-06,3.960848538042683e-09
1899,2.518917369798146e-06,2.7085134135518274e-08
1900,2.697271142437785e-06,2.387884379118077e-08
1901,2.4897830996906123e-06,1.1736351446245408e-08
1902,2.0083061258446833e-06,1.4239823542538943e-08
1903,2.456560309838096e-06,2.5381035939631147e-08
1904,2.1708110864437913e-06,1.7736262236667244e-08
1905,2.4214281069134813e-06,2.631987072732045e-08
1906,2.3375174578177393e-06,1.1317205839134203e-08
1907,2.137365655130452e-06,5.65712765521198e-09
1908,2.3898818710677006e-06,4.911389073214423e-09
1909,2.4314348081588832e-06,8.251475058784763e-09
1910,2.362648999110206e-06,9.085056262847502e-09
1911,2.478762283431024e-06,3.1922244847493175e-09
1912,2.2301531430457544e-06,1.2502610502451716e-08
1913,2.257482748291295e-06,2.6514948014977335e-09
