year,rien_PRON établir_VERB,rien_PRON etablir_VERB,rien_PRON rétablir_VERB
1800,9.432493186523061e-08,0.0,0.0
1801,1.5477687043130572e-07,0.0,0.0
1802,2.3721105435470236e-07,0.0,0.0
1803,1.1507001573818343e-07,0.0,0.0
1804,1.557266102736321e-07,0.0,0.0
1805,6.538618890772341e-08,0.0,0.0
1806,1.0662175498055149e-07,0.0,0.0
1807,1.5942949005420815e-07,5.693910232196231e-09,0.0
1808,9.064295625194063e-08,0.0,0.0
1809,7.00299480627109e-08,0.0,0.0
1810,3.978215445954447e-08,2.3401267590372754e-09,4.680253518074551e-09
1811,8.022645658911642e-08,0.0,1.504245972228091e-08
1812,9.601949813031752e-08,0.0,1.8670457180292033e-08
1813,6.039057609541487e-08,0.0,2.8757416448144113e-09
1814,6.293354459785405e-08,0.0,3.1466772298927026e-08
1815,1.1867783911156948e-07,0.0,8.091670444798638e-09
1816,8.343373991692715e-08,0.0,4.6352077731626196e-09
1817,9.963989811012652e-08,0.0,0.0
1818,5.96058882251782e-08,0.0,1.1921177378582115e-09
1819,4.864993385922389e-08,0.0,1.1386155129855524e-08
1820,1.38837833674188e-07,1.1866481131050932e-09,1.3053129244156025e-08
1821,1.1833785862336299e-07,0.0,3.0570614484304315e-08
1822,2.0753024898567674e-07,0.0,1.0025615893027862e-09
1823,7.906149335212831e-08,0.0,9.882686891060644e-10
1824,8.252690264498597e-08,0.0,1.6842225392110777e-09
1825,9.5979331149465e-08,0.0,7.044354433105582e-09
1826,1.0305341646699162e-07,8.807984341885344e-10,2.7304752237000685e-08
1827,9.493790997794349e-08,0.0,8.295545583791863e-09
1828,1.5592911495332373e-07,1.8344602503717056e-09,3.668920500743411e-09
1829,1.4145740578896948e-07,0.0,6.001223074036943e-09
1830,1.5029043254344288e-07,0.0,0.0
1831,8.886987501455224e-08,0.0,1.5591206103948707e-09
1832,1.1500473817704915e-07,0.0,4.058990921151917e-09
1833,1.3437009727113036e-07,0.0,1.6217079235048004e-08
1834,8.867804268675172e-08,0.0,9.334530925997342e-10
1835,1.5655592733310186e-07,0.0,0.0
1836,1.196293482053079e-07,0.0,4.704525213838906e-09
1837,1.4472412601662654e-07,6.957890930081589e-10,6.957891152126194e-09
1838,1.2876810728812416e-07,0.0,3.787297142565649e-09
1839,1.2654570014092315e-07,0.0,5.5931801412612e-09
1840,9.17235141173478e-08,6.369688665408546e-10,3.821813088222825e-09
1841,1.5601932545905584e-07,0.0,5.778493683550323e-09
1842,1.4624018263020844e-07,0.0,1.0062397137744483e-08
1843,1.281799768548808e-07,0.0,0.0
1844,1.3392089215358283e-07,0.0,2.7442805805577564e-09
1845,1.1383664855202369e-07,0.0,8.37034175305007e-09
1846,1.6216968390381226e-07,1.7563503984519002e-09,1.5221703009160592e-08
1847,9.16848037491036e-08,0.0,3.235934187273415e-09
1848,1.126331028444838e-07,0.0,0.0
1849,8.798385664476882e-08,0.0,0.0
1850,1.194863301634541e-07,0.0,6.788996032014438e-10
1851,1.0448091103398838e-07,0.0,1.2253933867611977e-08
1852,1.0742400036178879e-07,0.0,9.765818376195057e-09
1853,8.778739868375851e-08,0.0,4.180352064508952e-09
1854,9.092412511790826e-08,2.0782657816909023e-09,3.63696517347023e-09
1855,9.127931832608738e-08,0.0,1.0613874223963649e-09
