year,bon_ADJ aliment_NOUN
1800,1.131899196593622e-07
1801,1.04772034603684e-07
1802,6.937304419807333e-08
1803,9.946730017418304e-08
1804,1.3100809326260787e-07
1805,1.1087222873129576e-07
1806,5.187004603612877e-08
1807,5.124519120158766e-08
1808,8.157866204783204e-08
1809,1.603911670144953e-07
1810,3.7442028144596406e-08
1811,5.0141537144554604e-08
1812,4.000812481308458e-08
1813,9.202373263406116e-08
1814,7.866692897096073e-08
1815,8.091670622434322e-08
1816,2.248075787747439e-07
1817,1.0586739307427706e-07
1818,7.391130196765516e-08
1819,6.314140676977331e-08
1820,1.0323838495196469e-07
1821,3.254291058851777e-08
1822,3.709477880420309e-08
1823,4.4472091786929013e-08
1824,3.705289586264371e-08
1825,8.189061873054015e-08
1826,1.039342123476672e-07
1827,5.7147094167930845e-08
1828,4.4027046897099353e-08
1829,4.543783305166471e-08
1830,6.262101237552997e-08
1831,4.677361786775691e-08
1832,5.953186388296672e-08
1833,9.498575082034222e-08
1834,7.094243414940138e-08
1835,6.958040899007756e-08
1836,2.5538851033957144e-08
1837,3.75726116885744e-08
1838,2.0830134062066463e-08
1839,7.2012191765225e-08
1840,3.758116307039927e-08
1841,1.3996795189541444e-07
1842,5.0982812638267205e-08
1843,1.594865928211675e-08
1844,3.1833653935109396e-08
1845,3.459741293454499e-08
1846,4.6836010625384006e-08
1847,2.2112217834546755e-08
1848,3.137636639394259e-08
1849,9.217356655710773e-09
1850,5.906426636670403e-08
1851,8.384270699934859e-08
1852,5.078225484567156e-08
1853,6.151089593231518e-08
1854,4.364358119346434e-08
1855,6.580602018857462e-08
1856,5.4360487666826884e-08
1857,3.172980811427806e-08
1858,1.761723389392955e-08
1859,6.263373109050008e-08
1860,4.3483247225140076e-08
1861,2.7352589526685733e-08
1862,2.84633134839396e-08
1863,4.844782353075061e-08
1864,3.452204211384924e-08
1865,3.9066808454890634e-08
1866,4.865612979187972e-08
1867,3.202855580752839e-08
1868,4.1494942593089945e-08
1869,1.953407746668745e-08
1870,5.103303379883073e-08
1871,7.009977309735405e-08
1872,1.9956219787786722e-08
1873,5.207823861042016e-08
1874,5.317401985394099e-08
1875,2.1169650921137873e-08
1876,3.9903696347209916e-08
1877,6.741449709579683e-08
1878,4.046189516770937e-08
1879,3.726688291294522e-08
1880,3.8507078414795615e-08
1881,4.8807553554297556e-08
1882,5.523969548448804e-08
1883,4.9922778799782463e-08
1884,4.027035060971684e-08
1885,5.349877696403382e-08
1886,3.033127882190456e-08
1887,5.223139609711325e-08
1888,3.106901047544852e-08
1889,3.821733329800736e-08
1890,3.211649257650606e-08
1891,2.1672347472190268e-08
1892,4.325273650351846e-08
1893,4.3724757148311255e-08
1894,4.7891699495039575e-08
1895,4.33340261452031e-08
1896,3.833068973335685e-08
1897,4.3700350005337896e-08
1898,4.187182511827814e-08
1899,4.0351324059884064e-08
1900,4.9315005412609025e-08
1901,4.63865319488832e-08
1902,4.517461249520238e-08
1903,7.2902970771338e-08
1904,5.320879026271541e-08
1905,8.721682576151579e-08
1906,9.259532163241602e-08
1907,4.217131532868734e-08
1908,4.813161424976897e-08
1909,4.8408654862441836e-08
1910,7.32148635051999e-08
1911,4.735132819178034e-08
1912,4.4801023335594437e-08
1913,1.1984757009031455e-07
1914,4.888622839871459e-08
1915,3.180805663305364e-08
1916,4.0653610255958483e-08
1917,8.444146715191891e-08
1918,1.0337738842736144e-07
1919,6.997964874244644e-08
1920,6.587841738792122e-08
1921,4.316466117870732e-08
1922,5.902348476638508e-08
1923,3.3971033985835675e-08
1924,3.738571052736006e-08
