year,bien_ADV attrapé_VERB,bien_ADV rattrapé_VERB
1800,4.7162465932615305e-08,0.0
1801,3.571773810051582e-08,0.0
1802,4.2518962573012686e-08,0.0
1803,4.095712458074274e-08,0.0
1804,3.9549616470679894e-08,0.0
1805,7.960057502032214e-08,0.0
1806,9.221341201737232e-08,0.0
1807,4.27043254092041e-08,0.0
1808,3.3991110370834576e-08,0.0
1809,6.551188591608081e-08,0.0
1810,6.31834211617388e-08,0.0
1811,1.353821517113829e-07,0.0
1812,5.067695596494559e-08,0.0
1813,6.614205716459765e-08,0.0
1814,6.608021863030444e-08,0.0
1815,2.4275012222574333e-08,0.0
1816,0.0,0.0
1817,6.227493543065066e-08,0.0
1818,3.9339884239097955e-08,0.0
1819,3.8298885840504227e-08,0.0
1820,6.526564533260171e-08,0.0
1821,1.6271455649530253e-07,0.0
1822,5.81485721795616e-08,0.0
1823,7.807322788266902e-08,2.174191138237802e-08
1824,4.126345132249298e-08,8.421112696055388e-10
1825,6.163810439829831e-08,0.0
1826,1.5854372037438225e-08,0.0
1827,9.770309361556428e-08,0.0
1828,4.953042775923677e-08,9.172301251858528e-10
1829,5.829759786024624e-08,3.429270423183084e-09
1830,6.470838087579978e-08,0.0
1831,3.741889287312006e-08,1.5591206103948707e-09
1832,1.5288865995444212e-07,1.3529969367098715e-09
1833,1.054110185805257e-07,1.1583628500844156e-09
1834,4.947301235347368e-08,0.0
1835,1.1647155417904287e-07,0.0
1836,4.7045248752208835e-08,2.016224964762614e-09
1837,3.896418832027848e-08,0.0
1838,2.840472923537618e-08,0.0
1839,2.9364196407755117e-08,0.0
1840,4.0129037870428874e-08,0.0
1841,2.247191943638427e-08,0.0
1842,2.3478927246856074e-08,0.0
1843,6.497602100807853e-08,0.0
1844,4.006649589882727e-08,0.0
1845,5.133809788393506e-08,5.580227946389016e-10
1846,5.093416177714971e-08,1.3465353276842507e-08
1847,2.7505439703645607e-08,1.0786447290911383e-09
1848,1.930853166243196e-08,8.045221711050488e-10
1849,3.77073661184113e-08,0.0
1850,3.2587180953669304e-08,6.788996032014438e-10
1851,3.611685883697646e-08,0.0
1852,3.580800012059626e-08,0.0
1853,3.941475057445132e-08,0.0
1854,4.7800114089113777e-08,1.558699391779328e-09
1855,4.404757802944914e-08,2.1227748447927297e-09
1856,3.468716869292621e-08,1.0354378465748937e-09
1857,4.6862489000432106e-08,0.0
1858,3.9149409047922745e-08,1.9574704079872163e-09
1859,3.768208145515928e-08,1.018434669930457e-09
1860,3.066713105681629e-08,1.373155145145688e-09
1861,2.923897596263103e-08,0.0
1862,5.421583537668084e-08,2.710791813242963e-09
1863,4.195481650981492e-08,3.496234635136375e-09
1864,3.691940619887646e-08,0.0
1865,4.000817810378976e-08,9.88437331983505e-09
1866,3.600553633020809e-08,2.432806400776144e-09
1867,3.88224918879132e-08,4.367530337390235e-09
1868,5.878450082263953e-08,9.87974813071446e-10
1869,6.153234011208042e-08,1.953407657850903e-09
1870,2.9243649279919737e-08,0.0
1871,4.991953161948004e-08,4.248470908407853e-09
1872,5.261185076488317e-08,1.8142017887967654e-09
1873,5.7465641134513135e-08,0.0
1874,2.3898437007119355e-08,0.0
1875,5.8931731217182204e-08,4.577221712764867e-09
1876,6.469235813710839e-08,3.02300739996042e-09
1877,6.67960161626624e-08,2.4739263970730008e-09
1878,5.676743342064583e-08,6.039088784604019e-09
1879,5.009646741882534e-08,6.10932526790009e-10
1880,5.904418642899145e-08,1.2835692508872398e-09
