year,bien_ADV appelé_VERB,bien_ADV rappelé_VERB
1800,4.7162465932615305e-08,2.829747991484055e-08
1801,6.905429472681135e-08,9.524730337773235e-09
1802,1.1412984690650774e-07,2.2378401354217203e-09
1803,1.5797748176282767e-07,0.0
1804,1.1617699158250616e-07,2.4718509905596875e-08
1805,1.5920115004064428e-07,0.0
1806,2.0748018414451508e-07,1.729001475325731e-08
1807,4.6690064436916145e-07,2.2775640928784924e-08
1808,2.22075257738652e-07,1.3596443970698147e-08
1809,2.5075237886085233e-07,2.259030518203531e-09
1810,3.8378078670575633e-07,3.042164919975221e-08
1811,1.6546707115594472e-07,1.7549536934780008e-08
1812,2.3471432086807908e-07,2.9339290108509886e-08
1813,1.7542024011163448e-07,4.3136125782439194e-08
1814,9.44003133440674e-08,3.4613449884091096e-08
1815,2.346584437873389e-07,0.0
1816,5.7940098940889584e-08,0.0
1817,6.07180652423267e-08,3.7364962679475866e-08
1818,7.987188865854478e-08,1.0729059418679299e-08
1819,5.693077653745604e-08,3.1053151161586356e-09
1820,9.374520004712394e-08,4.9839222526770754e-08
1821,6.409967312492881e-08,9.861488514673056e-09
1822,1.3935606091308728e-07,2.8071724500478012e-08
1823,6.423746157224741e-08,3.755420863171821e-08
1824,1.0105335235266466e-07,2.7789671008804362e-08
1825,1.2239566160587856e-07,2.8177417732422327e-08
1826,1.444509365455815e-07,2.1139161532346407e-08
1827,1.8618891317601083e-07,1.7512819638909605e-08
1828,3.540508259902708e-07,3.66892045633449e-08
1829,2.657684490259271e-07,3.1720752247110795e-08
1830,2.108240835241304e-07,4.174734336004349e-09
1831,1.5279381671007286e-07,8.419251429359065e-08
1832,2.5706941642056336e-07,2.976593194148336e-08
1833,1.807046032809012e-07,4.054269808762001e-08
1834,8.867804268675172e-08,1.9602515166639023e-08
1835,7.865611451052246e-08,4.235329242874286e-08
1836,9.005805168271763e-08,2.8227150394855016e-08
1837,1.5237780814914004e-07,2.852735292435682e-08
1838,1.117252637072852e-07,1.7674054220151447e-08
1839,1.1955422962728335e-07,2.0974425751774106e-08
1840,1.2038711361128662e-07,3.05745047057826e-08
1841,1.4317822660814272e-07,3.5955071808757566e-08
1842,1.4288605143519817e-07,1.609983613093391e-08
1843,1.0809647221776686e-07,2.5990408047960045e-08
1844,1.3666517872934492e-07,1.866110821424627e-08
