year,on_PRON enferme_VERB,on_PRON renferme_VERB
1800,4.370388584362672e-07,5.628054253747905e-07
1801,4.2146930923081527e-07,4.6433061839934453e-07
1802,4.31903146136392e-07,3.312003400424146e-07
1803,5.051378693110564e-07,6.163072114873103e-07
1804,4.1032726727507907e-07,4.622361160500077e-07
1805,3.0987366272938743e-07,3.8663136336936077e-07
1806,2.3629686651815973e-07,4.005520031213905e-07
1807,2.6191987245738346e-07,1.622764429498602e-07
1808,2.6966281296836314e-07,3.557736150128221e-07
1809,3.117462235024959e-07,4.5632416956209454e-07
1810,3.3931836718181785e-07,4.86746369432467e-07
1811,4.186818358675737e-07,3.20905812145611e-07
1812,2.560519867245148e-07,3.093961495892472e-07
1813,1.6966875193702435e-07,2.473137818981286e-07
1814,3.398411330124418e-07,3.9333465906565834e-07
1815,2.0768621644684515e-07,2.562362406699492e-07
1816,3.8703984017729454e-07,3.1751172357985524e-07
1817,3.643083736903918e-07,2.413153845637339e-07
1818,1.6451224205127346e-07,2.276944925938551e-07
1819,2.080561003481307e-07,3.001804493862892e-07
1820,2.5750264143198365e-07,3.156483927568843e-07
1821,3.195122246779647e-07,1.942713243607841e-07
1822,2.9174542248711077e-07,2.1956098805731017e-07
1823,1.8579451932509983e-07,2.6782081619103337e-07
1824,2.812651551664658e-07,2.0631725838882176e-07
1825,2.650438304385716e-07,2.518356652103648e-07
1826,1.7792128659266382e-07,3.0211386459200185e-07
1827,2.6269228570185987e-07,2.5992710916966644e-07
1828,2.6049335843936205e-07,2.659967321960721e-07
1829,2.897733466511454e-07,2.9577457993923417e-07
1830,2.609209008852531e-07,3.298040063270946e-07
1831,2.463410542219435e-07,2.4945929411046563e-07
1832,3.125422818328616e-07,3.341902452547174e-07
1833,2.5252309399093065e-07,2.733736419457955e-07
1834,1.8202335994033092e-07,2.7443521766201684e-07
1835,3.426078905022223e-07,3.221875459757939e-07
1836,2.4329115078103314e-07,2.93024708497569e-07
1837,2.0734514905029755e-07,2.435261858835247e-07
1838,1.5591040458673433e-07,2.3733728227171014e-07
1839,2.859513408282055e-07,2.1044340670073325e-07
1840,2.401372558580306e-07,2.516027048926617e-07
1841,1.951846773096122e-07,2.3884440025767617e-07
1842,1.415443939833949e-07,1.9588133604031555e-07
1843,1.8193285455936348e-07,2.2446261738195972e-07
1844,2.705860744356414e-07,2.711349331718793e-07
1845,1.6796486335124428e-07,1.9921413851875514e-07
1846,2.0842025172385092e-07,2.00223944091249e-07
1847,1.542462015891033e-07,1.8660553990912376e-07
1848,1.5285921506347222e-07,1.890627103762199e-07
1849,1.7094006032891684e-07,1.9607830381573876e-07
1850,1.7311940325726027e-07,2.2946807121115853e-07
1851,2.3540451010717334e-07,2.0702698400043573e-07
1852,2.2656698028811206e-07,2.1029061514354908e-07
1853,2.2753060235913836e-07,2.7232010069155876e-07
1854,2.1613964662492435e-07,1.8600478668417963e-07
1855,2.266062146816239e-07,1.85212101655452e-07
1856,1.8430794312962462e-07,1.454790119481686e-07
1857,1.9037885934380938e-07,2.0892858820786842e-07
1858,2.2706657176740919e-07,1.8938526835654557e-07
1859,2.2558328183208687e-07,1.9961320063544008e-07
1860,2.5174511719683323e-07,1.6432089822160378e-07
1861,2.791850519656691e-07,1.3299018242207694e-07
1862,1.8162305259750156e-07,1.6761728804937093e-07
1863,2.187643843853948e-07,1.5832948108140954e-07
1864,1.970633256576093e-07,1.682949539727474e-07
1865,1.7038776967126523e-07,1.802721438792787e-07
1866,1.8489329178805747e-07,1.2358656675814927e-07
1867,2.314791096580393e-07,1.3151119127030597e-07
1868,2.1192060195573958e-07,1.6993166340739663e-07
1869,2.168282442482905e-07,1.1915786934935113e-07
1870,2.803949730179056e-07,1.3933738074456414e-07
1871,2.2410684508145096e-07,1.3064047799105083e-07
1872,2.2858943005132915e-07,1.3485566974225094e-07
1873,2.6278559595027673e-07,1.310934987230894e-07
1874,2.6527264651576843e-07,1.4100077372347641e-07
1875,2.0998004046646201e-07,1.3846095825442717e-07
1876,2.587694343247904e-07,1.5477797532525983e-07
1877,3.2037348063340687e-07,1.0390490690070919e-07
1878,3.2309123909612936e-07,1.286325890248463e-07
1879,2.4070741133641604e-07,1.130225193435308e-07
1880,2.1243070769116912e-07,7.701415771776965e-08
1881,2.2451474990248244e-07,7.87893332798717e-08
1882,2.5024247918281617e-07,1.0715170084552028e-07
1883,2.5593322661165985e-07,7.0776594585098e-08
1884,2.627475375049926e-07,1.3401444576288668e-07
1885,2.8425253972841347e-07,9.217258822857843e-08
1886,2.41359543906583e-07,9.292987712683498e-08
1887,2.3830575557326483e-07,7.63884173693441e-08
1888,2.1177653053428003e-07,9.827952851537702e-08
1889,2.2554492318249686e-07,6.077182490571431e-08
1890,2.3071440047317537e-07,6.095579507814364e-08
1891,2.35846137286444e-07,9.242619114502304e-08
1892,2.1939793271030794e-07,6.895363391379306e-08
1893,1.7674655694577268e-07,7.082179132034128e-08
1894,2.646646493076332e-07,6.049477896397093e-08
1895,2.0282731583165514e-07,7.643640387300366e-08
1896,2.2526651122234398e-07,5.6021776106973675e-08
1897,2.691941531907105e-07,6.525919094002575e-08
1898,2.4557260047686214e-07,5.997856256101386e-08
1899,1.8462112549855192e-07,7.683334324326552e-08
1900,2.372311236342739e-07,7.111742883481043e-08
1901,2.1572532560298896e-07,6.147612641171918e-08
1902,2.391308164817474e-07,7.365425958028027e-08
1903,2.478701031094488e-07,4.5361848943770156e-08
1904,2.6765633265313227e-07,4.03096898082822e-08
1905,2.1107505077111455e-07,4.283430188323223e-08
1906,1.8056087469631166e-07,3.0865107358835076e-08
1907,2.2319940384818437e-07,4.011417686911045e-08
1908,2.0382264764862157e-07,5.5989833880332185e-08
1909,1.897839290165848e-07,4.070727932514728e-08
1910,1.9078617796708386e-07,4.809735687505423e-08
1911,1.675917822296924e-07,3.5646507079434286e-08
1912,1.6670147395814183e-07,3.0214643897963356e-08
1913,1.9568031639494166e-07,4.0833021186514884e-08
1914,1.9353588953663348e-07,4.8216555192936994e-08
1915,1.7553336029152433e-07,2.4739599702172654e-08
1916,1.351457807885481e-07,3.625862365908006e-08
1917,1.4146687377092348e-07,5.3735480953776005e-08
1918,2.2857888382077363e-07,2.986457836584577e-08
1919,1.666620548235187e-07,4.0514534171975924e-08
1920,1.7567577970112325e-07,3.104614920701465e-08
1921,1.6887226905737407e-07,3.029098993856394e-08
1922,1.6526576018804917e-07,5.238334360724295e-08
1923,1.910870679466825e-07,2.9724655181695425e-08
1924,1.598561443216795e-07,1.933743609683347e-08
1925,1.8916865585083542e-07,4.06932585406139e-08
1926,1.7053591605531437e-07,2.0063048999929833e-08
1927,1.415951587091513e-07,4.1252132820801535e-08
1928,1.382550927075954e-07,2.170947854818195e-08
1929,1.3702699597217816e-07,3.676334259239411e-08
1930,1.312950379528388e-07,2.4158288924880367e-08
1931,1.2317785369475587e-07,2.8513392535955973e-08
1932,1.8959998904222175e-07,2.4110979879310435e-08
1933,1.3879501281621742e-07,1.4911860635180574e-08
1934,1.1262685362112279e-07,1.1981580172459871e-08
1935,1.077145554972958e-07,3.2314365405738954e-08
1936,1.236720894581822e-07,4.849885826274658e-09
1937,1.3220673800162785e-07,1.76275650742852e-08
1938,1.2057649456664876e-07,1.1668693011834819e-08
1939,1.0705835684632348e-07,2.5999885799876665e-08
1940,8.114505511969128e-08,1.2678914584896006e-08
1941,1.2101160962174617e-07,1.7709015587286103e-08
1942,1.0923162108156248e-07,3.034211815133858e-08
1943,1.9451676003257035e-07,8.709705845433291e-09
1944,1.6065930807940276e-07,6.4263723231761105e-09
1945,1.3724575254059346e-07,1.9606536394434215e-08
1946,1.3225049144693912e-07,2.3665878146061914e-08
1947,1.4662671965481877e-07,2.8610090296865565e-08
1948,1.1959076662293455e-07,1.7395020535104777e-08
1949,1.4725512542668184e-07,1.8652315247891238e-08
1950,1.2762433865276535e-07,1.3825969924496917e-08
1951,1.2047383890489982e-07,2.7719643913570735e-08
1952,9.701219561009111e-08,1.3708244983590134e-08
1953,1.3036331125704237e-07,7.541679059031026e-09
1954,1.1629317864247923e-07,7.818028890937967e-09
1955,1.285828279407042e-07,1.5016972554349195e-08
1956,1.0290946939051082e-07,1.0465369459922158e-08
1957,1.484286347164243e-07,1.6786572132332367e-08
1958,9.926692090544975e-08,1.2408365224203521e-08
1959,9.688434943200264e-08,8.525822381422188e-09
1960,1.0796500315990443e-07,1.1073333472388924e-08
1961,1.4104763224054295e-07,6.2533435096767676e-09
1962,1.040080839231905e-07,3.6783346590851806e-08
1963,1.2608803778846323e-07,6.4660533594107505e-09
1964,1.155953981424318e-07,1.764350793242997e-08
1965,1.247625895928195e-07,2.7907421262796106e-08
1966,1.1022758528156373e-07,1.4401594694568587e-08
1967,1.227653552149377e-07,2.6623812265924585e-08
1968,1.0599741706585064e-07,2.470278681609983e-08
1969,1.0082702406322142e-07,2.089208650524199e-08
1970,1.1726748816442978e-07,1.793502746316733e-08
1971,1.3719521518851252e-07,2.8775025473493088e-08
1972,1.072200728202688e-07,1.8468529372484e-08
1973,1.1081539863511125e-07,1.874489319320105e-08
1974,1.333260453151297e-07,1.575160024636091e-08
1975,1.3707551982378163e-07,1.028066431985053e-08
1976,1.3312517221919506e-07,1.2569759455516305e-08
1977,1.5044560974786236e-07,2.11564152863275e-08
1978,1.5267319142253655e-07,1.663365600812483e-08
1979,1.4454374763772648e-07,1.8141118163228498e-08
1980,1.1881964656623722e-07,1.2507331281774725e-08
1981,1.3283653821360986e-07,8.223214220670627e-09
1982,1.1732179139301024e-07,1.4898005495922462e-08
1983,1.2188560294390527e-07,8.841442245000053e-09
1984,1.3395709252961296e-07,2.8995041922996734e-08
1985,1.0888160240085654e-07,1.8648230737383642e-08
1986,1.1449466974511324e-07,1.678455885389951e-08
1987,9.532873956885624e-08,8.555143704569446e-09
1988,1.0973693687077457e-07,8.39517544370949e-09
1989,1.0646956649651429e-07,1.0976244357863152e-08
1990,1.0515896065044217e-07,1.4711357243513135e-08
1991,8.850812527327889e-08,1.6412103009955104e-08
1992,1.3389163822097316e-07,1.5427843669257868e-08
1993,1.1023022672418392e-07,1.7171542965321862e-08
1994,1.4506048096052382e-07,1.6352272202979634e-08
1995,9.380839660622087e-08,1.4098372247417501e-08
1996,1.2811421434832937e-07,9.608566164942545e-09
1997,1.1363900220828782e-07,1.4384683444390589e-08
1998,1.1777278885460873e-07,1.6211639697338853e-08
1999,1.1745417083375287e-07,1.919484549084416e-08
2000,1.2635570190155931e-07,1.1486881446032271e-08
2001,1.1566399304996366e-07,1.1391150245287918e-08
2002,1.2223607992467578e-07,1.7086764003693133e-08
2003,1.2417430106381744e-07,1.6250999212985562e-08
2004,1.4271522985609408e-07,7.488145131739898e-09
2005,1.2565461560143376e-07,1.6213498987838193e-08
2006,1.1241839725784075e-07,9.882935525507008e-09
2007,1.2422830941716256e-07,1.8374606058912946e-08
2008,1.0771322678237993e-07,1.1495087548496485e-08
2009,1.2397300785949028e-07,8.582746957586096e-09
2010,1.1242627273588823e-07,5.668551850135373e-09
2011,1.3039744750642512e-07,6.5007523253335364e-09
2012,1.2289352468997095e-07,9.872332784599536e-09
2013,1.3889842520597995e-07,8.925199912468429e-09
2014,1.338245123605475e-07,1.342575983720451e-08
2015,1.3188623704252223e-07,1.68459729499304e-08
2016,1.4665087455512094e-07,2.3199008492014173e-08
2017,1.089259731301695e-07,9.55932333290832e-09
2018,1.1900561425193246e-07,8.002546736385341e-09
2019,1.0203950751019875e-07,7.908062094053037e-09
