year,on_PRON entrait_VERB,on_PRON rentrait_VERB
1800,2.4524483421828336e-07,2.829747991484055e-08
1801,1.0477203193914875e-07,7.143547975374531e-09
1802,1.8350289110458107e-07,2.2378401354217203e-08
1803,1.540767993191139e-07,3.900678446910888e-09
1804,3.2134061811461834e-07,9.887403562558461e-09
1805,2.1605870514918024e-07,5.685755422035754e-09
1806,2.507052130340526e-07,2.0171683878800195e-08
1807,1.736642651906095e-07,0.0
1808,1.540930347765368e-07,3.852325791697808e-08
1809,3.524087546225019e-07,4.743963977205112e-08
1810,9.594519667643908e-08,1.4040760110134443e-08
1811,1.5293168509344923e-07,1.0028307073639553e-08
1812,1.6003249214691095e-07,4.5342539944925875e-08
1813,2.473137783454149e-07,5.751483289628823e-09
1814,2.5173417128598885e-07,2.8320094713762956e-08
1815,1.8880564311984926e-07,4.045835311217161e-08
1816,1.5527945684823408e-07,4.1716871734820415e-08
1817,2.0550729118440358e-07,1.8682481339737933e-08
1818,1.8477824426099687e-07,3.2187177367859476e-08
1819,1.790731651851729e-07,2.3807414706311647e-08
1820,2.800489582455157e-07,1.0679833017945839e-08
1821,2.8795546214155365e-07,2.859831482737718e-08
1822,2.4161734302197146e-07,2.90742860897808e-08
1823,3.103163734863301e-07,7.214361308349737e-08
1824,2.6779137840549083e-07,3.2842341290972854e-08
1825,3.7863405566440633e-07,3.1699594282841304e-08
1826,3.8226652065986855e-07,2.9947145208097936e-08
1827,3.659257501453794e-07,2.4886637361998254e-08
1828,3.072721028729575e-07,4.1275355577852224e-08
1829,4.792405547959788e-07,5.915491385621863e-08
1830,4.54002353933447e-07,2.922314124020886e-08
1831,3.757480797617063e-07,4.5214498811674275e-08
1832,3.2471925948129865e-07,7.712082883415405e-08
1833,3.9731845191681714e-07,1.2741991017861665e-08
1834,3.668470824891301e-07,7.280934077869006e-08
1835,4.348775632934121e-07,4.235329242874286e-08
1836,4.1130990524607114e-07,3.629204881061554e-08
1837,4.4878395755176825e-07,6.331680602045253e-08
1838,4.910862116958015e-07,7.069621466015974e-08
1839,4.488527096668804e-07,8.809258744690851e-08
1840,4.981096495271231e-07,6.051204426427148e-08
1841,4.5906921997129757e-07,3.9165346965575054e-08
1842,4.4207466487478086e-07,4.8970336230524936e-08
1843,4.825946433584249e-07,5.198081609592009e-08
1844,5.658706641042954e-07,7.629100196027139e-08
1845,6.473064360079661e-07,4.185170876525035e-08
1846,5.649593930456831e-07,1.7387868922469352e-07
1847,6.018837694909962e-07,4.206714532273281e-08
1848,4.770816559585e-07,7.482056219032529e-08
1849,5.798555235969616e-07,8.21182677412935e-08
1850,4.779453135483891e-07,5.499086785931695e-08
1851,5.759348766787298e-07,9.222697450184114e-08
1852,4.394618287051344e-07,7.747549446435187e-08
1853,5.070170203680391e-07,5.733054564416307e-08
1854,4.920294287558136e-07,5.247621004400571e-08
1855,5.04159018532846e-07,5.041590256382733e-08
1856,4.7474824071969124e-07,7.144521418922523e-08
1857,5.193925574076275e-07,1.1617991813039907e-07
1858,5.226445978223637e-07,8.759680092396138e-08
1859,6.533258556373767e-07,6.925355577891423e-08
1860,6.678111219571292e-07,7.415037650559952e-08
