year,ancien_ADJ an_NOUN,ancien_ADJ rang_NOUN
1800,0.0,6.288328968651058e-09
1801,1.1905912922216544e-08,9.524730337773235e-09
1802,0.0,4.475680270843441e-09
1803,1.950339223455444e-09,5.851017448321727e-09
1804,2.4718509461507665e-09,1.9774807569206132e-08
1805,0.0,5.685755510853596e-08
1806,0.0,4.3225035994964855e-08
1807,5.693910232196231e-09,2.8469550272802735e-08
1808,0.0,4.5321478125970316e-08
1809,2.259030518203531e-09,3.162642769893864e-08
1810,0.0,6.31834211617388e-08
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,2.6672082320544632e-09,2.6672083208723052e-08
1813,2.8757416448144113e-09,2.8757416004054903e-08
1814,0.0,2.5173417128598885e-08
1815,5.394447111228828e-09,2.1577788444915313e-08
1816,2.3176038865813098e-09,5.7940098940889584e-08
1817,4.670620334934483e-09,1.0431051578052575e-07
1818,0.0,5.2453181353939726e-08
1819,1.035105001712111e-09,1.594061700416205e-07
1820,0.0,3.20394981656591e-08
1821,0.0,1.7750679148775816e-08
1822,0.0,3.8097340393505874e-08
1823,0.0,6.324919610278812e-08
1824,8.421112696055388e-10,1.0863235644364977e-07
1825,0.0,2.905796137042671e-08
1826,8.807984341885344e-10,4.668231667892542e-08
1827,0.0,3.3182182335167454e-08
1828,0.0,6.970948618345574e-08
1829,8.57317605795771e-10,6.42988169374803e-08
1830,3.1310507520032616e-09,3.652892388572582e-08
1831,0.0,6.860130952190957e-08
1832,0.0,4.7354891563600177e-08
1833,2.3167257001688313e-09,4.170106393530659e-08
1834,9.334530925997342e-10,3.9205030333278046e-08
1835,7.563087933704082e-10,3.6302822081779595e-08
1836,0.0,2.688300071440608e-08
1837,0.0,5.4967337348443834e-08
1838,6.312161904276081e-10,4.607878167917079e-08
1839,0.0,3.355908262392404e-08
1840,3.184844277193122e-09,7.325142092895476e-08
1841,6.420548537278137e-10,4.044945711711989e-08
1842,2.683306021822318e-09,7.043678351692506e-08
1843,1.1813822142769936e-09,4.961805188941071e-08
1844,2.195424508855126e-09,6.75093048130293e-08
1845,1.1160455892778032e-09,2.7901139176833567e-08
