year,en_ADP est_NOUN,en_ADP restes_NOUN
1800,7.671761068195337e-06,3.144164484325529e-09
1801,7.376903607081431e-06,4.7623651688866175e-09
1802,6.917163801745119e-06,1.3427040812530322e-08
1803,8.140715650029051e-06,1.3652374342143503e-08
1804,8.216432204832813e-06,9.887403784603066e-09
1805,7.650183903029628e-06,5.685755422035754e-09
1806,6.140837092161178e-06,8.645007376628655e-09
1807,9.070398920840717e-06,1.9928686256776018e-08
1808,7.006700907474794e-06,1.5862518409903714e-08
1809,7.99470866130747e-06,0.0
1810,8.880780999032112e-06,7.020380277111826e-09
1811,5.593288370686622e-06,1.504245972228091e-08
1812,8.90047399604299e-06,8.00162425207418e-09
1813,7.448170994184267e-06,5.751483289628823e-09
1814,6.3814613948665055e-06,6.293354282149721e-09
1815,7.3337510133608674e-06,0.0
1816,7.261053015739094e-06,0.0
1817,7.558620296110874e-06,9.341240669868967e-09
1818,6.324184543160527e-06,1.9073883805731384e-08
1819,6.584303017476145e-06,5.175524897538253e-09
1820,5.691164250087866e-06,3.5599443393152796e-09
1821,6.425745994853571e-06,1.4792232327920374e-08
1822,6.3612530709633575e-06,7.017931125119503e-09
1823,5.118243690205304e-06,9.882686891060644e-10
1824,6.258571062289775e-06,1.6000115010683658e-08
1825,6.044936586846461e-06,2.905796137042671e-08
1826,5.6776266390556884e-06,3.963592831723872e-08
1827,6.2308767585506075e-06,1.013900075008678e-08
1828,6.092242679223148e-06,7.337841001486822e-09
1829,6.360439297914411e-06,3.600733933240008e-08
1830,6.376906505067836e-06,6.262101237552997e-08
1831,5.584769975364168e-06,4.8332740476553226e-08
1832,6.410499479692078e-06,1.488296597074168e-08
1833,6.1983998165260346e-06,1.1583628278799551e-08
1834,6.069311909051578e-06,2.0535967593104942e-08
1835,5.575508595256906e-06,2.571449897459388e-08
1836,5.732127556612454e-06,1.2769425516978572e-08
1837,5.791052836379151e-06,1.948209416013924e-08
1838,5.3583940471391145e-06,1.9567702125300457e-08
1839,6.016164573630078e-06,1.7478688718597368e-08
1840,5.924447250116316e-06,1.8472096741106725e-08
1841,6.1033734368720616e-06,2.5040138851295524e-08
1842,5.7899037875230874e-06,4.092041550052272e-08
1843,5.697215518463139e-06,2.7762482091020502e-08
1844,5.5900995432622835e-06,8.232841963717874e-09
1845,5.5199613924195035e-06,8.928364714222425e-09
1846,6.106244716086451e-06,1.9905304071698993e-08
1847,5.266482881793877e-06,9.707802561820245e-09
1848,5.960704608121148e-06,1.448139919091318e-08
1849,5.6921367361795205e-06,8.379414495607307e-09
1850,5.484830118973605e-06,1.425689166723032e-08
1851,5.522009659308935e-06,1.0319102017319892e-08
1852,5.548286861944973e-06,1.3021090872200602e-08
1853,5.751567631051557e-06,2.149895550473957e-08
1854,5.859150829401472e-06,2.1302223984775992e-08
1855,5.671523567229997e-06,1.751289246954002e-08
1856,5.3594262636735834e-06,3.520488789376941e-08
1857,5.472171627829425e-06,1.2691923956253959e-08
