year,aucun_DET envoi_NOUN,aucun_DET renvoi_NOUN
1800,3.144164484325529e-09,3.772997558826319e-08
1801,9.524730337773235e-09,9.524730337773235e-09
1802,1.1189200677108602e-08,1.1189200677108602e-08
1803,0.0,2.9255089017965474e-08
1804,1.9774808235339947e-08,4.943701892301533e-09
1805,2.842877755426798e-08,0.0
1806,1.4408345627714425e-08,1.152667650217154e-08
1807,2.8469552049159574e-08,1.4234775136401367e-08
1808,4.5321479902327155e-09,3.172503681980743e-08
1809,2.4849335034105025e-08,5.873479480555943e-08
1810,7.020380277111826e-09,4.680253340438867e-08
1811,7.521229861140455e-09,2.757784400841956e-08
1812,1.0668832928217853e-08,1.9470620316042186e-07
1813,2.300593315851529e-08,7.764502640839055e-08
1814,2.2026739543434815e-08,3.1466772298927026e-08
1815,2.697223555614414e-09,5.1247248222807684e-08
1816,0.0,3.476405652236281e-08
1817,1.5568733857662664e-08,2.80237220096069e-08
1818,3.5763532135746345e-09,1.5497530370112145e-08
1819,1.449147024601416e-08,3.8298885840504227e-08
1820,2.0173017922786585e-08,2.3732962262101864e-08
1821,9.861488403650753e-09,2.465372084259343e-08
1822,4.010246357211145e-09,3.709477880420309e-08
1823,1.9765373782121287e-09,1.680056804787e-08
1824,1.431589158329416e-08,5.5579342017608724e-08
1825,5.283266046873791e-09,8.541280038798504e-08
1826,1.0569580766173203e-08,8.103345550125596e-08
1827,3.318218294579012e-08,1.0323346089080587e-07
1828,4.035812395386529e-08,1.1740545602378916e-07
1829,2.3147574523818548e-08,9.173298370912519e-08
1830,1.5655253093882493e-08,1.0854309095975623e-07
1831,4.677361831184612e-09,1.3096612860863388e-07
1832,2.570694190850986e-08,1.7047761957655894e-07
1833,1.7375443306377747e-08,9.03523016404506e-08
1834,2.0535967593104942e-08,6.440826183506942e-08
1835,2.7227116561334697e-08,5.899208588289184e-08
1836,4.032449929525228e-09,5.9142600150607905e-08
1837,3.270208637218275e-08,4.2443134229408486e-08
1838,2.0830134506155673e-08,5.870310459954453e-08
1839,1.8177835237054296e-08,1.0976616282576401e-07
1840,2.420481626241866e-08,6.114901296427888e-08
1841,2.5682194149112547e-08,8.282507613088796e-08
1842,2.750388583550034e-08,1.0330728228424846e-07
1843,1.4176586349279319e-08,3.2488010504039266e-08
1844,2.6345093662172303e-08,6.256959750317037e-08
1845,2.0646844067773173e-08,7.644912614068744e-08
1846,3.7468808944396415e-08,6.498496674112175e-08
1847,3.074137477909744e-08,1.634146826745564e-07
1848,2.413566502212916e-08,9.412909407480186e-08
1849,1.1731180693530519e-08,9.552532986845108e-08
1850,3.530277936647508e-08,5.159636984330973e-08
1851,1.2253933423522767e-08,1.1737978411474614e-07
1852,2.604218241053502e-08,5.859491070125955e-08
1853,2.5679307347203917e-08,4.240071760364117e-08
1854,2.597832282624779e-08,1.2573507879309886e-07
