year,un_DET épi_NOUN,un_DET epi_NOUN,un_DET répit_NOUN
1800,1.0061325959043188e-06,6.288328968651058e-09,1.477757365364596e-07
1801,5.95295626570902e-07,7.143547975374531e-09,7.381665767525192e-08
1802,1.286758134710908e-06,6.713520406265161e-09,4.699464284385613e-08
1803,1.8001631367781101e-06,3.900678446910888e-09,2.9255089017965474e-08
1804,1.2235661870363401e-06,2.7190359741524617e-08,6.92118238276862e-08
1805,2.4221319012696085e-06,1.1371510622026904e-08,5.970043215342002e-08
1806,1.0143475366319876e-06,2.0171682990621775e-08,3.7461699520235925e-08
1807,5.66544040569994e-07,8.540865792383556e-09,8.540865792383556e-09
1808,7.478044148356844e-07,4.5321479902327155e-09,1.2916622438297054e-07
1809,9.013531487855886e-07,4.518061036407062e-09,7.228897658251299e-08
1810,5.499298030287036e-07,3.042164831157379e-08,5.148278958699848e-08
1811,9.602103929751138e-07,5.0141535368197765e-09,4.7634459487966296e-08
1812,6.321283319010718e-07,3.200649967283198e-08,9.601949813031752e-08
1813,4.3423699946920635e-07,0.0,1.322841143291953e-07
1814,3.618678601213787e-07,3.1466771410748606e-09,6.293354459785405e-08
1815,1.6129396502861937e-06,2.697223555614414e-09,1.0519171667056071e-07
1816,1.2862702138960458e-06,0.0,5.3304887615013286e-08
1817,9.107709191269464e-07,4.047870949541732e-08,5.760431709411762e-08
1818,8.940883162722457e-07,1.1921177378582115e-09,1.0013788886986674e-07
1819,8.208382814567372e-07,3.1053151161586356e-09,7.038713845108902e-08
1820,7.535215456044853e-07,1.1866481131050932e-09,9.37451982707671e-08
1821,5.47312624443741e-07,9.86148829262845e-10,2.4653720620548825e-08
1822,6.075523089066337e-07,1.0025615893027862e-09,6.416394171537831e-08
1823,7.263774732813033e-07,1.9765373782121287e-09,3.656594316225892e-08
1824,5.372669802383712e-07,8.421112696055388e-10,2.2737004190531707e-07
1825,1.0425644743072837e-06,0.0,6.69213704451721e-08
1826,9.794478170732646e-07,1.7615968683770689e-09,7.92718591879904e-08
1827,9.56752921332793e-07,0.0,9.309446075134176e-08
1828,5.558414670758793e-07,1.8344602503717056e-09,8.6219628769868e-08
1829,4.7066737868250996e-07,0.0,8.05878515031111e-08
1830,3.350224391240886e-07,6.262101504006523e-09,6.783943296007067e-08
1831,5.238645375271744e-07,0.0,6.080570513766759e-08
1832,5.601407436772732e-07,1.3529969367098715e-09,1.1906373331704856e-07
1833,6.127739355932249e-07,1.1583628500844156e-09,1.2510318470049242e-07
1834,4.713937986622341e-07,1.8669061851994684e-09,1.2134890159387623e-07
1835,5.180715021424476e-07,9.832014313815307e-09,1.4672391301928656e-07
1836,4.684362657769725e-07,6.720750067579218e-10,1.2097350232664894e-07
1837,6.345596439416568e-07,2.087367279024477e-09,7.09704868206984e-08
1838,4.033471363573682e-07,2.5248647617104325e-09,1.0730675548131785e-07
1839,3.803362575993674e-07,0.0,8.18002616753688e-08
1840,4.22947324274503e-07,6.369688665408546e-10,1.859949021465468e-07
1841,5.849119695255922e-07,6.420548537278137e-10,7.76886350806194e-08
1842,4.132291366865104e-07,0.0,1.2343207700382663e-07
1843,3.544146687239902e-07,5.906911071384968e-10,1.2168236740439653e-07
1844,3.4907251089677516e-07,1.6465684371524958e-09,1.8386680178394954e-07
1845,4.408380132048251e-07,1.1160455892778032e-09,1.517822036944949e-07
1846,5.977445658444935e-07,0.0,1.3523898090284092e-07
1847,3.872334568555402e-07,5.393223645455691e-10,8.952750985002922e-08
