year,bon_ADJ apport_NOUN,bon_ADJ rapport_NOUN
1800,0.0,2.2952400513531757e-07
1801,0.0,1.9287578822968499e-07
1802,0.0,2.3497321421928064e-07
1803,0.0,7.021221222203167e-07
1804,0.0,3.781931923185766e-07
1805,0.0,2.3595885068061762e-07
1806,0.0,9.509508203109363e-08
1807,0.0,2.7046073114433966e-07
1808,0.0,1.1330369886763947e-07
1809,0.0,2.0783080856290326e-07
1810,0.0,2.1295153374012443e-07
1811,0.0,2.2312983105621242e-07
1812,0.0,1.2002436733382638e-07
1813,0.0,1.6391727797326894e-07
1814,0.0,2.800542517888971e-07
1815,0.0,2.400528842372296e-07
1816,0.0,2.1321955046005314e-07
1817,0.0,2.1484852652520203e-07
1818,0.0,1.5020683008515334e-07
1819,0.0,9.62647638269587e-08
1820,0.0,1.9461029321377055e-07
1821,0.0,9.368413600441272e-08
1822,0.0,1.31335568198665e-07
1823,0.0,8.597937295462543e-08
1824,0.0,1.1536924660049408e-07
1825,0.0,1.831532188134588e-07
1826,0.0,1.268349762995058e-07
1827,0.0,1.4655464042334643e-07
1828,0.0,1.2199160437376122e-07
1829,0.0,1.1402324417986165e-07
1830,4.174734336004349e-09,7.827626546941246e-08
1831,0.0,1.2472965238430334e-07
1832,0.0,1.569476495433264e-07
1833,0.0,1.2278646011054661e-07
1834,0.0,1.5495321292746667e-07
1835,0.0,2.0949752865817572e-07
1836,0.0,2.3858662351328164e-07
1837,0.0,1.4611570975375798e-07
1838,0.0,1.5464796376818413e-07
1839,0.0,1.4052865537905745e-07
1840,0.0,1.7771431259916426e-07
1841,6.420548537278137e-10,1.804174161179617e-07
1842,0.0,1.784398477866489e-07
1843,4.7255288571079745e-09,1.50035546653271e-07
1844,0.0,1.964904896567532e-07
1845,0.0,1.71871027465631e-07
1846,5.854501328173001e-10,2.025657406257153e-07
1847,0.0,1.6449331496914965e-07
1848,0.0,1.8584462169179972e-07
1849,0.0,2.413271558143748e-07
1850,0.0,2.1113777837200587e-07
1851,0.0,2.0960675328751677e-07
1852,0.0,1.803421112445136e-07
1853,1.1943863675867306e-09,2.0961481084214029e-07
1854,0.0,1.506742711154807e-07
1855,0.0,1.7406753727300384e-07
1856,0.0,1.589397129464487e-07
1857,0.0,2.5676737891444645e-07
1858,0.0,1.7715106537252723e-07
1859,5.092173349652285e-10,1.858643230434609e-07
1860,0.0,1.7942561311712346e-07
1861,0.0,1.4996764718944178e-07
1862,0.0,2.1234535552139278e-07
1863,0.0,1.608267939379182e-07
1864,0.0,1.5534918273996112e-07
1865,0.0,1.477949069794704e-07
1866,4.865612912574591e-10,1.6202490549233062e-07
1867,0.0,2.3730248699393997e-07
1868,0.0,2.1735446509296708e-07
1869,0.0,1.245297441831994e-07
1870,5.734048791339319e-10,1.3876398163858994e-07
1871,0.0,2.1560989882374315e-07
1872,1.2094678591978436e-09,1.8686278435708914e-07
1873,2.9930022349411445e-09,1.4725571195750575e-07
1874,0.0,1.4578046148017165e-07
1875,0.0,1.5333692715557845e-07
1876,0.0,1.6747461017985188e-07
1877,0.0,1.5029103517250064e-07
1878,0.0,2.0774465592232616e-07
1879,6.10932526790009e-10,1.8877815755047322e-07
1880,5.134277003548959e-09,1.5210295822853936e-07
1881,0.0,2.06386230772182e-07
1882,0.0,1.6571909089435621e-07
