year,on_PRON emporte_VERB,on_PRON remporte_VERB
1800,3.4585809061127293e-07,3.458580977167003e-08
1801,2.4526180908424067e-07,6.191074675143682e-08
1802,1.4993528907325526e-07,7.161088433349505e-08
1803,3.3155767553694204e-07,5.851017670366332e-09
1804,2.496569493359857e-07,2.4718509905596875e-08
1805,2.842877648845388e-07,1.9900143755080535e-08
1806,1.8154514691559598e-07,4.610670600868616e-08
1807,2.1067467415036845e-07,2.562259737715067e-08
1808,2.0621273932874828e-07,2.039466551195801e-08
1809,3.185233055091885e-07,9.713831516933169e-08
1810,2.5975407424994046e-07,5.148278692246322e-08
1811,1.8301660986708157e-07,6.016983888912364e-08
1812,2.453831520199401e-07,1.600324850414836e-08
1813,3.0482862101166575e-07,1.0065095534805835e-07
1814,4.877349653042984e-07,2.5173417128598885e-08
1815,2.9939182155658273e-07,1.6183340889597275e-08
1816,3.0592372013416025e-07,4.8669681618207505e-08
1817,1.9460917854985382e-07,2.8023721343473085e-08
1818,1.692807174435984e-07,6.079800130009971e-08
1819,1.2938812687934842e-07,2.3807415594490067e-08
1820,1.305312942179171e-07,5.102586975169743e-08
1821,2.682324833358507e-07,2.6626018723163725e-08
1822,2.4161734302197146e-07,5.3135764233047666e-08
1823,2.0951295809368276e-07,4.348382409702367e-08
1824,1.95369814548485e-07,3.03160057057994e-08
1825,1.32962187038288e-07,3.43412274173005e-08
1826,1.761596877258853e-07,5.196710795019044e-08
1827,2.0738864847658078e-07,2.3043182917348304e-08
1828,2.2472137573004147e-07,3.9440896104636636e-08
1829,1.0802202154991392e-07,6.429881826974793e-08
1830,1.80557265139214e-07,3.131050907434485e-08
1831,1.6682590597838498e-07,2.962329048727952e-08
1832,1.4882966326013047e-07,1.758896062131754e-08
1833,1.66804248635799e-07,3.0117434435261714e-08
1834,1.8202335994033092e-07,2.2402874888527435e-08
1835,1.6563163285354676e-07,2.4201881387853064e-08
1836,1.7742780045182371e-07,2.688300071440608e-08
1837,1.4054939967422797e-07,3.5485243188304594e-08
1838,1.4517972601879592e-07,2.7142296410431754e-08
1839,1.4192694486325763e-07,3.2859933440931854e-08
1840,1.6815978298723167e-07,5.28684167555582e-08
1841,1.303371313099433e-07,5.778493772368165e-08
