year,bien_ADV envoyer_VERB,bien_ADV renvoyer_VERB
1800,3.144164395507687e-08,0.0
1801,6.191074675143682e-08,3.809892135109294e-08
1802,7.161088433349505e-08,1.5664880947952042e-08
1803,2.145373123596528e-08,7.801356893821776e-09
1804,7.662737999680758e-08,7.4155526164076946e-09
1805,2.55858996212055e-08,1.421438877713399e-08
1806,7.492339904047185e-08,1.729001475325731e-08
1807,5.97860605466849e-08,2.8469551160981155e-09
1808,4.985362878073829e-08,0.0
1809,9.93973401364201e-08,2.4849335034105025e-08
1810,3.510190182964834e-08,4.680253518074551e-09
1811,7.771937760026049e-08,1.0028307073639553e-08
1812,8.00162425207418e-09,4.267533171287141e-08
1813,7.476928232108548e-08,5.751483289628823e-09
1814,5.349351184236184e-08,9.440030979135372e-09
1815,1.0788894222457657e-08,4.8550024445148665e-08
1816,2.7811246638975717e-08,1.622322720606917e-08
1817,7.940054302935096e-08,5.60474440192138e-08
1818,5.48374146092101e-08,3.5763532135746345e-09
1819,7.14222423425781e-08,2.070209959015301e-08
1820,1.0561168295453172e-07,4.50926265216367e-08
1821,1.9328517453232053e-07,1.3806083387635226e-08
1822,6.917674966189225e-08,8.02049271442229e-09
1823,1.324279992331867e-07,1.8777104315859106e-08
1824,5.9789897477458e-08,2.3579115548955087e-08
1825,1.1270967092968931e-07,1.7610886970942374e-08
1826,1.2507338453815464e-07,2.290075862276808e-08
1827,8.111200600069424e-08,3.96342727526644e-08
1828,1.164882235116238e-07,9.172301140836225e-09
1829,9.430493719264632e-08,5.143905745796928e-09
1830,9.601888706356476e-08,6.262101504006523e-09
1831,1.5435294642429653e-07,2.0268567268999504e-08
1832,1.9077256752098037e-07,1.2176972319366541e-08
1833,1.2973663388038403e-07,1.9692167896323554e-08
1834,5.787409307345115e-08,2.14694217959277e-08
1835,5.596685070941021e-08,2.3445572594482655e-08
1836,6.72075017860152e-08,1.0753200108126748e-08
1837,7.862416850912268e-08,1.87863058442872e-08
1838,1.1677499855977658e-07,1.5780404538645598e-08
1839,1.2584655451064464e-07,1.677954131196202e-08
1840,9.044958204640352e-08,1.592422194107712e-08
1841,3.980740004294603e-08,4.8796167106957e-08
1842,9.12324082946725e-08,3.890793820460203e-08
1843,5.9069112268161916e-08,2.2446261738195972e-08
1844,8.78169785778482e-08,3.732221642849254e-08
1845,8.872562773376558e-08,1.9530798311961917e-08
1846,9.601382089385879e-08,3.33706573485415e-08
1847,7.33478415781974e-08,4.638172157456211e-08
1848,7.803865287314693e-08,1.3998685233218566e-07
1849,7.625267528510449e-08,2.262441967104678e-07
1850,1.0862393651223101e-07,1.3034872381467721e-07
1851,7.481349229010448e-08,9.738652551050109e-08
1852,9.310080173463575e-08,6.054807499822346e-08
1853,9.973125969509056e-08,7.703791737867505e-08
1854,9.040456205866576e-08,4.416314780542052e-08
1855,4.988520885262915e-08,3.6087172361476405e-08
1856,7.610468344410037e-08,4.038207634948776e-08
1857,1.1227471219399376e-07,4.930324237761852e-08
1858,1.0032035646645454e-07,2.936205589776364e-08
1859,2.3118467140648136e-07,1.6804172275897145e-08
1860,1.263302777942954e-07,3.4328881071132855e-08
1861,8.394415118573306e-08,4.1500481273715195e-08
1862,1.2108203861771472e-07,5.0601446588416366e-08
1863,8.291070230370678e-08,5.4940830551686304e-08
1864,7.911300770047092e-08,5.4659899717535154e-08
1865,8.001635620757952e-08,2.58876440284439e-08
1866,8.028261078152354e-08,3.989802621617855e-08
1867,6.745408143160603e-08,4.513114504334226e-08
1868,9.830349512185421e-08,3.754304245262574e-08
1869,9.278686263769487e-08,2.0022428159904848e-08
1870,1.2500225921030506e-07,4.873941605865184e-08
1871,1.5613130699421163e-07,1.4338588982809597e-07
1872,1.451361413273844e-07,1.342509392543434e-07
1873,1.62819318916263e-07,1.1014248002538807e-07
1874,1.5175507428466517e-07,1.3622108951949485e-07
1875,1.109976253133027e-07,1.2072422350684064e-07
1876,1.0157305041502696e-07,6.831997012568536e-08
1877,1.0576035691656216e-07,7.483627229021295e-08
1878,8.937850992651875e-08,8.635896620035055e-08
1879,1.2157556739111897e-07,7.02572435784532e-08
1880,1.713564898864206e-07,5.198455355071019e-08
1881,1.5339516323820135e-07,1.513034106892519e-07
1882,1.2312462160934956e-07,8.319231170617059e-08
1883,1.3396999065662385e-07,1.371296605157113e-07
1884,1.1222884666040045e-07,8.714239640994492e-08
1885,1.1408775435484131e-07,7.928132106371777e-08
1886,1.2003442861896474e-07,1.2390650283577997e-07
1887,1.3319005631728942e-07,9.66280850889234e-08
1888,1.5534506303538365e-07,1.0969263541937835e-07
1889,1.2467621957057418e-07,8.269980611430583e-08
1890,1.173235162355013e-07,8.782878069268918e-08
1891,1.4405736692424398e-07,1.0198752420365054e-07
1892,1.253702492931552e-07,8.838602383320904e-08
1893,1.3918021579684137e-07,1.0038218789532038e-07
1894,1.3107201368711685e-07,7.120739553556632e-08
1895,1.1615925643582159e-07,9.088108043897591e-08
1896,1.7101383775752765e-07,9.671127543242619e-08
1897,1.4391982006145554e-07,1.299357137440893e-07
1898,1.3410300425675814e-07,1.0354789736766179e-07
1899,1.2050121256379498e-07,1.370839441960925e-07
1900,1.396393258801254e-07,1.5105965189832204e-07
1901,1.3189423953008372e-07,1.7828077147896693e-07
1902,1.5663805186250102e-07,1.3012251542932063e-07
1903,1.6308665351516538e-07,1.7982733879762236e-07
1904,1.2576623475979432e-07,1.3275324306505354e-07
1905,1.6617643439076346e-07,1.0889201718100594e-07
1906,1.126576378851496e-07,1.126576378851496e-07
1907,1.2651395309148938e-07,1.1879968297989763e-07
1908,1.5814673304248572e-07,1.3653661312673648e-07
1909,1.2157173046034586e-07,9.076622831116765e-08
1910,1.0153886620400954e-07,1.5711802348050696e-07
1911,1.67059752698151e-07,1.0800359717677566e-07
1912,1.4898944300512085e-07,1.0783502091271657e-07
1913,1.2992325082450407e-07,6.257528184505645e-08
1914,1.332652033170234e-07,5.2234600644851525e-08
1915,1.6846489359068073e-07,3.7698438148936475e-08
1916,1.4723198660249182e-07,7.471474106068854e-08
1917,1.1843738434436091e-07,4.276905585243185e-08
1918,1.435796974647019e-07,3.2161853624756986e-08
1919,7.366278964582307e-08,2.2098836538475553e-08
1920,1.1888403861348706e-07,3.8618381381638756e-08
1921,1.0601846156532702e-07,4.0892835784234194e-08
1922,8.92730227519678e-08,3.6151885041135756e-08
1923,1.0191310195750702e-07,2.9724654737606215e-08
1924,9.668718092825657e-08,3.9964035636330664e-08
1925,8.028669640225417e-08,5.609070896639423e-08
1926,8.916910587686289e-08,4.681378129589575e-08
1927,7.135503921062991e-08,4.1252132376712325e-08
1928,8.226749770301467e-08,5.141718517620575e-08
1929,1.1140406286358484e-07,1.4482528065684619e-08
1930,9.87338708569041e-08,1.995684684175103e-08
1931,1.300210641375088e-07,4.334035708097872e-08
1932,1.249387224788734e-07,3.507051715700982e-08
1933,1.192948815287309e-07,2.867665571670841e-08
1934,1.55760545794692e-07,2.036868629318178e-08
1935,1.2207650001982984e-07,2.0346082152400413e-08
1936,1.115473722279603e-07,3.516167268458048e-08
1937,9.317427185351335e-08,3.5255130370615007e-08
1938,1.1150084588962272e-07,3.8895642262559704e-09
1939,8.258787431714154e-08,7.647025235257843e-09
1940,9.63597486247636e-08,3.803674530900025e-08
1941,8.559357667081713e-08,0.0
1942,6.978687139280737e-08,2.730790527039062e-08
1943,8.129058670647282e-08,8.709705845433291e-09
1944,3.855823393905666e-08,2.2492303131116387e-08
1945,9.803267886354661e-08,1.089252066321933e-08
1946,5.707652661612883e-08,8.352662561605939e-09
1947,7.271731305991125e-08,1.4305045148432782e-08
1948,5.109787437618252e-08,2.2830963786191205e-08
1949,5.4975245689092844e-08,1.3743811422273211e-08
1950,1.201795782890258e-07,2.8715476219076663e-08
1951,9.382033283600322e-08,2.2388944032059044e-08
1952,7.803154744578933e-08,7.381362632230548e-09
1953,8.295847209183194e-08,2.8011951869189033e-08
1954,7.622578124255597e-08,2.443134050622575e-08
1955,4.5050917663047585e-08,1.1262729415761896e-08
1956,3.8373023869553435e-08,1.744228228517386e-08
1957,6.537928243233182e-08,2.9155623693100097e-08
1958,5.873292963087806e-08,2.1507833736222892e-08
1959,6.355612924835441e-08,1.4726420971555854e-08
1960,3.8756667208872386e-08,1.591791587429725e-08
1961,5.141637871020066e-08,1.320150300188061e-08
1962,4.693047728210331e-08,2.1562652108286784e-08
1963,5.1728427763464424e-08,5.1728425987107585e-09
1964,1.3871448345526005e-07,2.6161064425878067e-08
1965,6.402290608775729e-08,1.586892572902343e-08
1966,4.486650695412209e-08,1.1078149952936656e-08
