year,en_PRON ramène_VERB
1800,2.2009151834367913e-08
1801,5.000483582762172e-08
1802,2.4616241489638924e-08
1803,5.851017803593095e-08
1804,2.2246657849223084e-08
1805,2.2743021688143017e-08
1806,2.0171682990621775e-08
1807,2.8469551160981155e-09
1808,3.172503681980743e-08
1809,8.358412628695078e-08
1810,2.3401266702194334e-08
1811,5.0141535368197765e-09
1812,1.8670457180292033e-08
1813,2.8757416448144113e-09
1814,5.034683425719777e-08
1815,3.776112933451259e-08
1816,2.3176038865813098e-08
1817,2.1796227045456362e-08
1818,6.079800130009971e-08
1819,4.243930362690662e-08
1820,3.322614716694261e-08
1821,2.2681422962023134e-08
1822,2.4061478143266868e-08
1823,1.3835761869529506e-08
1824,2.6105450245950124e-08
1825,2.6416328680056722e-08
1826,4.492072136486058e-08
1827,4.424290978022327e-08
1828,6.237164740241496e-08
1829,6.601345603485242e-08
1830,1.0436835395921662e-08
1831,4.5214498811674275e-08
1832,5.411987658021644e-08
1833,3.938433579264711e-08
1834,3.827157613045529e-08
1835,4.9916380362446944e-08
1836,4.166864897570122e-08
1837,6.470838798122713e-08
1838,4.607878167917079e-08
1839,6.362242288560083e-08
1840,3.503328827036967e-08
1841,4.3017674755674307e-08
1842,1.8783142152756227e-08
1843,3.071593823733565e-08
1844,6.805815644383983e-08
1845,5.6918324276011845e-08
1846,4.4494210982293225e-08
1847,3.613459753637471e-08
1848,5.068489628001771e-08
1849,3.5193544078993e-08
1850,2.5119284430275002e-08
1851,3.611685883697646e-08
1852,3.059956199535918e-08
1853,4.299791100947914e-08
1854,1.7665259477439577e-08
1855,4.9354515141430966e-08
1856,3.831119954611495e-08
1857,3.856392183365642e-08
1858,4.5511185930990905e-08
1859,1.9859475841599306e-08
1860,4.851814949802247e-08
1861,2.87673795895671e-08
1862,2.4397126097142063e-08
1863,3.096664968893492e-08
1864,4.315254997777629e-08
1865,4.23615986733239e-08
1866,4.038458811805867e-08
1867,3.736664666575962e-08
1868,3.062721987134864e-08
1869,2.9301114423674335e-08
1870,6.192772872282148e-08
1871,5.2043770182308435e-08
1872,4.2936108002322726e-08
1873,4.0106229448610975e-08
1874,3.0470506118263074e-08
1875,3.4901315615343265e-08
1876,5.018192439365521e-08
1877,5.00970109840182e-08
1878,2.5968081018845623e-08
1879,3.848874996492668e-08
1880,2.9522093214495726e-08
1881,2.998178416646624e-08
1882,2.5290463057103807e-08
1883,4.9922778799782463e-08
1884,3.234831424947515e-08
1885,2.513797880965285e-08
1886,3.484870347847391e-08
1887,3.7867764035581786e-08
1888,3.61415040117663e-08
1889,3.884384724983647e-08
1890,3.998175657216052e-08
1891,3.059625441892422e-08
1892,4.5133290882404253e-08
1893,3.387129154930335e-08
1894,3.906954404442331e-08
1895,4.814891596538473e-08
1896,2.94851449922362e-08
1897,3.787363667129284e-08
1898,4.413516663248629e-08
1899,2.65323762960179e-08
1900,5.502516486899367e-08
1901,3.353243371861936e-08
1902,3.289890315727462e-08
1903,2.7001101798873606e-08
1904,4.407192477628996e-08
1905,1.4966200723165457e-08
1906,3.4980455865252225e-08
1907,3.3428481316377656e-08
1908,3.437972395659017e-08
1909,3.5206294768386215e-08
1910,2.8323999146095957e-08
1911,2.500575924102577e-08
1912,3.334029585744247e-08
1913,4.454511426388308e-08
1914,4.620753202289052e-08
1915,2.709575319670421e-08
1916,5.6036057571873243e-08
1917,5.592876561877347e-08
1918,3.331049214239101e-08
1919,1.8415697411455767e-08
1920,3.180337415642498e-08
1921,5.6038331308627676e-08
1922,5.1645550058765366e-08
1923,4.777176698667063e-08
1924,3.351822286390416e-08
1925,5.27912540349007e-08
1926,4.124071395494866e-08
1927,2.3413372574054847e-08
1928,3.884854038460617e-08
1929,2.8965056131369238e-08
1930,2.8359728787563654e-08
1931,2.5091784650044247e-08
1932,3.1782654730250215e-08
1933,2.6382522833046096e-08
1934,2.6359476379411717e-08
1935,4.787313656606784e-08
1936,2.5461901032031165e-08
1937,1.1332006444320086e-08
1938,2.2040865133021725e-08
1939,3.5176316970364496e-08
1940,4.564409294971483e-08
1941,5.312704587367989e-08
1942,4.247896612241675e-08
1943,4.3548528338988035e-08
1944,3.534504600111177e-08
1945,5.8819608739213436e-08
1946,4.5939643200654245e-08
1947,4.52993091926146e-08
1948,2.391815279167986e-08
1949,4.123143426681963e-08
1950,3.084254984742074e-08
1951,5.010858927789741e-08
1952,2.8470971358274255e-08
1953,3.232148060305917e-08
1954,3.9090146231046674e-08
1955,4.3173795205575516e-08
