year,rien_PRON enseigner_VERB,rien_PRON renseigner_VERB
1800,6.288328791015374e-08,0.0
1801,5.476719877606229e-08,0.0
1802,4.475680270843441e-09,0.0
1803,6.826187615160961e-08,0.0
1804,2.4718509905596875e-08,0.0
1805,5.1171799242411e-08,0.0
1806,1.181484350354367e-07,0.0
1807,1.4234775136401367e-08,0.0
1808,7.251436784372345e-08,0.0
1809,3.162642769893864e-08,0.0
1810,6.084329839950442e-08,0.0
1811,1.7549536934780008e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,4.888760685162197e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,6.74305908887618e-08,0.0
1816,8.806894413737609e-08,0.0
1817,1.0431051578052575e-07,0.0
1818,4.887682791832049e-08,0.0
1819,9.00541365922436e-08,0.0
1820,5.458581142647745e-08,0.0
1821,9.2697987952306e-08,0.0
1822,6.015369535816717e-08,0.0
1823,6.621399961659336e-08,0.0
1824,8.42111234078402e-08,0.0
1825,4.754939197937347e-08,0.0
1826,6.694067877788257e-08,0.0
1827,8.111200600069424e-08,0.0
1828,5.4116576109208836e-08,0.0
1829,5.658296231558779e-08,0.0
1830,4.800944353178238e-08,0.0
1831,8.419251429359065e-08,0.0
1832,3.3824925083081325e-08,0.0
1833,4.749287541017111e-08,0.0
1834,2.9870498963191494e-08,0.0
1835,9.075705520444899e-08,0.0
1836,6.25029770162655e-08,0.0
1837,8.001574514082677e-08,0.0
1838,7.006499913586595e-08,0.0
1839,4.824117993962318e-08,0.0
1840,6.369688776430849e-08,0.0
1841,9.309795245826535e-08,0.0
1842,7.848669980603518e-08,0.0
1843,1.1223131224369354e-07,0.0
1844,7.738871232731981e-08,0.0
1845,1.0323421406610578e-07,0.0
1846,7.435216531348487e-08,0.0
1847,9.060615724365562e-08,0.0
1848,7.401604307233356e-08,0.0
1849,9.21735647807509e-08,0.0
1850,8.689914920978481e-08,0.0
1851,5.93348374877678e-08,0.0
1852,1.1653876441641842e-07,0.0
1853,8.599582201895828e-08,0.0
1854,6.28675422831293e-08,0.0
1855,4.82931277190346e-08,0.0
1856,5.332504926514048e-08,0.0
1857,6.297146626366157e-08,0.0
1858,8.417122643322728e-08,0.0
1859,6.976277688863775e-08,0.0
1860,5.950339243554481e-08,0.0
1861,6.649509032286005e-08,0.0
1862,6.280001230152266e-08,0.0
1863,7.242200439350199e-08,0.0
1864,7.3359338159662e-08,0.0
1865,7.38974534897352e-08,0.0
