year,bien_ADV ouvrir_VERB,bien_ADV rouvrir_VERB
1800,7.545995117652637e-08,0.0
1801,5.000483582762172e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,3.90067853572873e-08,0.0
1804,5.438072037122765e-08,0.0
1805,2.2743021688143017e-08,2.842877711017877e-09
1806,4.3225035994964855e-08,0.0
1807,2.2775640928784924e-08,0.0
1808,1.8128591960930862e-08,0.0
1809,2.0331274441787173e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,1.0028307073639553e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,1.00650957790549e-07,0.0
1814,3.4613449884091096e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,6.025770460382773e-08,0.0
1817,3.42512151974006e-08,1.556873407970727e-09
1818,2.741870730460505e-08,1.1921177378582115e-09
1819,3.3123360054787554e-08,0.0
1820,4.034603762193001e-08,0.0
1821,7.001656854299654e-08,0.0
1822,8.120748873352568e-08,0.0
1823,6.621399961659336e-08,9.882686891060644e-10
1824,7.157945702829238e-08,8.421112696055388e-10
1825,3.434122675116669e-08,8.805443041381977e-10
1826,2.3781558056157337e-08,0.0
1827,4.2399456390285195e-08,1.8434546111834038e-09
1828,4.494427585655103e-08,0.0
1829,2.5719527840806222e-08,0.0
1830,4.4878394334091354e-08,0.0
1831,4.053713453799901e-08,0.0
1832,4.8707889277466165e-08,0.0
1833,4.9809603552830595e-08,0.0
1834,6.254136053485126e-08,0.0
1835,4.235329242874286e-08,7.563087933704082e-10
1836,6.04867480547e-08,0.0
1837,7.792837664055696e-08,0.0
1838,7.132742751991827e-08,0.0
1839,6.222413162504381e-08,0.0
1840,7.197748175258312e-08,0.0
1841,6.548959419205858e-08,0.0
1842,3.6224630406422875e-08,0.0
1843,5.2571508035725856e-08,5.906911071384968e-10
1844,5.1043620885593555e-08,0.0
1845,6.41726245476093e-08,0.0
1846,7.669396495657566e-08,0.0
1847,7.712309724183797e-08,0.0
1848,5.63165514222419e-08,1.6090443422100975e-09
1849,8.128032646936845e-08,4.1897072478036534e-09
1850,7.332116069846961e-08,2.7155984128057753e-09
1851,7.67483214758613e-08,0.0
1852,6.380334838240742e-08,6.510545436100301e-10
1853,7.524634071387482e-08,5.3747388761848924e-09
