year,son_DET établissement_NOUN,son_DET etablissement_NOUN,son_DET rétablissement_NOUN
1800,2.2292126899969844e-06,1.8864987794131594e-08,8.552127148675481e-07
1801,2.683592818186753e-06,2.6193008650921e-08,9.000870395681204e-07
1802,2.918143451324795e-06,2.2378401354217203e-09,1.096541609513224e-06
1803,2.160975796527964e-06,3.900678491319809e-08,6.494629580799938e-07
1804,2.3457865125919852e-06,1.7302956178966156e-08,7.168367588405999e-07
1805,2.9679643915869747e-06,1.7057265822018053e-08,1.0063786781699946e-06
1806,3.1150843540217465e-06,2.881669125542885e-08,9.221341370491132e-07
1807,3.234141104258015e-06,1.9928686700865228e-08,1.181486386059305e-06
1808,3.1407785314740977e-06,3.3991109482656157e-08,9.154938958033654e-07
1809,3.0248417886014067e-06,1.8072244145628247e-08,9.917144438986725e-07
1810,3.2106539151754987e-06,7.020380277111826e-09,1.001574212899925e-06
1811,2.780348239639352e-06,2.5070767684098882e-09,1.1432270454747595e-06
1812,2.4831709026784665e-06,1.0668832928217853e-08,1.0722176639887948e-06
1813,2.4213745604129144e-06,8.627224934443234e-09,9.173615893587339e-07
1814,2.51419506014372e-06,2.5173416240420465e-08,1.2209106792226976e-06
1815,3.2825211366827034e-06,1.3486117778072071e-08,1.453803541551224e-06
1816,2.5609523390812683e-06,1.3905623319487859e-08,1.4786312334535978e-06
1817,2.5377036081408733e-06,6.22749374290521e-09,1.3731623547119653e-06
1818,2.5737822966220847e-06,1.4305412632253933e-08,1.6689648880685581e-06
1819,2.2637746326381603e-06,1.9666995587641622e-08,1.5122884526874714e-06
1820,2.453988315664901e-06,1.0679833017945839e-08,1.020517402139376e-06
1821,2.3588680839736753e-06,1.0847637121891296e-08,9.023261782203917e-07
1822,2.564552502803963e-06,2.0051231786055723e-08,1.1188586910293452e-06
1823,2.468695157631373e-06,1.3835761536462599e-08,1.13749722885359e-06
1824,2.814335772427512e-06,9.263223965660927e-09,1.1536924233723767e-06
1825,2.6196192663974216e-06,1.937197424695114e-08,1.1667212049815134e-06
1826,2.6203752625519883e-06,1.6735170249582154e-08,1.3141512393843868e-06
1827,3.037091431679073e-06,2.2121454890111636e-08,1.4176165663570828e-06
1828,2.4425837636954384e-06,1.1923991571904935e-08,8.411000367303245e-07
1829,3.1617873474942826e-06,1.1145128930856174e-08,1.2079605120618453e-06
1830,2.4432631917647996e-06,8.349468672008697e-09,7.733695213119063e-07
1831,2.440023841643324e-06,1.2472964883158966e-08,7.967106174788796e-07
1832,2.478690369400738e-06,1.352996914505411e-08,8.943309701692215e-07
1833,2.331784408227122e-06,1.274199168399548e-08,7.344020538369023e-07
1834,2.777023006217405e-06,1.8669061407905474e-08,7.140916231662686e-07
1835,2.359683485053665e-06,8.31939672707449e-09,7.207622658711443e-07
1836,2.4322395120179863e-06,8.064900192117364e-09,6.714029563426038e-07
1837,2.4763132699945345e-06,9.741047635181133e-09,8.906100674721529e-07
1838,2.636590000548722e-06,1.1993108062213764e-08,9.30412676680703e-07
1839,2.681230725443129e-06,7.690622805256453e-09,9.955860207355727e-07
1840,2.532588183612461e-06,8.91756390952736e-09,8.739212677966179e-07
1841,2.554094187701139e-06,1.219904222082846e-08,7.646873108058116e-07
1842,2.8094214030716103e-06,8.049918065466954e-09,8.324956830563224e-07
1843,2.9776738230680166e-06,3.5441465873198297e-09,7.761681137807841e-07
