year,un_DET égal_ADJ,un_DET egal_ADJ,un_DET régal_NOUN
1800,3.17246190206788e-06,1.5720821977538435e-08,1.666407158928962e-07
1801,2.783602440104005e-06,2.6193008650921e-08,1.30965043254605e-07
1802,2.539948582125362e-06,2.4616241489638924e-08,1.8126505096915935e-07
1803,2.7012197278963868e-06,3.900678446910888e-09,1.5992781987606008e-07
1804,2.7585856514633633e-06,4.943701892301533e-09,1.7797326989921203e-07
1805,2.5898616513586603e-06,2.842877711017877e-09,9.665784084234019e-08
1806,3.215942797396565e-06,1.729001475325731e-08,9.509508203109363e-08
1807,3.470438286967692e-06,2.8469551160981155e-09,6.832692145408714e-08
1808,2.839390617737081e-06,2.2660739951163578e-09,1.4502873257882243e-07
1809,2.5233371161448304e-06,4.518061036407062e-09,1.1069249694628525e-07
1810,2.45011278821039e-06,7.020380277111826e-09,7.722418304823009e-08
1811,2.5923172870534472e-06,0.0,3.5851198276759533e-07
1812,2.8379095056152437e-06,5.3344164641089264e-09,9.068507722531649e-08
1813,3.2553396067669382e-06,0.0,1.6104152678053651e-07
1814,2.6054485715576448e-06,3.1466771410748606e-09,6.608021774212602e-08
1815,3.2285765882988926e-06,1.3486118000116676e-08,1.2676951022250194e-07
1816,2.6304803668608656e-06,1.8540831092650478e-08,1.5296185651436645e-07
1817,2.877102133425069e-06,1.556873407970727e-09,1.4011859983398267e-07
1818,3.074471578656812e-06,4.768470951432846e-09,7.629553433474712e-08
1819,3.265756276960019e-06,1.9666995143552413e-08,1.418093842353585e-07
1820,2.723357511058566e-06,1.3053129244156025e-08,7.713212379911738e-08
1821,2.824330294970423e-06,6.903041693817613e-09,9.2697987952306e-08
1822,2.7760929697251413e-06,6.015369535816717e-09,1.1729970594842598e-07
1823,2.5536862722219666e-06,4.941343334508019e-09,8.597937939391898e-08
1824,2.9195998649811372e-06,5.052667617633233e-09,8.252690264498597e-08
1825,2.8652912078541704e-06,2.641632912414593e-09,1.3208164073574835e-07
1826,2.653845740496763e-06,5.284790383086602e-09,1.4357014321841888e-07
1827,2.7919120384467533e-06,4.608636583469661e-09,6.359918347520477e-08
1828,2.7792073069576873e-06,9.172301140836225e-09,8.255071293206129e-08
1829,2.5359454411955085e-06,6.858540846366168e-09,1.6031839322749875e-07
1830,2.5591120902390685e-06,4.174734336004349e-09,1.3463518233614025e-07
1831,2.600613242975669e-06,1.091384405071949e-08,7.795603096383275e-08
1832,2.829116510838503e-06,8.117981842303834e-09,1.0688675899928057e-07
1833,2.7070939268014627e-06,5.791814139399776e-09,1.459537246617515e-07
1834,2.6566074211586965e-06,3.733812370398937e-09,1.0361329461083812e-07
1835,2.373297093072324e-06,9.075705520444899e-09,2.752964007868286e-07
1836,2.459122470099828e-06,2.016224964762614e-09,6.989580292326991e-08
1837,2.449177600283292e-06,6.262101948095733e-09,7.514522060159123e-08
1838,2.2294555037660757e-06,3.1560809521380406e-09,9.846972659488529e-08
1839,2.775615712380386e-06,4.894032734625853e-09,9.508406151326199e-08
1840,2.5204858502547722e-06,7.64362617644565e-09,1.1975014757581448e-07
1841,2.3871598386904225e-06,6.420548537278137e-09,1.3868384485249408e-07
1842,2.398204742348753e-06,4.695785538189057e-09,9.056157779241403e-08
1843,2.9008840556343785e-06,4.7255288571079745e-09,9.155712465958032e-08
1844,2.5840147372946376e-06,7.683985892015244e-09,8.287727837341663e-08
1845,2.3492759737564484e-06,2.2320911785556063e-09,8.928364536586741e-08
1846,2.383367473157705e-06,6.439951683034906e-09,1.0538102435120322e-07
1847,2.472793084962177e-06,4.314578916364553e-09,9.06061563554772e-08
1848,2.4208072773035383e-06,7.24069959545659e-09,7.964769821455775e-08
1849,2.5448282485740492e-06,8.379414495607307e-09,1.0390474614041523e-07
1850,2.4800201572361402e-06,2.7155984128057753e-09,1.2423862916222106e-07
1851,2.3030945612845244e-06,6.449438760824933e-09,8.513259075471069e-08
1852,2.3385878193948884e-06,4.557382027314816e-09,8.138182039374442e-08
1853,2.3929530925670406e-06,8.360704129017904e-09,1.2242460023514923e-07
1854,2.395720912318211e-06,6.754363734984281e-09,8.365019965594911e-08
1855,2.436414888506988e-06,3.714855978387277e-09,9.446348059327647e-08
