year,bien_ADV enseigné_VERB,bien_ADV renseigné_VERB
1800,9.432493897065797e-09,6.288328968651058e-09
1801,5.2386017301842e-08,4.7623651688866175e-09
1802,4.2518962573012686e-08,0.0
1803,3.1205427575287104e-08,3.900678446910888e-09
1804,0.0,2.4718509461507665e-09
1805,6.254330742194725e-08,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,5.693910232196231e-09
1808,4.078933102391602e-08,2.2660739951163578e-09
1809,9.036122072814123e-09,2.259030518203531e-09
1810,4.680253340438867e-08,2.3401267590372754e-09
1811,1.2535384286138651e-08,7.521230305229665e-09
1812,5.067695596494559e-08,0.0
1813,2.8757416004054903e-08,2.0130190847567064e-08
1814,0.0,0.0
1815,2.4275012222574333e-08,5.394447111228828e-09
1816,7.648093003354006e-08,0.0
1817,4.670620157298799e-08,0.0
1818,3.5763530803478716e-08,1.1921177378582115e-09
1819,2.6912729822470283e-08,1.035105001712111e-09
1820,6.526564533260171e-08,3.5599443393152796e-09
1821,6.7058117281249e-08,0.0
1822,5.514088741165324e-08,0.0
1823,3.5577674140085946e-08,9.882686891060644e-10
1824,4.5474010335055937e-08,8.421112696055388e-10
1825,3.610231757988913e-08,0.0
1826,6.077509340229881e-08,0.0
1827,2.8573547083965423e-08,0.0
1828,3.66892045633449e-08,0.0
1829,1.971830521085849e-08,0.0
1830,2.6092090266160994e-08,0.0
1831,2.3386808933878456e-08,3.1182412207897414e-09
1832,6.764985016616265e-08,6.76498479457166e-09
1833,9.614411311531512e-08,2.6642345218874652e-08
1834,2.7070139907436896e-08,1.3068342852307069e-08
1835,2.117664621437143e-08,6.050470346963266e-09
1836,6.51912728244497e-08,1.68018754465038e-08
1837,8.349469027280065e-08,1.948209416013924e-08
1838,3.7241754569095065e-08,1.9567702347345062e-08
1839,3.705481788074394e-08,1.3982950020086093e-08
1840,3.630722389402763e-08,4.713569551340058e-08
1841,4.173356416004026e-08,6.035315891494974e-08
1842,3.8237111255057243e-08,8.184083100104544e-08
1843,5.079943576902224e-08,9.391988697871057e-08
1844,2.7442807137845193e-08,8.726812694703767e-08
1845,5.8034370198356555e-08,1.3392547071333638e-07
1846,4.976326195560432e-08,1.4167893347405425e-07
1847,3.020205241455187e-08,1.0678582551548743e-07
1848,1.448139919091318e-08,1.2389641312893218e-07
1849,1.5920887719289567e-08,2.840621802224774e-07
1850,2.5798184921654865e-08,1.7311939792818976e-07
1851,2.1283147688677673e-08,1.8961349734780697e-07
1852,4.557381672043448e-08,1.3607039761609485e-07
1853,2.149895550473957e-08,1.6363092925075762e-07
1854,3.221311928314208e-08,1.7145692138287316e-07
1855,5.3600064831016425e-08,1.8892695763383927e-07
1856,3.9346637947801355e-08,2.1640651171050962e-07
1857,3.417056504417815e-08,1.8989070676989073e-07
1858,4.3553715300959084e-08,2.50066847229391e-07
1859,2.8516170758052795e-08,3.289543852869059e-07
1860,1.373155189554609e-08,2.892780157637276e-07
1861,2.6409397335669382e-08,2.7871344698837675e-07
1862,5.46676339752139e-08,3.411079704251918e-07
1863,3.146611149418277e-08,3.186567954505115e-07
1864,3.643993196078554e-08,3.63919858026307e-07
1865,4.330296832222302e-08,3.5630812589282357e-07
1866,3.843834051053818e-08,3.4740476095862505e-07
1867,3.008743121313273e-08,4.251062737381517e-07
1868,4.6928803953960596e-08,4.1149152174568826e-07
1869,2.3929244363785074e-08,3.7407756403595727e-07
1870,4.759260363584872e-08,4.438153764496633e-07
1871,2.8677177965619194e-08,5.8522687140794e-07
1872,4.475031190054324e-08,5.64216781628879e-07
1873,3.591602748542755e-08,4.1303431830286286e-07
1874,3.345781252050983e-08,4.89320486352085e-07
1875,1.8881038954532414e-08,3.638891239443609e-07
1876,2.9625471853478302e-08,4.715891477324874e-07
1877,2.783167118991514e-08,4.5211004362499807e-07
1878,2.5968081018845623e-08,4.4387300590642553e-07
1879,5.009646741882534e-08,4.3437302554849566e-07
1880,3.401458670282409e-08,3.9148863462123984e-07
1881,2.022027167924989e-08,4.866810252579512e-07
1882,2.1297232422057277e-08,4.845120586960405e-07
1883,8.21514056781325e-09,5.415673340891658e-07
1884,3.3668655419205606e-08,4.396730197697707e-07
1885,2.513797880965285e-08,4.389477794575214e-07
1886,2.0651084398082276e-08,5.227305632793389e-07
1887,2.285123557044244e-08,6.045783954577999e-07
1888,2.53624587998047e-08,5.478291260629931e-07
1889,2.8193115397812107e-08,5.312835735793442e-07
1890,9.176140736144589e-09,5.420477573458982e-07
1891,2.1672347472190268e-08,5.69855266974173e-07
1892,2.6327752422616868e-08,5.190328353776863e-07
1893,1.847524977449666e-08,6.029089832382262e-07
1894,1.7014155417882648e-08,5.179865265603212e-07
1895,2.467631965430428e-08,6.241303500686968e-07
1896,1.2973464080801023e-08,5.71422113182507e-07
1897,2.3889525024856084e-08,6.391904676661397e-07
1898,1.6975064909274806e-08,6.812659432142709e-07
1899,1.879376654301268e-08,6.240635759269253e-07
1900,1.972600216504361e-08,5.933373783406637e-07
1901,2.0678333711998675e-08,6.773551826100288e-07
1902,2.5042448115186744e-08,5.965994591683454e-07
1903,3.2401320737562855e-08,7.009486004960763e-07
1904,1.827372564378038e-08,6.331308259888146e-07
1905,1.857873321853276e-08,7.410850146882808e-07
1906,1.2346042410626978e-08,5.812928778325954e-07
1907,1.131425531042396e-08,6.639410807807167e-07
1908,1.4734167663732478e-08,5.854375801916945e-07
1909,1.265226234892225e-08,6.5351686018289e-07
1910,1.7635697346918278e-08,5.557916940013286e-07
1911,1.8621308939259507e-08,7.778387047796542e-07
1912,1.1981668990301841e-08,6.516985748827864e-07
1913,3.606033160963307e-08,5.446170172618281e-07
1914,2.343860217024485e-08,6.341816547461576e-07
1915,3.534228465440492e-09,7.033114846066724e-07
1916,6.592477230782379e-09,5.86730478424613e-07
1917,1.315970976634162e-08,7.193974440600215e-07
1918,1.2635013924011673e-08,6.59318007301124e-07
1919,7.366278698128781e-09,6.473117322158828e-07
1920,1.817335615328375e-08,6.746858653983168e-07
1921,1.6660044011018726e-08,5.308496149325492e-07
1922,2.5822775029382683e-08,5.799057261057783e-07
1923,2.0170300985000722e-08,5.55214114683622e-07
1924,2.4494086758863887e-08,5.62074841670146e-07
1925,3.739380360912037e-08,5.675059808751826e-07
1926,2.7865345586519652e-08,5.773699447431113e-07
1927,8.919379901328739e-09,5.909089138000923e-07
1928,2.170947865920425e-08,5.701594836260426e-07
1929,1.5596569369336066e-08,7.408370308326084e-07
1930,3.676261073337628e-08,6.869356683480987e-07
1931,2.737285598186645e-08,5.531597730978888e-07
1932,1.9727165678773417e-08,6.46612653643075e-07
1933,2.408838994938378e-08,5.65503672333989e-07
1934,1.4377896206951846e-08,6.649776782552408e-07
1935,2.393656828303392e-08,4.954869901041548e-07
1936,2.9099314957647948e-08,6.232103393344346e-07
1937,2.392312481447334e-08,6.131874470405307e-07
1938,1.9447821131279852e-08,4.524859859023067e-07
1939,1.6823456405745674e-08,4.3740983279860757e-07
1940,1.7750480196809804e-08,5.274428565016365e-07
