year,en_ADP envoi_NOUN,en_ADP renvoi_NOUN
1800,1.8864987794131594e-08,1.0375742931501009e-07
1801,2.3811825844433088e-09,3.5717739876872656e-08
1802,2.2378401354217203e-09,5.147032311469957e-08
1803,0.0,5.8510176925707924e-08
1804,7.4155526164076946e-09,6.426812149129546e-08
1805,8.528632911009026e-09,7.391481915419718e-08
1806,4.8988375134229045e-08,7.146539697799881e-07
1807,1.7081730252499483e-08,1.6939382732061858e-06
1808,2.039466551195801e-08,5.755828169640154e-07
1809,4.518061036407062e-09,1.1882500530191464e-06
1810,2.574139479349924e-08,8.611666544311447e-07
1811,2.5070767684098882e-09,1.2159322793081628e-06
1812,0.0,1.2802599940187065e-06
1813,6.039057609541487e-08,5.233849833530257e-07
1814,0.0,1.258670891957081e-07
1815,0.0,4.612252411106965e-07
1816,6.952811659743929e-09,6.095298203945276e-07
1817,1.556873407970727e-09,1.4167548556542897e-07
1818,1.3113295338484932e-08,2.551132070038875e-07
1819,8.280840013696888e-09,2.846538654788233e-07
1820,3.5599443393152796e-09,1.2222476186707354e-07
1821,9.86148829262845e-10,1.1833786084380904e-07
1822,1.2030739071633434e-08,2.325942887182464e-07
1823,7.906149512848515e-09,3.7158901666778377e-07
1824,1.0105335235266466e-08,3.208444070423866e-07
1825,1.5849796808353744e-08,3.997671114142065e-07
1826,1.145037931138404e-08,3.954785086079937e-07
1827,1.566936447261469e-08,5.382887469096431e-07
1828,2.8434133270138773e-08,7.70473306488384e-07
1829,6.858540846366168e-09,7.612980539306591e-07
1830,1.4611569953970616e-08,7.890247957220708e-07
1831,3.1182412207897414e-09,6.142935262687388e-07
1832,2.570694235259907e-08,1.599242409611179e-06
1833,1.1583628500844156e-09,8.734056109460653e-07
1834,1.4001796166951408e-08,4.321887843161676e-07
1835,1.5126175867408165e-08,3.0554875252164493e-07
1836,1.3441500135158435e-09,3.696412420595152e-07
1837,6.262101948095733e-09,2.790114280726286e-07
1838,2.5248647617104325e-09,3.175017297962768e-07
1839,1.11863602825224e-08,5.29953812611339e-07
1840,5.095750932326837e-09,4.503369850361594e-07
1841,2.632424944692957e-08,5.739970561080554e-07
1842,3.3541325272778977e-09,4.138999543101818e-07
1843,1.1813821976236483e-08,3.160197366014472e-07
1844,1.591682791124427e-08,3.858458512695506e-07
1845,1.674068350610014e-08,5.686252393388713e-07
1846,1.6392604607062822e-08,5.14025202846824e-07
1847,1.1865092020002521e-08,4.6759248562011635e-07
1848,1.126331028444838e-08,3.9260680750885513e-07
1849,4.189707469848258e-09,7.558232495430417e-07
1850,5.431196825611551e-09,4.304223359952175e-07
1851,6.449438760824933e-09,4.030899276585842e-07
1852,1.3021090872200602e-08,5.820427873004519e-07
1853,1.0152284346531815e-08,1.594505789626055e-07
1854,4.1565315633818045e-09,3.060246347996731e-07
1855,2.653468555990912e-09,1.745982345369157e-07
1856,1.2942972915652717e-08,1.4599673975324023e-07
1857,2.928905451504704e-09,3.324307560337303e-07
1858,5.8724113904951025e-09,9.283303370466456e-07
1859,1.5276520048956854e-09,1.5123754337764694e-07
1860,6.408057640072684e-09,1.7896789472615637e-07
1861,4.715963619617014e-09,1.1742749705945243e-07
1862,1.8071945051545413e-09,1.6942448155532475e-07
1863,3.496234635136375e-09,1.3235745655038045e-07
1864,2.397363974004918e-09,9.014088675485254e-08
1865,1.882737743486018e-09,8.519388217109736e-08
1866,0.0,1.868395387849553e-07
1867,3.88224918879132e-09,2.9408036539280147e-07
1868,1.975949626142892e-09,1.4177438278917265e-07
1869,1.4650557433881772e-09,1.7385328621166707e-07
1870,1.7202146374017957e-09,1.1697459711967895e-07
1871,8.496941816815706e-09,1.2320565190293564e-07
1872,4.23313739617015e-09,1.7597757562271e-07
1873,3.5916026819293734e-09,1.1672708666310427e-07
1874,1.5533982988813477e-08,8.185214284139875e-08
1875,4.005069165202713e-09,1.4132172054814873e-07
1876,1.209202959984168e-09,1.0701445840588519e-07
1877,3.0924081073635534e-09,1.614236928570989e-07
1878,1.0266450800600069e-08,9.17941464506633e-08
1879,3.0546627449723474e-09,8.980708243733204e-08
1880,3.2089231272180996e-09,1.4440154405548355e-07
1881,1.3945015142624584e-09,1.422391542882373e-07
1882,2.6621540527571597e-09,2.10310169945771e-07
1883,2.5277356319186595e-09,2.4392647857141014e-07
1884,3.300848483434038e-09,9.968562153517269e-08
1885,1.2891271383708158e-09,3.2163720953271024e-07
1886,1.9360391623202133e-09,1.2197046167505832e-07
1887,1.9586774424595887e-09,2.898842584309058e-07
1888,4.4384300679212174e-09,1.4773631562547962e-07
1889,1.2530273485467092e-09,1.240497053411893e-07
1890,5.898947996740844e-09,1.1535720140232186e-07
1891,3.1871101313640793e-09,1.3194635906099705e-07
1892,6.268512375839919e-09,1.4417578220182747e-07
1893,3.6950498771837204e-09,1.4225942379653134e-07
1894,5.671385361338821e-09,1.802240245929454e-07
1895,7.222337172763105e-09,2.527818026010209e-07
1896,9.435246361988447e-09,1.2914493652260717e-07
1897,5.826713556089658e-09,1.1012488276840315e-07
1898,1.6975064687230201e-09,1.1146958822649822e-07
1899,7.185851913504848e-09,1.774352664796197e-07
1900,3.633737311048435e-09,1.3860112346719689e-07
1901,1.1177477832191585e-09,1.3021761113840569e-07
1902,7.856453987376e-09,1.2668532251014497e-07
1903,1.0800440541913758e-09,2.1276867334663052e-07
