year,on_PRON affole_VERB,on_PRON raffole_VERB
1800,0.0,9.432493897065797e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,4.475680270843441e-09
1803,0.0,5.851017448321727e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,1.1387820464392462e-08
1808,0.0,1.5862518409903714e-08
1809,0.0,4.518061036407062e-09
1810,0.0,7.020380277111826e-09
1811,0.0,3.760615285841595e-08
1812,0.0,1.0668832928217853e-08
1813,0.0,2.8757417114277928e-08
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,1.035105001712111e-09
1820,0.0,3.5599443393152796e-09
1821,0.0,2.9584463767662328e-09
1822,0.0,4.010246357211145e-09
1823,0.0,3.063632902922109e-08
1824,0.0,4.210556348027694e-09
1825,0.0,7.92489873724378e-09
1826,0.0,1.7615968683770689e-09
1827,0.0,6.452091083630762e-09
1828,0.0,0.0
1829,0.0,3.429270423183084e-09
1830,0.0,7.305785310052215e-09
1831,0.0,4.677361609140007e-09
1832,0.0,2.705993873419743e-09
1833,0.0,0.0
1834,0.0,2.8003592777992026e-09
1835,0.0,0.0
1836,0.0,5.376600054063374e-09
1837,0.0,1.3915781860163179e-09
1838,0.0,1.0730675015224733e-08
1839,6.9914751765765e-10,3.4957374772659477e-09
1840,0.0,1.1465439264668476e-08
1841,0.0,1.0272877659645019e-08
1842,0.0,4.024959032733477e-09
1843,0.0,1.1813822364814541e-08
1844,0.0,1.6465684371524958e-09
1845,0.0,1.1718478631905782e-08
1846,0.0,7.610851726624901e-09
1847,0.0,4.314578916364553e-09
1848,0.0,8.045221711050488e-10
1849,0.0,3.3517659758786067e-09
1850,0.0,3.394498016007219e-09
1851,0.0,1.2898877521649865e-09
1852,0.0,3.2552727180501506e-09
1853,0.0,2.388772735173461e-09
1854,0.0,7.2739301248958554e-09
1855,0.0,1.2205955357558196e-08
1856,0.0,1.1907535180100126e-08
1857,0.0,1.0739319711294826e-08
1858,4.893676019968041e-10,4.404308251437783e-09
1859,5.092173349652285e-10,1.018434669930457e-09
1860,0.0,6.408057640072684e-09
1861,9.431927461278633e-10,2.357981809808507e-09
1862,3.162590411776023e-09,7.68057684119583e-09
1863,0.0,6.493007298491449e-09
1864,9.589455896019672e-10,6.233146443435089e-09
1865,1.882737743486018e-09,5.6482132304580546e-09
1866,3.4059290943133647e-09,2.4328064562872953e-09
1867,0.0,7.76449837758264e-09
1868,9.87974813071446e-10,1.1361710239299327e-08
