year,ancien_ADJ enseignement_NOUN,ancien_ADJ renseignement_NOUN
1800,1.2576657937302116e-08,0.0
1801,7.143547975374531e-09,0.0
1802,6.713520406265161e-09,0.0
1803,1.755305234496518e-08,0.0
1804,6.179627121127851e-08,0.0
1805,2.842877755426798e-08,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,1.8880061958270744e-08,0.0
1815,2.6972235112054932e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,1.556873407970727e-09,0.0
1818,1.1921176934492905e-08,3.5763532135746345e-09
1819,1.1386155129855524e-08,0.0
1820,5.814575843032799e-08,0.0
1821,2.6626018723163725e-08,0.0
1822,1.0025615893027862e-09,0.0
1823,6.917880934764753e-09,0.0
1824,5.894778887238772e-09,0.0
1825,3.522177216552791e-09,0.0
1826,5.108631029315802e-08,0.0
1827,7.373818444733615e-09,0.0
1828,8.255071293206129e-09,0.0
1829,1.3717081692732336e-08,5.143905745796928e-09
1830,1.2524203008013046e-08,0.0
1831,0.0,0.0
1832,5.411987746839486e-09,0.0
1833,9.266902800675325e-09,0.0
1834,1.8669061851994684e-09,0.0
1835,3.6302822081779595e-08,1.5126175867408165e-09
1836,1.747394939854985e-08,3.36037508930076e-09
1837,1.7394727436226276e-08,9.045257876039159e-09
1838,3.787297142565649e-09,0.0
1839,1.11863602825224e-08,0.0
1840,7.0066574764382494e-09,6.369688665408546e-10
1841,1.2841097074556274e-08,0.0
1842,1.7441490030023488e-08,0.0
1843,1.1223130869097986e-08,1.1813822142769936e-09
1844,1.4270259640625227e-08,4.390849017710252e-09
1845,1.674068350610014e-08,0.0
1846,3.5127007969038004e-09,2.9272506640865004e-09
1847,3.020205241455187e-08,3.235934187273415e-09
1848,2.494018769283457e-08,4.02261068899179e-09
1849,1.6758829879393033e-09,0.0
1850,7.467895635215882e-09,0.0
1851,2.0638204034639784e-08,3.8696632564949596e-09
1852,2.0833745395520964e-08,4.557382027314816e-09
1853,1.7318601663873778e-08,1.7915795513800958e-09
1854,2.3900057044556888e-08,1.0391328908454511e-09
1855,5.306937111981824e-09,0.0
1856,9.836659486950339e-09,0.0
1857,4.881508974818871e-09,1.4644527812635033e-09
1858,8.808616946964776e-09,9.787352039936081e-10
1859,9.165912473463322e-09,1.5276520048956854e-09
1860,1.2816115280145368e-08,1.4189270203246451e-08
1861,1.131831339762357e-08,0.0
1862,1.2198563048571032e-08,4.9697850279528666e-09
1863,9.489779628779615e-09,4.994620717013731e-09
1864,1.582260189536555e-08,4.315255264231155e-09
1865,1.3179164426446732e-08,0.0
1866,1.1190909532388105e-08,2.432806400776144e-09
1867,2.135237053835226e-08,3.396968040192405e-09
1868,1.2349684830326169e-08,5.9278488784286765e-09
1869,3.4184632902167778e-09,2.9301114867763545e-09
1870,1.834895613228582e-08,1.7202146374017957e-09
1871,8.496942038860311e-09,1.0621177271019633e-09
1872,2.0560953828407946e-08,6.047339295989218e-10
1873,2.3944018323618366e-08,0.0
1874,7.169530746864439e-09,5.974609251779839e-09
1875,1.5448122780981066e-08,1.716458086775674e-09
1876,1.269663130187837e-08,6.04601479992084e-09
1877,1.1132669008873108e-08,5.566334504436554e-09
1878,1.2078177569208037e-08,6.039088784604019e-09
1879,1.0385853066452455e-08,3.0546627449723474e-09
1880,3.401458670282409e-08,7.701415505323439e-09
1881,4.9504802035471585e-08,4.8807553554297556e-09
1882,3.527354053289855e-08,0.0
1883,3.349249616535488e-08,5.687405213450347e-09
1884,2.3766109080725073e-08,5.941527270181268e-09
1885,2.8360796378024133e-08,3.86738152613475e-09
1886,1.0454611754084908e-07,9.680196200179125e-09
1887,4.439668899181015e-08,1.9586774424595887e-09
1888,4.375024076352929e-08,3.1703073499755874e-09
1889,3.195219733242993e-08,3.132568426877924e-09
1890,2.4906668727453507e-08,3.2771931834929546e-09
1891,3.952016314201501e-08,6.374220040683554e-10
1892,5.0774950466347946e-08,4.387958441043338e-09
1893,3.818218274886931e-08,2.463366621796581e-09
1894,7.750893482594279e-08,6.301539290376468e-10
1895,2.6481904447095417e-08,6.018614495673091e-10
1896,4.8945342001616154e-08,5.89702897624278e-10
1897,3.1464253424928756e-08,3.4960281336537946e-09
1898,5.092519472782442e-08,0.0
1899,3.056750834673494e-07,4.9748205555033564e-09
1900,7.786579470092647e-08,1.5573159428683425e-09
1901,9.612630735844618e-08,5.58873880507349e-09
1902,7.905556742571207e-08,0.0
1903,3.6181474705188066e-08,1.6200660812870638e-09
1904,2.9022976022474722e-08,5.912087708281888e-09
1905,3.302885787093146e-08,1.0321518084666081e-09
1906,5.2470681466409985e-08,3.600929110447737e-09
1907,1.8514236699296305e-08,2.5714217422034835e-09
