year,ton_DET adieu_NOUN,ton_DET radieux_ADJ
1800,2.829747991484055e-08,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,4.475680270843441e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,7.020380277111826e-09,0.0
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,1.0788894222457657e-08
1816,0.0,2.3176038865813098e-09
1817,1.0898113522728181e-08,3.113746815941454e-09
1818,0.0,2.384235475716423e-09
1819,1.035105001712111e-09,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,3.0076847679083585e-09,0.0
1823,1.9765373782121287e-09,2.9648061783404955e-09
1824,8.421112696055388e-10,0.0
1825,6.163809906922779e-09,0.0
1826,1.6735169694470642e-08,8.80798456392995e-09
1827,0.0,9.217273055917019e-10
1828,9.172301251858528e-10,0.0
1829,1.714635211591542e-09,8.57317605795771e-10
1830,0.0,2.0873671680021744e-09
1831,0.0,4.677361609140007e-09
1832,0.0,2.705993873419743e-09
1833,0.0,1.1583628500844156e-09
1834,1.8669061851994684e-09,2.8003592777992026e-09
1835,0.0,7.563087933704082e-10
1836,3.3603750337896088e-09,6.72075017860152e-09
1837,4.174734336004349e-09,0.0
1838,2.5248647617104325e-09,0.0
1839,0.0,1.3982950353153e-09
1840,6.369688665408546e-10,0.0
1841,1.926164561183441e-09,3.852329122366882e-09
1842,6.708265054555795e-10,0.0
1843,1.7720733769266417e-09,1.1813822142769936e-09
1844,2.7442806360689076e-09,5.488561272137815e-10
1845,5.580227946389016e-10,1.1160455892778032e-09
1846,5.854501328173001e-10,5.854501328173001e-10
1847,1.0786447290911383e-09,5.393223645455691e-10
1848,8.045221711050488e-10,3.218088684420195e-09
1849,0.0,1.6758829879393033e-09
1850,4.752297222410107e-09,2.0366988096043315e-09
1851,6.449438760824933e-10,1.2898877521649865e-09
1852,0.0,1.3021090872200602e-09
1853,5.971931837933653e-10,1.7915795513800958e-09
1854,1.558699391779328e-09,5.195664454227256e-10
1855,1.5920811335945473e-09,1.0613874223963649e-09
1856,0.0,0.0
1857,9.763018171682347e-10,2.4407544874094356e-09
1858,4.893676019968041e-10,2.936205500958522e-09
1859,1.018434669930457e-09,1.018434669930457e-09
1860,6.408057640072684e-09,4.57718396518203e-09
