year,ancien_ADJ habit_NOUN
1800,8.489244152087849e-08
1801,2.8574191901498125e-08
1802,3.1329761895904085e-08
1803,7.80135707145746e-08
1804,2.2246657849223084e-08
1805,2.55858996212055e-08
1806,1.4408345627714425e-08
1807,0.0
1808,6.798222074166915e-08
1809,9.262025457701384e-08
1810,5.8503168531842675e-08
1811,5.0141535368197765e-09
1812,1.5469807124190993e-07
1813,2.300593315851529e-08
1814,6.608021863030444e-08
1815,4.8550024445148665e-08
1816,3.7081662185300956e-08
1817,2.3353100786493997e-08
1818,2.2650237241350624e-08
1819,2.3807414706311647e-08
1820,2.1359666035891678e-08
1821,2.7612166775270452e-08
1822,1.0025615893027862e-08
1823,1.9765373338032077e-08
1824,9.263223965660927e-09
1825,3.258013947515792e-08
1826,4.492072136486058e-08
1827,1.7512819638909605e-08
1828,3.393751413227619e-08
1829,4.543783305166471e-08
1830,3.235419043789989e-08
1831,4.5214498811674275e-08
1832,4.6001897402447867e-08
1833,3.243415847009601e-08
1834,4.667265329771908e-08
1835,3.327758690829796e-08
1836,3.293167694096155e-08
1837,2.365682938432201e-08
1838,2.209256599883247e-08
1839,3.985140750728533e-08
1840,2.93005673057678e-08
1841,2.760835826620678e-08
1842,3.4882980060046975e-08
1843,4.371114314949409e-08
1844,1.866110821424627e-08
1845,2.1204865419122143e-08
1846,2.2247105491146613e-08
1847,3.074137566727586e-08
1848,5.390298696283935e-08
1849,3.5193544078993e-08
1850,1.968808760466345e-08
1851,1.870337307252612e-08
1852,2.9948509450150596e-08
1853,4.18035241978032e-08
1854,2.909572138776184e-08
1855,2.175844215912548e-08
1856,2.7956822634678247e-08
1857,3.612316845647001e-08
1858,1.565976326389773e-08
1859,3.7172863898149444e-08
1860,2.0597328287408345e-08
1861,2.169343282787395e-08
1862,2.0782737308877586e-08
1863,2.3474717281146695e-08
1864,2.6371003158942585e-08
1865,1.553258677233771e-08
1866,1.5083399418358567e-08
1867,3.154327288257264e-08
1868,4.939874287401835e-09
1869,1.4162205630441349e-08
1870,7.454262984651905e-09
1871,5.3105884134652115e-09
1872,1.1489944995446422e-08
1873,1.855661402316855e-08
1874,9.559374625212058e-09
1875,1.602027666081085e-08
1876,1.753344314181504e-08
1877,3.463496867084359e-08
1878,2.8987624745013818e-08
1879,4.887460214320072e-09
