year,rien_PRON envoyer_VERB,rien_PRON renvoyer_VERB
1800,6.288328791015374e-08,0.0
1801,1.2382149350287364e-07,0.0
1802,1.7231369042747247e-07,0.0
1803,2.145373123596528e-08,0.0
1804,1.730295728918918e-08,0.0
1805,5.1171799242411e-08,0.0
1806,4.610670600868616e-08,2.881669125542885e-09
1807,6.547996633798903e-08,0.0
1808,1.3596443970698147e-08,4.5321479902327155e-09
1809,2.0331274441787173e-08,0.0
1810,2.8081521108447305e-08,4.680253518074551e-09
1811,1.0028307073639553e-08,0.0
1812,2.400487453257938e-08,0.0
1813,3.4508900625951355e-08,8.627225156487839e-09
1814,1.8880061958270744e-08,6.293354282149721e-09
1815,2.966945977789237e-08,1.3486118000116676e-08
1816,1.8540831092650478e-08,0.0
1817,7.161617787687646e-08,1.556873407970727e-09
1818,2.026600220972341e-08,0.0
1819,3.001804671498576e-08,0.0
1820,6.882559233645225e-08,0.0
1821,8.185035227370463e-08,3.94459531705138e-09
1822,2.7069162911175226e-08,0.0
1823,3.261286707356703e-08,0.0
1824,9.431646219582035e-08,1.6842225392110777e-09
1825,1.937197424695114e-08,0.0
1826,3.3470339388941284e-08,0.0
1827,2.8573547083965423e-08,9.217273055917019e-10
1828,1.6510142586412258e-08,4.586150570418113e-09
1829,1.800366966620004e-08,4.286587973467704e-09
1830,3.652892388572582e-08,6.262101504006523e-09
1831,1.5591206548037917e-08,0.0
1832,3.5177919244233635e-08,0.0
1833,2.20088942626262e-08,0.0
1834,3.360431222176885e-08,0.0
1835,3.479020449503878e-08,5.294161553592858e-09
1836,3.5619976301859424e-08,3.36037508930076e-09
1837,2.7831564608504777e-08,1.3915781860163179e-09
1838,3.7241754569095065e-08,1.2624323808552163e-09
1839,2.866504900111977e-08,0.0
1840,2.0383003729307347e-08,1.2739377330817092e-09
1841,3.0818632978935057e-08,8.988767952189392e-09
1842,3.4882980060046975e-08,2.683306021822318e-09
1843,3.0125246297529884e-08,3.5441467538532834e-09
1844,1.866110821424627e-08,2.195424508855126e-09
1845,1.562463758375543e-08,0.0
1846,2.1661655580373917e-08,5.854501328173001e-09
1847,3.829188699455699e-08,0.0
1848,2.172209789819135e-08,2.413566457803995e-09
1849,8.379414495607307e-09,3.3517659758786067e-09
1850,1.6293590476834652e-08,6.788996032014438e-10
1851,1.7413483988093503e-08,0.0
1852,1.9531636752390114e-08,4.557382027314816e-09
1853,3.0456853039595444e-08,1.3735443005202796e-08
1854,4.572184764128906e-08,0.0
1855,3.8209947206269135e-08,5.306937111981824e-10
1856,2.692138423299184e-08,5.177189232874468e-10
1857,5.662550606189143e-08,0.0
1858,3.52344677878591e-08,9.787352039936081e-10
1859,2.953460587207246e-08,0.0
1860,2.746310379109218e-08,4.577183909670879e-10
1861,2.7352589526685733e-08,9.431927461278633e-10
1862,2.5752521892741242e-08,0.0
1863,5.1444594362237694e-08,4.994620828036034e-10
1864,6.520829742839851e-08,1.4384183844029508e-09
1865,4.142022902442477e-08,0.0
1866,3.2113046444237625e-08,0.0
1867,3.785192959071537e-08,0.0
1868,4.347089088696521e-08,0.0
1869,1.8069020057964735e-08,9.767038289254515e-10
1870,1.490852596930381e-08,5.734048791339319e-10
1871,3.504988654867702e-08,1.0621177271019633e-09
1872,2.4189358072135292e-08,6.047339295989218e-10
1873,2.3944018323618366e-08,5.986004469882289e-10
1874,2.9873046258899194e-08,0.0
1875,3.3757011408397375e-08,2.2886108563824337e-09
1876,3.023007266733657e-08,0.0
1877,5.999271479595336e-08,1.8554447978047506e-09
1878,4.891661831152305e-08,6.039088673581716e-10
1879,2.5659165459046562e-08,4.27652757650776e-09
1880,3.7223507831640745e-08,1.2835692508872398e-09
1881,2.9284532132578533e-08,2.091752326904839e-09
1882,4.6587697255517924e-08,0.0
1883,1.4534479397809719e-08,1.8958017378167824e-09
1884,1.8484751507230612e-08,6.601696966868076e-10
1885,1.5469526104539e-08,2.5782542767416317e-09
1886,9.680196200179125e-09,0.0
1887,1.6322312390570914e-08,0.0
1888,2.2192152115962926e-08,6.340614699951175e-10
1889,1.566284169030041e-08,1.2530273485467092e-09
1890,1.7696843102044113e-08,0.0
1891,2.358461337337303e-08,0.0
1892,2.0686091062316336e-08,1.2537024751679837e-09
1893,2.894455697344256e-08,2.463366621796581e-09
1894,4.978215883966186e-08,6.301539290376468e-10
1895,1.5046536461227333e-08,3.611168697403855e-09
1896,1.9460195233023114e-08,5.89702897624278e-10
1897,2.7968225069230357e-08,1.1653427112179315e-09
1898,2.4896761985360172e-08,3.3950129374460403e-09
1899,3.0954439012020885e-08,0.0
1900,1.2977633190303095e-08,5.710158568206225e-09
1901,2.794369535763508e-08,0.0
1902,1.718599307309887e-08,0.0
1903,2.808114629715419e-08,5.400220270956879e-10
1904,3.439760121182189e-08,0.0
1905,2.7352022868853965e-08,1.0321518084666081e-09
1906,2.5206503551089554e-08,1.0288369045596824e-09
1907,1.542852956504248e-08,5.142843373384665e-10
1908,2.2592390180875555e-08,4.4202499438483756e-09
1909,2.0903737407707013e-08,0.0
1910,2.3514262537105424e-08,1.068830135508847e-09
1911,2.979409430281521e-08,1.0640748282497725e-09
1912,3.229841283314272e-08,3.646594803896619e-09
1913,2.3863453435524207e-08,2.6514948014977335e-09
1914,3.147469485043075e-08,6.696743715117748e-10
1915,2.8273827723523937e-08,0.0
1916,3.076489463182952e-08,0.0
1917,4.8252267959014716e-08,1.0966424435210342e-09
1918,3.5607765624945387e-08,0.0
1919,1.749491218561161e-08,0.0
1920,2.3473917920568965e-08,2.2716695191604686e-09
1921,1.3630945261411398e-08,0.0
1922,3.467629738906908e-08,0.0
1923,1.0615948120573648e-08,0.0
1924,1.4180787211159895e-08,0.0
1925,2.5295809891190402e-08,0.0
1926,2.8979959765251806e-08,0.0
1927,1.3379070296082318e-08,1.1149224876660924e-09
1928,1.4853853258500749e-08,0.0
1929,1.4482528065684619e-08,4.4561625500705304e-09
1930,1.7856125467119455e-08,0.0
1931,1.8248570654577634e-08,1.1405356659111021e-09
1932,1.6439305028370654e-08,1.0959536611565568e-09
1933,1.605892663292252e-08,5.735331320977366e-09
1934,1.4377896206951846e-08,0.0
1935,2.2739740757060645e-08,0.0
1936,1.2124714565686645e-08,0.0
1937,2.2664012888640173e-08,1.0072894518486919e-08
1938,6.482607339819424e-09,1.2965214457594243e-09
1939,4.588215141154706e-09,3.058810094103137e-09
1940,7.607348528892999e-09,0.0
1941,3.5418032950929046e-08,0.0
