year,on_PRON entra_VERB,on_PRON rentra_VERB
1800,4.244622147098198e-07,9.746909768182377e-08
1801,2.1668761718274254e-07,5.476719877606229e-08
1802,3.960977039696445e-07,1.096541666356643e-07
1803,2.652461361662972e-07,7.216255148989603e-08
1804,2.7684730241617217e-07,7.662737822045074e-08
1805,4.036886451785904e-07,1.023435940439299e-07
1806,4.236053712247667e-07,6.627838899930794e-08
1807,2.306033621835013e-07,1.9928686700865228e-08
1808,3.761682876302075e-07,3.6257183921861724e-08
1809,4.608422301544124e-07,6.551188569403621e-08
1810,2.2465216886757844e-07,2.3401268034461964e-08
1811,2.9082091401733123e-07,2.2563691359778204e-08
1812,2.2137828636914492e-07,6.401299579295028e-08
1813,3.7097068172897707e-07,1.2365688917270745e-07
1814,4.0277467405758216e-07,7.552025138579666e-08
1815,4.881974433601499e-07,1.1058616777859243e-07
1816,5.863537779760009e-07,4.6352077731626196e-08
1817,4.2814018996750747e-07,3.269434145636296e-08
1818,3.0279790763643177e-07,7.867976759001749e-08
1819,3.602165463689744e-07,7.349245656484982e-08
1820,4.236333808194104e-07,8.662531314485022e-08
1821,2.84010855722272e-07,5.5224333550540905e-08
1822,5.123089721337237e-07,1.0727409005539812e-07
1823,7.036472950971984e-07,9.685033219852812e-08
1824,7.258998948600492e-07,7.494790210671454e-08
1825,5.838008689806884e-07,6.780190986432899e-08
1826,7.6541384430584e-07,6.517908346381773e-08
1827,5.143238439586639e-07,4.977327527910802e-08
1828,5.457519165474878e-07,6.604057034564903e-08
1829,5.829759572861803e-07,5.744028008791702e-08
1830,7.222290179242918e-07,8.245100557857654e-08
1831,3.3988829528652786e-07,3.274153304033689e-08
1832,3.9913409466407757e-07,3.3824923306724486e-08
1833,4.4944479782316193e-07,9.151066748813719e-08
1834,3.864495923266986e-07,9.614566920390644e-08
1835,4.2731448957056273e-07,6.806779140333674e-08
1836,3.3066089599742554e-07,6.653542694579073e-08
1837,4.0494925457323916e-07,6.67957547051401e-08
1838,4.872989052273624e-07,1.0351945434194931e-07
1839,4.131961759412661e-07,7.550793235111541e-08
1840,2.936426497512912e-07,7.261445134076894e-08
1841,3.0048167332097364e-07,8.282507479862034e-08
1842,6.84243047999189e-07,6.171603850191332e-08
1843,2.8175965383070434e-07,7.501777066210025e-08
1844,3.029685871069887e-07,8.617041480363241e-08
1845,3.878258496570197e-07,6.417262099489562e-08
1846,3.8581164574225113e-07,9.015931823341816e-08
1847,4.4655891429101757e-07,6.849393940910886e-08
1848,2.461837880218809e-07,7.401603951961988e-08
1849,3.8042544758809527e-07,8.21182633004014e-08
1850,3.6660578928149334e-07,3.190828046228944e-08
1851,3.8954610204200435e-07,3.9341576218987484e-08
1852,2.5065600084417383e-07,5.599068941819496e-08
1853,2.6873692604567623e-07,4.658106966815012e-08
1854,5.09694679351469e-07,6.078927405894774e-08
1855,3.2584593157025665e-07,6.686740761097099e-08
1856,2.8267453444641433e-07,9.215396801209863e-08
1857,3.695302481787621e-07,1.0104723813242344e-07
1858,2.8383320938019097e-07,7.340513796805226e-08
1859,3.131686554525004e-07,7.129042600695357e-08
1860,3.4420422423409036e-07,9.383226995396399e-08
1861,3.112536148819345e-07,7.451222749921271e-08
1862,3.388489631106495e-07,5.0601446588416366e-08
1863,2.831950070003586e-07,1.0189026333762286e-07
1864,2.9871155504679336e-07,7.863353879145052e-08
1865,2.640539733533842e-07,6.636650340396955e-08
1866,2.787996251640834e-07,6.519921313952182e-08
1867,2.4215529492721544e-07,8.97770089380856e-08
1868,3.1220003648968486e-07,9.286963376098356e-08
1869,2.544313559837974e-07,7.325278694736426e-08
1870,3.205333172218161e-07,6.536815710944666e-08
1871,1.9436753717627653e-07,1.1152235757094786e-07
1872,2.805965380048292e-07,7.135860435880659e-08
1873,2.5021498117894225e-07,9.637467002221456e-08
1874,2.9335330253843495e-07,9.02166004124183e-08
1875,2.5918517820855413e-07,7.83849216645649e-08
1876,2.0858750815477833e-07,5.8646344669455175e-08
1877,2.3316756880831235e-07,6.494057025463462e-08
1878,2.5605735487488346e-07,6.703388599760274e-08
1879,2.908038752025277e-07,6.475884894996398e-08
1880,2.400274468072894e-07,6.032775523578948e-08
1881,2.433405086321727e-07,8.227559256113182e-08
1882,2.529046270183244e-07,8.319231525888426e-08
1883,2.1232978753005227e-07,9.605395234757452e-08
1884,2.6010685871824535e-07,1.2345173416861144e-07
1885,2.668493266355654e-07,1.0055191346225456e-07
1886,2.052201466540282e-07,1.045461139881354e-07
1887,1.899917023706621e-07,7.051238526400994e-08
1888,2.048018572509136e-07,8.623236169569282e-08
1889,2.0549647672396532e-07,6.641044869581947e-08
1890,1.8024562820073697e-07,6.488842529961403e-08
1891,1.9951308871668516e-07,9.115134957937698e-08
1892,1.6674242431236053e-07,6.080457026769182e-08
1893,1.4657031144338362e-07,6.897426452212585e-08
1894,1.909366460495221e-07,5.8604316066634965e-08
